row,epoch,kind,class_id,clean,leo_clear_weak,leo_low_elev_weak,leo_rain_weak,leo_mean
A1_FAST_SEQUENTIAL,200,final,0,92.16785714285714,82.6,79.75,80.51785714285714,80.95595238095238
A1_FAST_SEQUENTIAL,200,final,1,42.57142857142857,33.35,32.24285714285715,33.517857142857146,33.036904761904765
A1_FAST_SEQUENTIAL,200,final,2,69.53214285714286,60.49285714285715,56.92857142857143,56.471428571428575,57.964285714285715
A1_FAST_SEQUENTIAL,200,final,3,68.29642857142856,60.46071428571429,57.225,55.81428571428572,57.833333333333336
A1_FAST_SEQUENTIAL,200,final,4,99.59642857142858,96.06071428571428,94.30714285714285,94.03928571428571,94.80238095238094
A1_FAST_SEQUENTIAL,200,final,5,87.56428571428572,80.55714285714286,81.15357142857142,82.64285714285714,81.45119047619048
F0_FIXED_BASE,200,final,0,91.98571428571428,73.28928571428571,72.01428571428572,73.01785714285714,72.77380952380952
F0_FIXED_BASE,200,final,1,50.47142857142857,35.625,34.175,34.699999999999996,34.83333333333333
F0_FIXED_BASE,200,final,2,73.90714285714286,63.878571428571426,60.18571428571428,60.42142857142857,61.49523809523809
F0_FIXED_BASE,200,final,3,67.03214285714286,62.57142857142857,59.146428571428565,57.44285714285714,59.720238095238095
F0_FIXED_BASE,200,final,4,99.68214285714285,96.71071428571429,94.58571428571429,94.58571428571429,95.29404761904762
F0_FIXED_BASE,200,final,5,96.0,83.61785714285715,84.65357142857142,85.49285714285715,84.58809523809524
F1_RUNTIME,200,final,0,91.39285714285714,74.2,73.075,74.06785714285714,73.78095238095239
F1_RUNTIME,200,final,1,47.125,34.982142857142854,33.175,33.6,33.91904761904762
F1_RUNTIME,200,final,2,72.92142857142856,63.949999999999996,60.13214285714285,60.51428571428571,61.53214285714285
F1_RUNTIME,200,final,3,67.625,62.39642857142857,59.5,58.099999999999994,59.99880952380952
F1_RUNTIME,200,final,4,99.40357142857142,96.12142857142857,93.47142857142858,93.23928571428571,94.27738095238095
F1_RUNTIME,200,final,5,95.14642857142857,82.69285714285715,83.99285714285715,84.90714285714286,83.86428571428571
F2_WARM_EMA,200,final,0,91.10714285714285,74.55000000000001,73.63928571428572,74.70714285714286,74.29880952380952
F2_WARM_EMA,200,final,1,48.482142857142854,35.30357142857143,34.07142857142857,34.517857142857146,34.63095238095238
F2_WARM_EMA,200,final,2,71.43928571428572,63.13214285714286,60.182142857142864,60.19285714285715,61.169047619047625
F2_WARM_EMA,200,final,3,67.225,61.81071428571428,58.017857142857146,56.40714285714286,58.74523809523809
F2_WARM_EMA,200,final,4,99.56785714285714,96.85000000000001,94.81071428571428,94.68571428571428,95.44880952380953
F2_WARM_EMA,200,final,5,95.34285714285714,83.21428571428572,84.37142857142858,85.08214285714286,84.22261904761905
F3_COVERAGE_KL,200,final,0,93.23928571428571,71.96785714285714,69.94642857142857,71.55357142857143,71.15595238095239
F3_COVERAGE_KL,200,final,1,45.52142857142857,35.325,33.71785714285714,34.214285714285715,34.41904761904762
F3_COVERAGE_KL,200,final,2,74.03214285714286,63.589285714285715,60.042857142857144,60.542857142857144,61.391666666666666
F3_COVERAGE_KL,200,final,3,68.07857142857144,61.332142857142856,58.09285714285715,56.746428571428574,58.72380952380953
F3_COVERAGE_KL,200,final,4,99.76785714285714,96.52142857142857,94.66428571428571,94.56428571428572,95.25
F3_COVERAGE_KL,200,final,5,92.77499999999999,81.29642857142856,82.91785714285714,83.60357142857143,82.60595238095237
R3_STRUCTURE_CONTROL,200,final,0,90.58571428571427,71.23928571428571,70.25714285714287,71.78214285714286,71.09285714285714
R3_STRUCTURE_CONTROL,200,final,1,43.50714285714285,32.66428571428571,31.49642857142857,32.035714285714285,32.06547619047619
R3_STRUCTURE_CONTROL,200,final,2,72.00714285714285,62.56071428571428,59.63928571428572,59.75,60.65
R3_STRUCTURE_CONTROL,200,final,3,69.58571428571429,64.1107142857143,60.52857142857143,59.02142857142857,61.2202380952381
R3_STRUCTURE_CONTROL,200,final,4,99.78928571428571,94.64285714285714,92.46428571428571,92.14285714285714,93.08333333333333
R3_STRUCTURE_CONTROL,200,final,5,92.45714285714286,86.63571428571429,87.31071428571428,87.93928571428572,87.29523809523809
R3_REFERENCE,200,final,0,89.94642857142857,70.57857142857142,69.67857142857142,71.01785714285714,70.425
R3_REFERENCE,200,final,1,43.32857142857143,34.39285714285714,33.54642857142857,34.089285714285715,34.009523809523806
R3_REFERENCE,200,final,2,76.64285714285714,64.35714285714286,61.07142857142858,61.18214285714285,62.20357142857143
R3_REFERENCE,200,final,3,69.58214285714286,63.56071428571428,59.83571428571428,58.52142857142857,60.63928571428571
R3_REFERENCE,200,final,4,99.80357142857143,95.72142857142858,93.85714285714286,93.86785714285715,94.48214285714286
R3_REFERENCE,200,final,5,95.37142857142857,88.80714285714286,88.925,90.22857142857143,89.3202380952381
R3_FAST_SEQUENTIAL,200,final,0,90.49642857142857,71.20714285714286,69.69285714285715,70.875,70.59166666666667
R3_FAST_SEQUENTIAL,200,final,1,43.80714285714286,34.68571428571428,33.725,34.675,34.36190476190476
R3_FAST_SEQUENTIAL,200,final,2,73.66428571428571,62.425,59.146428571428565,59.53571428571428,60.36904761904761
R3_FAST_SEQUENTIAL,200,final,3,69.56428571428572,63.56785714285714,59.97857142857143,58.857142857142854,60.80119047619048
R3_FAST_SEQUENTIAL,200,final,4,99.81785714285715,97.07857142857142,95.31785714285715,95.2357142857143,95.87738095238096
R3_FAST_SEQUENTIAL,200,final,5,94.33928571428571,86.67857142857143,87.21785714285714,88.28214285714286,87.39285714285714
