job_id,receiver,seed,k_shot,new_class_count,candidate,b_old_acc,c_old_acc,b_old_floor,c_old_floor,seen_new_acc,h_old_new,average_forgetting,old_adaptation_gain,direct_adv3b02_status,direct_adv3b02_old_acc,delta_vs_direct_ADV3B02_K1,pipeline_receipt_sha256,score_sha256
rx_3_19__seed_713103__k_1__new_20,3-19,713103,1,20,d81_ground_nuisance_cauchy_center,0.49444444444444446,0.31666666666666665,0.11666666666666667,0.03333333333333333,0.1575,0.21036906854130052,0.1777777777777778,-0.1777777777777778,MISSING_NOT_RUN,,,28d34204bbb2d38b9860ac33420809043c72b63fc775767229154dde7e13a2de,405f36d4be17950857df32b817df21a78b4c5f1d82d8876d70f17f9f5041cd00
rx_3_19__seed_713104__k_10__new_5,3-19,713104,10,5,d81_ground_nuisance_cauchy_center,0.7333333333333333,0.6361111111111111,0.5333333333333333,0.38333333333333336,0.39666666666666667,0.48863188093957316,0.09722222222222221,-0.09722222222222221,MISSING_NOT_RUN,,,d10675d330f07eea60b67b322f12093621edcf0591ff1c06fc104f25affd5daf,44cc4cb2e37fb758976a560f6da18feff2bf77a76f9e239aacc0ebfd10dbfeba
rx_3_19__seed_713104__k_10__new_10,3-19,713104,10,10,d81_ground_nuisance_cauchy_center,0.7333333333333333,0.5944444444444444,0.5333333333333333,0.3333333333333333,0.4066666666666667,0.48294487606363307,0.13888888888888884,-0.13888888888888884,MISSING_NOT_RUN,,,41a12d3256120118ee3790faf08b6fe307309fb530d0ccac4a3fb5afb2906b6c,9ef0197625f2fe01107fd88e8ad3ce0589686dbbb1fb75b41424397c8cdbfdeb
rx_3_19__seed_713104__k_10__new_20,3-19,713104,10,20,d81_ground_nuisance_cauchy_center,0.7333333333333333,0.5666666666666667,0.5333333333333333,0.2833333333333333,0.49416666666666664,0.5279392511128568,0.16666666666666663,-0.16666666666666663,MISSING_NOT_RUN,,,9268c94dbe10dafa81366c3b3edf2ff030aaede63be9bc204cbd82d6c677ab06,387366e708b92d078e120d49ddd9bb5432b592e81a223b378deea5c271615d66
rx_3_19__seed_713104__k_5__new_20,3-19,713104,5,20,d81_ground_nuisance_cauchy_center,0.6638888888888889,0.5194444444444445,0.4,0.25,0.37583333333333335,0.4361205915813425,0.14444444444444438,-0.14444444444444438,MISSING_NOT_RUN,,,e1e99ec2107d0e0d5d7fe1bf56fbaaabe3b26cbe52fd4d6b9308a2e33ab594ac,7b15b3ece6f7efc85065c6a5d616872e635f8aff0a94635000fdc5928b18f19e
rx_3_19__seed_713104__k_1__new_20,3-19,713104,1,20,d81_ground_nuisance_cauchy_center,0.5166666666666667,0.30277777777777776,0.13333333333333333,0.06666666666666667,0.15,0.20061349693251534,0.21388888888888896,-0.21388888888888896,MISSING_NOT_RUN,,,3326dd6fbdec30329a3a694bf8479a6c5da45095fd0ff3edbce3712110477bfa,3657345bd4d294f9f5743f367113a95808a0bbd06977d5a9f591ffef811ba27b
rx_3_19__seed_713105__k_10__new_5,3-19,713105,10,5,d81_ground_nuisance_cauchy_center,0.725,0.5944444444444444,0.4166666666666667,0.2833333333333333,0.4533333333333333,0.5143867090844823,0.13055555555555554,-0.13055555555555554,MISSING_NOT_RUN,,,cbdec6ef60041563a1adcac042f04eb7c0b1ba9465ed22cbbb8c892961ff00b0,e55732fcb31e3f4d734aea2a7d20b3ee0ddc12e71f58429c480143de891a7caf
rx_3_19__seed_713105__k_10__new_10,3-19,713105,10,10,d81_ground_nuisance_cauchy_center,0.725,0.5555555555555556,0.4166666666666667,0.2,0.44,0.4910714285714286,0.1694444444444444,-0.1694444444444444,MISSING_NOT_RUN,,,8cf2ad7e2ba440105ec6135960c98db860a1860dde8c8f931f89411764b50ce0,74250a5c020f4f93ea3d3a5a5b1733f40ab3b89adf4efe10b813a476eaa29815
rx_3_19__seed_713105__k_10__new_20,3-19,713105,10,20,d81_ground_nuisance_cauchy_center,0.725,0.5277777777777778,0.4166666666666667,0.2,0.4825,0.504124278251306,0.1972222222222222,-0.1972222222222222,MISSING_NOT_RUN,,,3fdb9636741920e8ee3b4d47a3259b4b8a7cdc65513e33c821e5cee3c6c39f1a,253dc6d2c67515e28a4f888e9af68e4c52938cc95400128a3bfcfb4ae1574acb
rx_3_19__seed_713105__k_5__new_20,3-19,713105,5,20,d81_ground_nuisance_cauchy_center,0.6944444444444444,0.525,0.2833333333333333,0.11666666666666667,0.38916666666666666,0.4469917958067457,0.1694444444444444,-0.1694444444444444,MISSING_NOT_RUN,,,47bc7b56553e70d3c6a3b224b4526ed60000861ea92c1e8f5902dce9f137c305,17ddf94ced90512343de2366fd69b19e96d322ce5660187bd45734d3305965b9
