job_id,receiver,seed,k_shot,new_class_count,scenario,b_old_acc,c_old_acc,b_old_floor,c_old_floor,seen_new_acc,h_old_new,average_forgetting,old_adaptation_gain,direct_adv3b02_status,direct_adv3b02_old_acc,delta_vs_direct_ADV3B02_K1
rx_3_19__seed_713102__k_10__new_20,3-19,713102,10,20,leo_low_elev_weak,0.6416666666666667,0.525,0.3,0.25,0.4125,0.46199999999999997,0.1166666666666667,-0.1166666666666667,MISSING_NOT_RUN,,
rx_3_19__seed_713102__k_10__new_20,3-19,713102,10,20,leo_rain_weak,0.675,0.5333333333333333,0.35,0.25,0.4975,0.5147938561034762,0.14166666666666672,-0.14166666666666672,MISSING_NOT_RUN,,
rx_3_19__seed_713102__k_5__new_20,3-19,713102,5,20,leo_clear_weak,0.725,0.5583333333333333,0.45,0.15,0.5,0.5275590551181103,0.16666666666666663,-0.16666666666666663,MISSING_NOT_RUN,,
rx_3_19__seed_713102__k_5__new_20,3-19,713102,5,20,leo_low_elev_weak,0.5583333333333333,0.4666666666666667,0.2,0.15,0.3125,0.37433155080213903,0.09166666666666667,-0.09166666666666667,MISSING_NOT_RUN,,
rx_3_19__seed_713102__k_5__new_20,3-19,713102,5,20,leo_rain_weak,0.6083333333333333,0.475,0.15,0.1,0.3875,0.4268115942028985,0.1333333333333333,-0.1333333333333333,MISSING_NOT_RUN,,
rx_3_19__seed_713102__k_1__new_20,3-19,713102,1,20,leo_clear_weak,0.6083333333333333,0.31666666666666665,0.05,0.05,0.13,0.1843283582089552,0.29166666666666663,-0.29166666666666663,MISSING_NOT_RUN,,
rx_3_19__seed_713102__k_1__new_20,3-19,713102,1,20,leo_low_elev_weak,0.3,0.1,0.15,0.0,0.15,0.12,0.19999999999999998,-0.19999999999999998,MISSING_NOT_RUN,,
rx_3_19__seed_713102__k_1__new_20,3-19,713102,1,20,leo_rain_weak,0.6,0.39166666666666666,0.2,0.05,0.115,0.17779605263157894,0.20833333333333331,-0.20833333333333331,MISSING_NOT_RUN,,
rx_3_19__seed_713103__k_10__new_5,3-19,713103,10,5,leo_clear_weak,0.8083333333333333,0.7583333333333333,0.55,0.4,0.5,0.6026490066225165,0.050000000000000044,-0.050000000000000044,MISSING_NOT_RUN,,
rx_3_19__seed_713103__k_10__new_5,3-19,713103,10,5,leo_low_elev_weak,0.7833333333333333,0.625,0.55,0.25,0.45,0.5232558139534884,0.15833333333333333,-0.15833333333333333,MISSING_NOT_RUN,,
