method_label,method,cell_id,receiver,seed,new_class_count,k_shot,scenario_count,cell_receipt_sha256,old_acc_before_increment_mean_3scenarios,old_acc_after_increment_mean_3scenarios,seen_new_acc_mean_3scenarios,H_old_new_mean_3scenarios,candidate_average_forgetting_mean_3scenarios,min_old_class_acc_mean_3scenarios,direct_adv3b02_old_acc_mean_3scenarios,identity_old_acc_after_increment_mean_3scenarios
CSIL,csil_official_repo,rx_20_1__seed_713103__new_3__csil_official_repo__k_5,20-1,713103,3,5,3,e862111f709ded23a5cdeee6919b4a175c29f3710818c95bdc385a6b5c1e69db,0.8083333333333332,0.8083333333333332,0.0,0.0,0.0,0.4000000000000001,0.775,0.8722222222222222
CSIL,csil_official_repo,rx_20_1__seed_713103__new_3__csil_official_repo__k_10,20-1,713103,3,10,3,ef7e1a97541de5976a8a31b037a578d5e7935de68afd101ad3aa89de8000ad8e,0.8083333333333332,0.8083333333333332,0.0,0.0,0.0,0.4000000000000001,0.775,0.8972222222222223
CSIL,csil_official_repo,rx_20_1__seed_713103__new_3__csil_official_repo__k_20,20-1,713103,3,20,3,255560330da24977f40c2b1c4628d34ead181e671427c8e5a5690dec7adca573,0.8083333333333332,0.0,0.3333333333333333,0.0,0.8083333333333332,0.0,0.775,0.8777777777777778
CSIL,csil_official_repo,rx_20_1__seed_713103__new_20__csil_official_repo__k_1,20-1,713103,20,1,3,e5e9ed3f897beb31d41fde68169fd2440c7f78af2ccb27d96dc3833f12b084ee,0.8083333333333332,0.8083333333333332,0.0,0.0,0.0,0.4000000000000001,0.775,0.6666666666666666
CSIL,csil_official_repo,rx_20_1__seed_713103__new_20__csil_official_repo__k_5,20-1,713103,20,5,3,3679b35eb9f1a181e8da302b292f3d71161667ad79a4084bb15b9506660c0e4e,0.8083333333333332,0.0,0.051666666666666666,0.0,0.8083333333333332,0.0,0.775,0.7694444444444445
CSIL,csil_official_repo,rx_20_1__seed_713103__new_20__csil_official_repo__k_10,20-1,713103,20,10,3,c086c7709f6a667c74b72fe28c99cb03b0d7ce5584f6f735d8d569de468d9d14,0.8083333333333332,0.10833333333333332,0.06083333333333333,0.05745964493227552,0.7000000000000001,0.0,0.775,0.8361111111111111
CSIL,csil_official_repo,rx_20_1__seed_713103__new_20__csil_official_repo__k_20,20-1,713103,20,20,3,24fa960bc20b51d69561007c5b44adef715c7b996bb5c1545eb03fcdb36e526c,0.8083333333333332,0.4777777777777778,0.041666666666666664,0.07155907507723035,0.33055555555555555,0.03333333333333333,0.775,0.8361111111111111
CSIL,csil_official_repo,rx_20_1__seed_713104__new_1__csil_official_repo__k_1,20-1,713104,1,1,3,be4f00cd47dc3d111525365e9fa8545b988772e3a7425a4730bacfe9ae2b34f6,0.8166666666666668,0.8166666666666668,0.0,0.0,0.0,0.4000000000000001,0.7333333333333333,0.7166666666666667
CSIL,csil_official_repo,rx_20_1__seed_713104__new_1__csil_official_repo__k_5,20-1,713104,1,5,3,bc989ae26259fa5d94b2ad18ecc103a995de651fc4a8df03bb476f5413d2602c,0.8166666666666668,0.8166666666666668,0.0,0.0,0.0,0.4000000000000001,0.7333333333333333,0.8972222222222223
CSIL,csil_official_repo,rx_20_1__seed_713104__new_1__csil_official_repo__k_10,20-1,713104,1,10,3,f3daf34e4a2b2dfcc3c011d586222d923de0355ca53985e8801b6631bc9bd40f,0.8166666666666668,0.8166666666666668,0.0,0.0,0.0,0.4000000000000001,0.7333333333333333,0.9055555555555556
