k,old_bias,target_new,target_unknown,old_acc,min_old,seen_new_acc,min_seen,known_vs_unknown_auroc,unknown_fpr95_known,known_avg,known_floor,stage_score
5,0.15,"10-10,11-10,18-5,19-3,8-18","2-13,2-5,3-8,4-10,8-3",0.9166666666666666,0.8,0.05,0.0,0.6439090909090909,0.87,0.48333333333333334,0.0,0.05
5,0.2,"10-10,11-10,18-5,19-3,8-18","2-13,2-5,3-8,4-10,8-3",0.925,0.8,0.02,0.0,0.6434090909090909,0.87,0.47250000000000003,0.0,0.02
5,0.3,"10-10,11-10,18-5,19-3,8-18","2-13,2-5,3-8,4-10,8-3",0.925,0.8,0.02,0.0,0.6428636363636364,0.87,0.47250000000000003,0.0,0.02
5,0.0,"10-10,11-10,18-5,19-3,8-3","2-13,2-5,3-8,4-10,8-18",0.7083333333333334,0.1,0.5,0.25,0.7277727272727272,0.83,0.6041666666666667,0.1,0.17000000000000004
5,0.01,"10-10,11-10,18-5,19-3,8-3","2-13,2-5,3-8,4-10,8-18",0.7416666666666667,0.15,0.44,0.25,0.7141363636363637,0.84,0.5908333333333333,0.15,0.16000000000000003
5,0.02,"10-10,11-10,18-5,19-3,8-3","2-13,2-5,3-8,4-10,8-18",0.8083333333333333,0.35,0.41,0.15,0.700590909090909,0.84,0.6091666666666666,0.15,0.16000000000000003
5,0.04,"10-10,11-10,18-5,19-3,8-3","2-13,2-5,3-8,4-10,8-18",0.8833333333333333,0.55,0.24,0.05,0.6853181818181818,0.83,0.5616666666666666,0.05,0.17000000000000004
5,0.06,"10-10,11-10,18-5,19-3,8-3","2-13,2-5,3-8,4-10,8-18",0.925,0.8,0.08,0.0,0.6806818181818182,0.83,0.5025000000000001,0.0,0.08
5,0.08,"10-10,11-10,18-5,19-3,8-3","2-13,2-5,3-8,4-10,8-18",0.925,0.8,0.06,0.0,0.6797727272727273,0.83,0.49250000000000005,0.0,0.06
5,0.1,"10-10,11-10,18-5,19-3,8-3","2-13,2-5,3-8,4-10,8-18",0.925,0.8,0.02,0.0,0.6789545454545455,0.83,0.47250000000000003,0.0,0.02
5,0.15,"10-10,11-10,18-5,19-3,8-3","2-13,2-5,3-8,4-10,8-18",0.925,0.8,0.01,0.0,0.6782272727272727,0.82,0.4675,0.0,0.01
5,0.2,"10-10,11-10,18-5,19-3,8-3","2-13,2-5,3-8,4-10,8-18",0.925,0.8,0.0,0.0,0.678,0.82,0.4625,0.0,0.0
5,0.3,"10-10,11-10,18-5,19-3,8-3","2-13,2-5,3-8,4-10,8-18",0.925,0.8,0.0,0.0,0.6781363636363636,0.82,0.4625,0.0,0.0
5,0.0,"10-10,11-10,18-5,2-13,2-5","19-3,3-8,4-10,8-18,8-3",0.825,0.35,0.33,0.15,0.6658636363636363,0.88,0.5775,0.15,0.12
5,0.01,"10-10,11-10,18-5,2-13,2-5","19-3,3-8,4-10,8-18,8-3",0.85,0.5,0.28,0.15,0.6591818181818182,0.88,0.565,0.15,0.12
5,0.02,"10-10,11-10,18-5,2-13,2-5","19-3,3-8,4-10,8-18,8-3",0.8833333333333333,0.7,0.26,0.15,0.653,0.89,0.5716666666666667,0.15,0.10999999999999999
5,0.04,"10-10,11-10,18-5,2-13,2-5","19-3,3-8,4-10,8-18,8-3",0.925,0.8,0.14,0.05,0.6456363636363637,0.89,0.5325,0.05,0.10999999999999999
5,0.06,"10-10,11-10,18-5,2-13,2-5","19-3,3-8,4-10,8-18,8-3",0.925,0.8,0.11,0.0,0.6437727272727273,0.89,0.5175000000000001,0.0,0.10999999999999999
5,0.08,"10-10,11-10,18-5,2-13,2-5","19-3,3-8,4-10,8-18,8-3",0.925,0.8,0.1,0.0,0.643,0.88,0.5125000000000001,0.0,0.1
5,0.1,"10-10,11-10,18-5,2-13,2-5","19-3,3-8,4-10,8-18,8-3",0.925,0.8,0.09,0.0,0.6425,0.88,0.5075000000000001,0.0,0.09
5,0.15,"10-10,11-10,18-5,2-13,2-5","19-3,3-8,4-10,8-18,8-3",0.925,0.8,0.06,0.0,0.6414090909090909,0.86,0.49250000000000005,0.0,0.06
5,0.2,"10-10,11-10,18-5,2-13,2-5","19-3,3-8,4-10,8-18,8-3",0.925,0.8,0.05,0.0,0.641,0.86,0.48750000000000004,0.0,0.05
5,0.3,"10-10,11-10,18-5,2-13,2-5","19-3,3-8,4-10,8-18,8-3",0.925,0.8,0.03,0.0,0.6404090909090909,0.89,0.47750000000000004,0.0,0.03
5,0.0,"10-10,11-10,18-5,2-13,3-8","19-3,2-5,4-10,8-18,8-3",0.825,0.35,0.29,0.1,0.7554545454545455,0.78,0.5575,0.1,0.21999999999999997
5,0.01,"10-10,11-10,18-5,2-13,3-8","19-3,2-5,4-10,8-18,8-3",0.85,0.5,0.24,0.1,0.7465454545454545,0.78,0.5449999999999999,0.1,0.21999999999999997
5,0.02,"10-10,11-10,18-5,2-13,3-8","19-3,2-5,4-10,8-18,8-3",0.8833333333333333,0.7,0.21,0.1,0.7373636363636363,0.78,0.5466666666666666,0.1,0.21
5,0.04,"10-10,11-10,18-5,2-13,3-8","19-3,2-5,4-10,8-18,8-3",0.925,0.8,0.1,0.05,0.7280909090909091,0.78,0.5125000000000001,0.05,0.1
5,0.06,"10-10,11-10,18-5,2-13,3-8","19-3,2-5,4-10,8-18,8-3",0.925,0.8,0.08,0.0,0.7255454545454545,0.8,0.5025000000000001,0.0,0.08
5,0.08,"10-10,11-10,18-5,2-13,3-8","19-3,2-5,4-10,8-18,8-3",0.925,0.8,0.07,0.0,0.724,0.81,0.49750000000000005,0.0,0.07
5,0.1,"10-10,11-10,18-5,2-13,3-8","19-3,2-5,4-10,8-18,8-3",0.925,0.8,0.06,0.0,0.7232272727272727,0.81,0.49250000000000005,0.0,0.06
5,0.15,"10-10,11-10,18-5,2-13,3-8","19-3,2-5,4-10,8-18,8-3",0.925,0.8,0.04,0.0,0.7222727272727273,0.81,0.48250000000000004,0.0,0.04
5,0.2,"10-10,11-10,18-5,2-13,3-8","19-3,2-5,4-10,8-18,8-3",0.925,0.8,0.02,0.0,0.7216818181818182,0.82,0.47250000000000003,0.0,0.02
5,0.3,"10-10,11-10,18-5,2-13,3-8","19-3,2-5,4-10,8-18,8-3",0.925,0.8,0.01,0.0,0.7213181818181819,0.82,0.4675,0.0,0.01
5,0.0,"10-10,11-10,18-5,2-13,4-10","19-3,2-5,3-8,8-18,8-3",0.8,0.25,0.32,0.15,0.7165909090909091,0.78,0.56,0.15,0.21999999999999997
5,0.01,"10-10,11-10,18-5,2-13,4-10","19-3,2-5,3-8,8-18,8-3",0.8166666666666667,0.35,0.27,0.15,0.7029090909090909,0.78,0.5433333333333333,0.15,0.21999999999999997
5,0.02,"10-10,11-10,18-5,2-13,4-10","19-3,2-5,3-8,8-18,8-3",0.8583333333333333,0.6,0.25,0.15,0.6906363636363636,0.79,0.5541666666666667,0.15,0.20999999999999996
5,0.04,"10-10,11-10,18-5,2-13,4-10","19-3,2-5,3-8,8-18,8-3",0.9083333333333333,0.75,0.12,0.05,0.6793181818181818,0.79,0.5141666666666667,0.05,0.12
5,0.06,"10-10,11-10,18-5,2-13,4-10","19-3,2-5,3-8,8-18,8-3",0.9083333333333333,0.75,0.1,0.0,0.6766363636363636,0.8,0.5041666666666667,0.0,0.1
5,0.08,"10-10,11-10,18-5,2-13,4-10","19-3,2-5,3-8,8-18,8-3",0.9166666666666666,0.75,0.09,0.0,0.6756363636363636,0.82,0.5033333333333333,0.0,0.09
5,0.1,"10-10,11-10,18-5,2-13,4-10","19-3,2-5,3-8,8-18,8-3",0.9166666666666666,0.75,0.08,0.0,0.6748181818181819,0.82,0.4983333333333333,0.0,0.08
5,0.15,"10-10,11-10,18-5,2-13,4-10","19-3,2-5,3-8,8-18,8-3",0.925,0.8,0.04,0.0,0.6735,0.81,0.48250000000000004,0.0,0.04
5,0.2,"10-10,11-10,18-5,2-13,4-10","19-3,2-5,3-8,8-18,8-3",0.925,0.8,0.03,0.0,0.6729090909090909,0.81,0.47750000000000004,0.0,0.03
5,0.3,"10-10,11-10,18-5,2-13,4-10","19-3,2-5,3-8,8-18,8-3",0.925,0.8,0.02,0.0,0.6724545454545454,0.82,0.47250000000000003,0.0,0.02
5,0.0,"10-10,11-10,18-5,2-13,8-18","19-3,2-5,3-8,4-10,8-3",0.8166666666666667,0.35,0.34,0.15,0.6875909090909091,0.86,0.5783333333333334,0.15,0.14
5,0.01,"10-10,11-10,18-5,2-13,8-18","19-3,2-5,3-8,4-10,8-3",0.8416666666666667,0.5,0.29,0.15,0.6811363636363637,0.86,0.5658333333333333,0.15,0.14
5,0.02,"10-10,11-10,18-5,2-13,8-18","19-3,2-5,3-8,4-10,8-3",0.875,0.7,0.27,0.15,0.6742727272727272,0.86,0.5725,0.15,0.14
5,0.04,"10-10,11-10,18-5,2-13,8-18","19-3,2-5,3-8,4-10,8-3",0.9166666666666666,0.8,0.14,0.05,0.6665,0.86,0.5283333333333333,0.05,0.14
5,0.06,"10-10,11-10,18-5,2-13,8-18","19-3,2-5,3-8,4-10,8-3",0.9166666666666666,0.8,0.12,0.0,0.6637272727272727,0.86,0.5183333333333333,0.0,0.12
5,0.08,"10-10,11-10,18-5,2-13,8-18","19-3,2-5,3-8,4-10,8-3",0.9166666666666666,0.8,0.11,0.0,0.6626818181818181,0.86,0.5133333333333333,0.0,0.11
5,0.1,"10-10,11-10,18-5,2-13,8-18","19-3,2-5,3-8,4-10,8-3",0.9166666666666666,0.8,0.1,0.0,0.6615909090909091,0.86,0.5083333333333333,0.0,0.1
5,0.15,"10-10,11-10,18-5,2-13,8-18","19-3,2-5,3-8,4-10,8-3",0.9166666666666666,0.8,0.07,0.0,0.6590454545454546,0.86,0.4933333333333333,0.0,0.07
5,0.2,"10-10,11-10,18-5,2-13,8-18","19-3,2-5,3-8,4-10,8-3",0.925,0.8,0.04,0.0,0.6582727272727272,0.86,0.48250000000000004,0.0,0.04
5,0.3,"10-10,11-10,18-5,2-13,8-18","19-3,2-5,3-8,4-10,8-3",0.925,0.8,0.03,0.0,0.6571818181818182,0.87,0.47750000000000004,0.0,0.03
5,0.0,"10-10,11-10,18-5,2-13,8-3","19-3,2-5,3-8,4-10,8-18",0.7333333333333333,0.25,0.45,0.15,0.7257727272727272,0.8,0.5916666666666667,0.15,0.19999999999999996
5,0.01,"10-10,11-10,18-5,2-13,8-3","19-3,2-5,3-8,4-10,8-18",0.7583333333333333,0.25,0.39,0.15,0.7177727272727272,0.8,0.5741666666666667,0.15,0.19999999999999996
5,0.02,"10-10,11-10,18-5,2-13,8-3","19-3,2-5,3-8,4-10,8-18",0.8166666666666667,0.4,0.36,0.15,0.7094545454545454,0.8,0.5883333333333334,0.15,0.19999999999999996
5,0.04,"10-10,11-10,18-5,2-13,8-3","19-3,2-5,3-8,4-10,8-18",0.8833333333333333,0.55,0.21,0.05,0.6997272727272728,0.8,0.5466666666666666,0.05,0.19999999999999996
5,0.06,"10-10,11-10,18-5,2-13,8-3","19-3,2-5,3-8,4-10,8-18",0.925,0.8,0.07,0.0,0.6959545454545455,0.81,0.49750000000000005,0.0,0.07
5,0.08,"10-10,11-10,18-5,2-13,8-3","19-3,2-5,3-8,4-10,8-18",0.925,0.8,0.06,0.0,0.6952727272727273,0.8,0.49250000000000005,0.0,0.06
5,0.1,"10-10,11-10,18-5,2-13,8-3","19-3,2-5,3-8,4-10,8-18",0.925,0.8,0.05,0.0,0.6944090909090909,0.8,0.48750000000000004,0.0,0.05
5,0.15,"10-10,11-10,18-5,2-13,8-3","19-3,2-5,3-8,4-10,8-18",0.925,0.8,0.03,0.0,0.6932727272727273,0.8,0.47750000000000004,0.0,0.03
5,0.2,"10-10,11-10,18-5,2-13,8-3","19-3,2-5,3-8,4-10,8-18",0.925,0.8,0.02,0.0,0.6928181818181818,0.8,0.47250000000000003,0.0,0.02
5,0.3,"10-10,11-10,18-5,2-13,8-3","19-3,2-5,3-8,4-10,8-18",0.925,0.8,0.01,0.0,0.6925,0.8,0.4675,0.0,0.01
5,0.0,"10-10,11-10,18-5,2-5,3-8","19-3,2-13,4-10,8-18,8-3",0.825,0.35,0.32,0.15,0.7106818181818182,0.87,0.5725,0.15,0.13
5,0.01,"10-10,11-10,18-5,2-5,3-8","19-3,2-13,4-10,8-18,8-3",0.85,0.5,0.27,0.15,0.7084090909090909,0.87,0.56,0.15,0.13
5,0.02,"10-10,11-10,18-5,2-5,3-8","19-3,2-13,4-10,8-18,8-3",0.8833333333333333,0.7,0.24,0.1,0.7038636363636364,0.88,0.5616666666666666,0.1,0.12
5,0.04,"10-10,11-10,18-5,2-5,3-8","19-3,2-13,4-10,8-18,8-3",0.925,0.8,0.13,0.05,0.6991818181818181,0.88,0.5275000000000001,0.05,0.12
5,0.06,"10-10,11-10,18-5,2-5,3-8","19-3,2-13,4-10,8-18,8-3",0.925,0.8,0.1,0.0,0.6984545454545454,0.88,0.5125000000000001,0.0,0.1
5,0.08,"10-10,11-10,18-5,2-5,3-8","19-3,2-13,4-10,8-18,8-3",0.925,0.8,0.09,0.0,0.6973636363636364,0.88,0.5075000000000001,0.0,0.09
5,0.1,"10-10,11-10,18-5,2-5,3-8","19-3,2-13,4-10,8-18,8-3",0.925,0.8,0.08,0.0,0.6967727272727273,0.88,0.5025000000000001,0.0,0.08
5,0.15,"10-10,11-10,18-5,2-5,3-8","19-3,2-13,4-10,8-18,8-3",0.925,0.8,0.06,0.0,0.6955,0.87,0.49250000000000005,0.0,0.06
5,0.2,"10-10,11-10,18-5,2-5,3-8","19-3,2-13,4-10,8-18,8-3",0.925,0.8,0.04,0.0,0.6950454545454545,0.89,0.48250000000000004,0.0,0.04
5,0.3,"10-10,11-10,18-5,2-5,3-8","19-3,2-13,4-10,8-18,8-3",0.925,0.8,0.02,0.0,0.694590909090909,0.89,0.47250000000000003,0.0,0.02
5,0.0,"10-10,11-10,18-5,2-5,4-10","19-3,2-13,3-8,8-18,8-3",0.8,0.25,0.34,0.15,0.6729545454545455,0.9,0.5700000000000001,0.15,0.09999999999999998
5,0.01,"10-10,11-10,18-5,2-5,4-10","19-3,2-13,3-8,8-18,8-3",0.8166666666666667,0.35,0.29,0.15,0.6659545454545455,0.9,0.5533333333333333,0.15,0.09999999999999998
5,0.02,"10-10,11-10,18-5,2-5,4-10","19-3,2-13,3-8,8-18,8-3",0.8583333333333333,0.6,0.27,0.15,0.6579090909090909,0.9,0.5641666666666667,0.15,0.09999999999999998
5,0.04,"10-10,11-10,18-5,2-5,4-10","19-3,2-13,3-8,8-18,8-3",0.9083333333333333,0.75,0.14,0.05,0.6498636363636363,0.91,0.5241666666666667,0.05,0.08999999999999997
5,0.06,"10-10,11-10,18-5,2-5,4-10","19-3,2-13,3-8,8-18,8-3",0.9083333333333333,0.75,0.11,0.0,0.649,0.91,0.5091666666666667,0.0,0.08999999999999997
5,0.08,"10-10,11-10,18-5,2-5,4-10","19-3,2-13,3-8,8-18,8-3",0.9166666666666666,0.75,0.1,0.0,0.6481363636363636,0.91,0.5083333333333333,0.0,0.08999999999999997
5,0.1,"10-10,11-10,18-5,2-5,4-10","19-3,2-13,3-8,8-18,8-3",0.9166666666666666,0.75,0.09,0.0,0.6476818181818181,0.89,0.5033333333333333,0.0,0.09
5,0.15,"10-10,11-10,18-5,2-5,4-10","19-3,2-13,3-8,8-18,8-3",0.925,0.8,0.05,0.0,0.6464090909090909,0.9,0.48750000000000004,0.0,0.05
5,0.2,"10-10,11-10,18-5,2-5,4-10","19-3,2-13,3-8,8-18,8-3",0.925,0.8,0.04,0.0,0.6461363636363636,0.89,0.48250000000000004,0.0,0.04
5,0.3,"10-10,11-10,18-5,2-5,4-10","19-3,2-13,3-8,8-18,8-3",0.925,0.8,0.03,0.0,0.6457272727272727,0.89,0.47750000000000004,0.0,0.03
5,0.0,"10-10,11-10,18-5,2-5,8-18","19-3,2-13,3-8,4-10,8-3",0.8166666666666667,0.35,0.36,0.2,0.6435909090909091,0.93,0.5883333333333334,0.2,0.06999999999999995
5,0.01,"10-10,11-10,18-5,2-5,8-18","19-3,2-13,3-8,4-10,8-3",0.8416666666666667,0.5,0.31,0.2,0.6433636363636364,0.93,0.5758333333333333,0.2,0.06999999999999995
5,0.02,"10-10,11-10,18-5,2-5,8-18","19-3,2-13,3-8,4-10,8-3",0.875,0.7,0.29,0.15,0.6411363636363636,0.93,0.5825,0.15,0.06999999999999995
5,0.04,"10-10,11-10,18-5,2-5,8-18","19-3,2-13,3-8,4-10,8-3",0.9166666666666666,0.8,0.16,0.05,0.6367272727272727,0.92,0.5383333333333333,0.05,0.07999999999999996
5,0.06,"10-10,11-10,18-5,2-5,8-18","19-3,2-13,3-8,4-10,8-3",0.9166666666666666,0.8,0.13,0.0,0.6352727272727273,0.92,0.5233333333333333,0.0,0.07999999999999996
5,0.08,"10-10,11-10,18-5,2-5,8-18","19-3,2-13,3-8,4-10,8-3",0.9166666666666666,0.8,0.12,0.0,0.6345454545454545,0.92,0.5183333333333333,0.0,0.07999999999999996
5,0.1,"10-10,11-10,18-5,2-5,8-18","19-3,2-13,3-8,4-10,8-3",0.9166666666666666,0.8,0.11,0.0,0.6336363636363637,0.93,0.5133333333333333,0.0,0.06999999999999995
5,0.15,"10-10,11-10,18-5,2-5,8-18","19-3,2-13,3-8,4-10,8-3",0.9166666666666666,0.8,0.08,0.0,0.6315454545454545,0.96,0.4983333333333333,0.0,0.040000000000000036
5,0.2,"10-10,11-10,18-5,2-5,8-18","19-3,2-13,3-8,4-10,8-3",0.925,0.8,0.05,0.0,0.6311818181818182,0.94,0.48750000000000004,0.0,0.05
5,0.3,"10-10,11-10,18-5,2-5,8-18","19-3,2-13,3-8,4-10,8-3",0.925,0.8,0.04,0.0,0.6303181818181818,0.94,0.48250000000000004,0.0,0.04
