run_id,method,seed,scene,scope,group,tx,count,accuracy_pct,macro_f1_pct,macro_recall_pct
V2_A_seed392007,V2_A,392007,leo_rain_weak,receiver_tx,10,2,4000,31.6,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,receiver_tx,10,3,4000,45.2,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,receiver_tx,10,4,4000,87.1,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,receiver_tx,10,5,4000,97.3,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,receiver,11,,24000,59.329166666666666,54.75286640949696,59.329166666666666
V2_A_seed392007,V2_A,392007,leo_rain_weak,receiver_tx,11,0,4000,33.45,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,receiver_tx,11,1,4000,26.55,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,receiver_tx,11,2,4000,10.274999999999999,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,receiver_tx,11,3,4000,93.875,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,receiver_tx,11,4,4000,95.72500000000001,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,receiver_tx,11,5,4000,96.1,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day,0,,42000,56.73809523809524,55.594172986636934,56.73809523809524
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,0,0,7000,48.77142857142857,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,0,1,7000,15.814285714285713,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,0,2,7000,36.7,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,0,3,7000,68.08571428571429,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,0,4,7000,83.02857142857142,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,0,5,7000,88.02857142857144,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day,1,,42000,59.42857142857143,59.539782112293096,59.42857142857143
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,1,0,7000,48.35714285714286,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,1,1,7000,28.24285714285714,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,1,2,7000,46.34285714285714,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,1,3,7000,61.642857142857146,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,1,4,7000,84.01428571428572,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,1,5,7000,87.97142857142856,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day,2,,42000,56.38333333333333,55.911059437676634,56.38333333333333
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,2,0,7000,49.67142857142857,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,2,1,7000,18.728571428571428,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,2,2,7000,34.2,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,2,3,7000,63.328571428571436,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,2,4,7000,91.97142857142858,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,2,5,7000,80.4,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day,3,,42000,59.62619047619048,59.337172535498716,59.62619047619048
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,3,0,7000,41.042857142857144,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,3,1,7000,33.42857142857143,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,3,2,7000,38.55714285714286,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,3,3,7000,73.3,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,3,4,7000,86.14285714285714,,
V2_A_seed392007,V2_A,392007,leo_rain_weak,day_tx,3,5,7000,85.28571428571429,,
V2_B_seed392005,V2_B,392005,clean,overall,all,,168000,76.69404761904762,76.17536207619743,76.69404761904762
V2_B_seed392005,V2_B,392005,clean,overall_tx,all,0,28000,87.34285714285714,,
V2_B_seed392005,V2_B,392005,clean,overall_tx,all,1,28000,32.767857142857146,,
V2_B_seed392005,V2_B,392005,clean,overall_tx,all,2,28000,78.31785714285714,,
V2_B_seed392005,V2_B,392005,clean,overall_tx,all,3,28000,73.78928571428571,,
V2_B_seed392005,V2_B,392005,clean,overall_tx,all,4,28000,99.79285714285714,,
V2_B_seed392005,V2_B,392005,clean,overall_tx,all,5,28000,88.15357142857142,,
V2_B_seed392005,V2_B,392005,clean,receiver,0,,24000,82.74166666666667,80.45789062260816,82.74166666666667
V2_B_seed392005,V2_B,392005,clean,receiver_tx,0,0,4000,98.575,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,0,1,4000,24.224999999999998,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,0,2,4000,78.45,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,0,3,4000,98.97500000000001,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,0,4,4000,99.75,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,0,5,4000,96.475,,
V2_B_seed392005,V2_B,392005,clean,receiver,2,,24000,62.0375,61.196046611677446,62.0375
V2_B_seed392005,V2_B,392005,clean,receiver_tx,2,0,4000,92.5,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,2,1,4000,3.45,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,2,2,4000,63.525,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,2,3,4000,13.100000000000001,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,2,4,4000,99.97500000000001,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,2,5,4000,99.675,,
V2_B_seed392005,V2_B,392005,clean,receiver,5,,24000,85.71666666666667,85.1785541979781,85.71666666666667
V2_B_seed392005,V2_B,392005,clean,receiver_tx,5,0,4000,82.475,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,5,1,4000,46.525,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,5,2,4000,98.225,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,5,3,4000,87.625,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,5,4,4000,99.925,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,5,5,4000,99.52499999999999,,
V2_B_seed392005,V2_B,392005,clean,receiver,7,,24000,71.37916666666668,72.47173505205636,71.37916666666668
V2_B_seed392005,V2_B,392005,clean,receiver_tx,7,0,4000,79.55,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,7,1,4000,35.825,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,7,2,4000,75.325,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,7,3,4000,56.175,,
