run_id,row,seed,solver,b8_impl,lambda_adv,epochs,accepted_steps,field_evaluations,telemetry_backward_evaluations,train_seconds,peak_allocated_mib,initial_loss,final_loss,minimum_loss,mean_leo_accuracy,mean_four_accuracy,mean_leo_macro_f1,mean_four_macro_f1,pseudo_selected,unlabeled_exposures,satellite_exposures
V2_D_seed392006,V2_D,392006,head_lookahead,head_grad_only,0.35,200,9800,19600,160,31290.256642416585,2262.755859375,16.79189172083018,5.748839937910741,4.917603872260269,0.850925925925926,0.8830555555555556,0.8490754269802583,0.8816663346526274,343935,439008,814969
V2_D_seed392007,V2_D,392007,head_lookahead,head_grad_only,0.35,200,9800,19600,160,31969.250383014325,2262.86865234375,16.783639635358536,6.180706140946369,4.616447876910774,0.845111111111111,0.8778611111111111,0.8453982104351014,0.8780740361243176,345407,439008,814870
V2_E_seed392005,V2_E,392005,extragradient,reference,0.0,200,9800,19600,0,38257.93723476911,1359.3388671875,16.20944677080427,4.836671269669825,3.5171941129528745,0.8745679012345678,0.9016111111111111,0.8737382429413216,0.9009847210987522,353626,439008,815207
V2_E_seed392006,V2_E,392006,extragradient,reference,0.0,200,9800,19600,0,38570.57430469198,1359.12744140625,16.072730589886103,4.389062331647289,3.6528830309303437,0.8811975308641975,0.9054351851851852,0.8807364860940357,0.9050841608886815,350081,439008,814969
V2_E_seed392007,V2_E,392007,extragradient,reference,0.0,200,9800,19600,0,36647.44599793572,1359.244140625,16.086780295080068,5.076438782166462,3.5322410354808884,0.8747037037037038,0.9013703703703704,0.8747828416808012,0.9014295078704906,351378,439008,814870
V2_F_seed392005,V2_F,392005,extragradient,reference,0.35,200,9800,19600,0,35865.155364036094,1359.9482421875,16.872625273101185,5.779791895224124,4.323946519773834,0.868,0.8959814814814815,0.8670846056596183,0.8952883507492639,353048,439008,815207
V2_F_seed392006,V2_F,392006,extragradient,reference,0.35,200,9800,19600,0,36042.884855587035,1359.73681640625,16.736678259713308,5.3364285595563,4.526357324755922,0.8798271604938271,0.9043333333333333,0.8789949733662427,0.9037016694123146,351345,439008,814969
V2_F_seed392007,V2_F,392007,extragradient,reference,0.35,200,9800,19600,0,37960.58683012985,1359.853515625,16.748957925913285,6.124164177446949,4.363860300609043,0.8557530864197531,0.8874722222222222,0.8560810671893326,0.887717002744213,351706,439008,814870
V2_STRONG_SOURCE_LR_LOW_seed392005,V2_STRONG_SOURCE_LR_LOW,392005,simultaneous,reference,0.35,200,9800,9800,0,22554.890153680928,1339.88916015625,17.13235734433544,7.654057434626988,5.587700225869003,0.7954197530864198,0.84075,0.7897355326754761,0.836472067699923,326724,439008,815207
V2_STRONG_SOURCE_LR_BASE_seed392005,V2_STRONG_SOURCE_LR_BASE,392005,simultaneous,reference,0.35,200,9800,9800,0,22785.933445821982,1339.88916015625,16.927302808177714,6.150586386116183,4.743950741631644,0.8606296296296296,0.8909722222222223,0.8580171052634954,0.8890072612498242,348053,439008,815207
V2_STRONG_SOURCE_LR_HIGH_seed392005,V2_STRONG_SOURCE_LR_HIGH,392005,simultaneous,reference,0.35,200,9800,9800,0,20876.153195567895,1339.88916015625,16.697432459617147,4.716881017295682,4.162843397685459,0.9037654320987655,0.9241111111111111,0.9026054986269664,0.9232399584012506,357482,439008,815207
