rung,stage,epoch_start,epoch_end,epoch_count,train_loss_mean,train_loss_start,train_loss_end,train_tx_acc_mean,train_tx_acc_start,train_tx_acc_end,val_tx_acc_mean,val_tx_acc_start,val_tx_acc_end,val_dom_acc_mean,val_dom_acc_start,val_dom_acc_end,epoch_time_s_mean,epoch_time_s_start,epoch_time_s_end,train_time_s_mean,train_time_s_start,train_time_s_end,eval_time_s_mean,eval_time_s_start,eval_time_s_end,skipped_backward_batches_this_epoch_mean,skipped_backward_batches_this_epoch_start,skipped_backward_batches_this_epoch_end,val_tx_acc_best
R4,Stage3_split_pair,41,90,50,7.293906377024192,7.446564421361806,9.389048002204117,78.61695145145825,73.80420918367346,79.87882653061224,97.04474074074075,96.03703703703704,97.68888888888888,70.65444444444444,62.37407407407407,75.87777777777778,965.7286047579721,1029.426129475236,623.6969747589901,832.2482269924413,894.8575197383761,512.679560507182,133.48027557580733,134.5685041230172,111.0173021061346,0.2,0.0,0.0,97.70370370370371
R4,Stage4_discriminative_gate,91,200,110,9.142548831557923,10.488148222164233,8.855465943614641,83.18701131398522,79.59183673469387,86.474609375,97.80720538720539,97.81481481481481,97.95185185185186,78.73319865319866,76.13333333333334,80.0111111111111,974.0661496699872,623.9076808108948,6236.614359227009,788.3670507120053,512.8548722132109,982.4141251998954,185.69898440246894,111.0527108097449,5254.200093919877,0.15454545454545454,0.0,1.0,98.01481481481481
R5,Stage2_canonical_content_cycle,1,40,40,8.91752780686122,20.32323484217867,6.689674542874706,60.344653486394556,0.0,76.72193877551021,90.05324074074073,25.31111111111111,95.95555555555555,48.384537037037035,10.27037037037037,61.181481481481484,425.98908676604043,382.31619931105524,377.93752790102735,266.45147106816296,222.77747602714226,243.90601747203618,159.5375084862695,159.53858025092632,134.03142004134133,0.1,2.0,0.0,96.37407407407407
R5,Stage3_split_pair,41,90,50,7.283373296824442,7.372051929940983,9.31905030210813,78.58586442389455,74.55357142857143,79.736328125,97.08762962962963,96.11111111111111,97.51481481481481,70.76533333333333,63.06666666666667,76.22962962962963,922.380342189176,1072.5890421699733,696.7297279946506,790.1499001739174,934.2784921634011,580.1146668386646,132.23034574237653,138.31044619716704,116.61496390914544,0.12,0.0,1.0,97.7074074074074
R5,Stage4_discriminative_gate,91,200,110,9.131132101191353,10.441286145424357,8.948337613319865,83.27810677659,79.59183673469387,86.16071428571429,97.81892255892257,97.66666666666667,97.92592592592592,78.2905723905724,75.17407407407407,78.78148148148148,986.8658572422001,675.9001123970374,6056.6499989940785,800.2957678250884,560.329736540094,930.670135288965,186.56996866727502,115.57027410110459,5125.979711432476,0.18181818181818182,0.0,0.0,97.9888888888889
R6,Stage2_canonical_content_cycle,1,40,40,8.925039981127558,20.32482001122008,6.729649110716217,60.337171489689624,0.0,77.00892857142857,89.96018518518518,23.72962962962963,96.25925925925925,48.35722222222222,9.737037037037037,62.096296296296295,423.2775278990157,374.89023930672556,380.1690561962314,263.9850429740851,219.00871095759794,245.1491251871921,159.29238354752306,155.88136794790626,135.0198353701271,0.1,2.0,0.0,96.25925925925925
R6,Stage3_split_pair,41,90,50,7.316964011143665,7.490886308708969,9.453358922685895,78.52623432185375,73.85204081632654,79.97448979591837,97.10555555555555,96.37407407407407,97.74444444444444,70.15518518518519,62.79259259259259,74.72962962962963,980.7411624331586,1074.761696652975,676.9881273489445,844.7654920357932,935.3608329407871,561.6145073692314,135.9755680470355,139.40074991015717,115.3735322910361,0.16,0.0,0.0,97.75925925925925
R6,Stage4_discriminative_gate,91,200,110,9.290026368164899,10.301441530386606,9.138739483697075,82.76548946162121,81.13606770833333,85.45918367346938,97.86047138047138,97.79629629629629,97.95925925925926,78.40882154882155,73.86666666666666,79.51481481481481,1028.4825485816818,670.5076763629913,6432.5852828263305,839.0389518966687,555.7080292138271,1037.889153953176,189.44349401470444,114.79954474791884,5394.696025203913,0.15454545454545454,1.0,0.0,97.9962962962963
R7,Stage2_canonical_content_cycle,1,40,40,8.924865528347826,20.324698671381523,6.671218755293865,60.295094600340136,0.0,76.83354591836735,89.90611111111112,24.62962962962963,95.85555555555555,48.50296296296297,10.033333333333333,61.86296296296296,432.429051715706,379.10542190633714,411.80499741993845,271.1489512380911,221.56365481810644,259.7571791978553,161.2799998677452,157.54163715336472,152.04772215662524,0.125,2.0,0.0,96.21481481481482
R7,Stage3_split_pair,41,90,50,7.316510841005237,7.528727571169536,9.410732926154623,78.409966563088,73.291015625,80.03826530612245,96.96733333333333,96.2074074074074,97.53333333333333,70.54244444444444,62.22962962962963,75.34444444444445,1144.957600545874,1103.712837359868,894.5812958441675,999.7101957954094,962.3156747729518,765.5734056993388,145.24730520519427,141.39704611618072,129.00779359182343,0.12,1.0,0.0,97.61851851851851
R7,Stage4_discriminative_gate,91,194,104,11.116664148917872,12.473485430892634,10.98375026547179,82.85890251504108,79.51211734693878,80.2295918367347,97.77877492877494,97.75555555555556,97.9,77.96752136752137,75.61481481481482,78.57037037037037,2186.804365211565,2160.7781576598063,2379.009385161102,2038.6158715061924,2012.2427307879552,2228.191199815832,148.18837912931878,148.53530353493989,150.81809128727764,0.18269230769230768,0.0,0.0,97.97777777777777
R8,Stage2_canonical_content_cycle,1,40,40,8.902254681162486,20.324007034301758,6.71350589090464,60.34503547512755,0.0,76.70599489795919,89.85861111111112,24.962962962962962,96.08518518518518,49.00527777777778,9.88888888888889,62.11851851851852,432.4052944760071,387.4656667658128,384.6725784209557,270.69338648262203,228.1386632057838,245.8682064767927,161.7118070113007,159.3268481809646,138.80426575709134,0.1,2.0,0.0,96.23703703703704
R8,Stage3_split_pair,41,90,50,7.306964059680903,7.402202129364014,9.419178169600817,78.54829001913265,73.82015306122449,79.7672193877551,96.97148148148148,96.2074074074074,97.23703703703704,70.74637037037037,63.54814814814815,75.48148148148148,976.7362382465788,1085.7027581413276,676.5492485468276,840.05955503257,942.9769426332787,559.48339399416,136.67658558066003,142.72571985563263,117.06576174078509,0.1,0.0,0.0,97.62222222222222
R8,Stage4_discriminative_gate,91,106,16,11.770440274735495,12.408740393969477,12.314802189262545,81.59860623937075,79.70344387755102,77.35969387755102,97.57291666666667,97.5962962962963,97.44814814814815,76.1162037037037,75.55925925925926,77.54444444444445,1793.1719048561645,1644.0859625060111,1896.460767843295,1667.2679285041813,1524.1322965291329,1766.6929282299243,125.90386031349772,119.95354927610606,129.7677282700315,0.0625,0.0,0.0,97.78888888888889
