rung,source,feature,target,accuracy_pct,majority_pct,train_n,test_n,classes
R5,diagnostic_payload,gamma_nuis,receiver_labels,36.65436506271362,20.50020500205002,20210,4878,5
R5,diagnostic_payload,gamma_nuis,view_labels,70.25420069694519,50.0,20210,4878,2
R5,diagnostic_payload,canonical_nuisance,receiver_labels,27.654775977134705,20.50020500205002,20210,4878,5
R5,diagnostic_payload,canonical_nuisance,view_labels,71.91472053527832,50.0,20210,4878,2
R5,negative_control_first_record,quality_only_tx_probe,tx_labels,17.391304671764374,30.434782608695652,210,46,6
R5,negative_control_first_record,raw_coefficient,tx_labels,30.434781312942505,30.434782608695652,210,46,6
R5,negative_control_first_record,whitened_coefficient,tx_labels,28.260868787765503,30.434782608695652,210,46,6
R5,negative_control_first_record,anchor_surface,tx_labels,19.565217196941376,30.434782608695652,210,46,6
R6,diagnostic_payload,z_resp,tx_labels,26.25201940536499,17.609046849757675,10068,2476,6
R6,diagnostic_payload,z_resp,receiver_labels,37.61787712574005,20.50020500205002,20210,4878,5
R6,diagnostic_payload,z_resp,view_labels,63.89914155006409,50.0,20210,4878,2
R6,diagnostic_payload,s_hat_summary,tx_labels,36.389338970184326,17.609046849757675,10068,2476,6
R6,diagnostic_payload,s_hat_summary,receiver_labels,41.10291004180908,20.50020500205002,20210,4878,5
R6,diagnostic_payload,s_hat_summary,view_labels,78.53628396987915,50.0,20210,4878,2
R6,diagnostic_payload,c_fp,tx_labels,37.43941783905029,17.609046849757675,10068,2476,6
R6,diagnostic_payload,c_fp,receiver_labels,46.637967228889465,20.50020500205002,20210,4878,5
R6,diagnostic_payload,c_fp,view_labels,66.23616218566895,50.0,20210,4878,2
R6,diagnostic_payload,gamma_nuis,receiver_labels,39.23739194869995,20.50020500205002,20210,4878,5
R6,diagnostic_payload,gamma_nuis,view_labels,67.79417991638184,50.0,20210,4878,2
R6,diagnostic_payload,canonical_nuisance,receiver_labels,26.281261444091797,20.50020500205002,20210,4878,5
R6,diagnostic_payload,canonical_nuisance,view_labels,71.46371603012085,50.0,20210,4878,2
R6,negative_control_first_record,quality_only_tx_probe,tx_labels,15.217390656471252,30.434782608695652,210,46,6
R6,negative_control_first_record,raw_coefficient,tx_labels,28.260868787765503,30.434782608695652,210,46,6
R6,negative_control_first_record,whitened_coefficient,tx_labels,17.391304671764374,30.434782608695652,210,46,6
R6,negative_control_first_record,anchor_surface,tx_labels,15.217390656471252,30.434782608695652,210,46,6
