arm,method,scenario,receiver_idx,receiver_label,days,accuracy_pct,correct,total
A3,三教师视图部署加权球面聚合，无tangent（上界）,clean,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",92.00833333333334,22082,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,clean,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",69.05,16572,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,clean,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",81.67083333333333,19601,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,clean,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",91.16666666666667,21880,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,clean,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",77.54583333333333,18611,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_clear_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",78.47083333333333,18833,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_clear_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",63.275,15186,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_clear_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",84.72916666666667,20335,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_clear_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.675,15042,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_clear_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",71.1375,17073,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_clear_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",81.76666666666667,19624,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_clear_weak,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",71.40833333333333,17138,24000
