row,epoch,epoch_time_s,train_muse_time_train_batches_s,train_muse_time_base_validation_s,train_muse_time_heavy_source_validation_s,train_muse_time_other_s,train_time_periodic_target_seconds,train_daot_objective_computed,train_skipped_nonfinite_grad,train_skipped_nonfinite_loss,train_optimizer_step_applied
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,17,419.5998766422272,373.01111936569214,6.559255838394165,38.98301959037781,1.0464818477630615,0.0,0.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,18,422.5423493385315,374.8235282897949,6.676903247833252,39.987085819244385,1.0548319816589355,0.0,0.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,19,383.8342432975769,337.3011269569397,6.5055670738220215,39.32950162887573,0.6980476379394531,0.0,0.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,20,757.1645708084106,710.7835054397583,6.705288410186768,38.61668109893799,1.059095859527588,0.0,0.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,21,893.5799713134766,846.894674539566,6.488725662231445,39.523616790771484,0.6729543209075928,0.0,1.0,0.02252252252252252,0.0,0.9774774774774775
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,22,896.9307191371918,848.4633347988129,6.637052059173584,40.64579486846924,1.184537410736084,0.0,1.0,0.013513513513513514,0.0,0.9864864864864865
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,23,370.2194674015045,355.99924421310425,5.286351919174194,8.631410360336304,0.3024609088897705,0.0,1.0,0.0045045045045045045,0.0,0.9954954954954955
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,24,266.7719159126282,252.73454880714417,5.168030261993408,8.568825483322144,0.30051136016845703,0.0,1.0,0.0045045045045045045,0.0,0.9954954954954955
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,25,268.1163556575775,254.12208342552185,5.133749485015869,8.560095071792603,0.3004276752471924,0.0,1.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,26,267.64266324043274,253.50704884529114,5.246428966522217,8.589126825332642,0.30005860328674316,0.0,1.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,27,267.99115777015686,253.94477891921997,5.190086841583252,8.555307626724243,0.30098438262939453,0.0,1.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,28,267.9050974845886,253.8750081062317,5.133803606033325,8.582189083099365,0.31409668922424316,0.0,1.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_50_50_s392005,1,105.61388182640076,90.3335371017456,6.042237758636475,8.936215162277222,0.3018918037414551,0.0,0.0,0.0045045045045045045,0.0,0.9954954954954955
RESIDUAL_HIGH_LOWURBAN_50_50_s392005,2,95.31002807617188,80.49470019340515,5.6536924839019775,8.866648197174072,0.29498720169067383,0.0,0.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_50_50_s392005,3,94.38536953926086,79.83306622505188,5.44327449798584,8.814566850662231,0.2944619655609131,0.0,0.0,0.013513513513513514,0.0,0.9864864864864865
RESIDUAL_HIGH_LOWURBAN_50_50_s392005,4,95.87736177444458,81.3868408203125,5.385838747024536,8.808770179748535,0.2959120273590088,0.0,0.0,0.0,0.0,1.0
