candidate,scene,group,value,rows,correct,closed_accuracy,accepted,coverage,accepted_correct,accepted_accuracy
A2,clean,RX,0,24000,19601,0.8167083333333334,21923,0.9134583333333334,18793,0.8572275692195411
A2,clean,RX,2,24000,14964,0.6235,20772,0.8655,13869,0.6676776429809359
A2,clean,RX,5,24000,20194,0.8414166666666667,22178,0.9240833333333334,19309,0.8706375687618361
A2,clean,RX,7,24000,16907,0.7044583333333333,21573,0.898875,16193,0.750614193668011
A2,clean,RX,9,24000,18113,0.7547083333333333,19225,0.8010416666666667,16314,0.8485825747724317
A2,clean,RX,10,24000,19100,0.7958333333333333,22038,0.91825,18235,0.8274344314366094
A2,clean,RX,11,24000,18652,0.7771666666666667,21924,0.9135,17989,0.8205163291370188
A2,clean,day,0,42000,31153,0.7417380952380952,37593,0.8950714285714285,29605,0.7875136328571809
A2,clean,day,1,42000,33431,0.7959761904761905,38172,0.9088571428571428,31678,0.8298753012679451
A2,clean,day,2,42000,30072,0.716,36663,0.8729285714285714,28285,0.7714862395330442
A2,clean,day,3,42000,32875,0.7827380952380952,37205,0.8858333333333334,31134,0.8368230076602607
A2,clean,RX_TX,0:0,4000,3964,0.991,3969,0.99225,3949,0.9949609473418998
A2,clean,RX_TX,0:1,4000,1135,0.28375,3744,0.936,1001,0.2673611111111111
A2,clean,RX_TX,0:2,4000,3009,0.75225,3031,0.75775,2810,0.9270867700428901
A2,clean,RX_TX,0:3,4000,3838,0.9595,3866,0.9665,3772,0.9756854630108639
A2,clean,RX_TX,0:4,4000,3984,0.996,3953,0.98825,3948,0.9987351378699721
A2,clean,RX_TX,0:5,4000,3671,0.91775,3360,0.84,3313,0.9860119047619048
A2,clean,RX_TX,2:0,4000,3505,0.87625,3743,0.93575,3380,0.9030189687416511
A2,clean,RX_TX,2:1,4000,2378,0.5945,3503,0.87575,2135,0.6094775906365972
A2,clean,RX_TX,2:2,4000,1197,0.29925,2300,0.575,868,0.3773913043478261
A2,clean,RX_TX,2:3,4000,85,0.02125,3787,0.94675,50,0.013203063110641669
A2,clean,RX_TX,2:4,4000,3996,0.999,3994,0.9985,3992,0.99949924887331
A2,clean,RX_TX,2:5,4000,3803,0.95075,3445,0.86125,3444,0.9997097242380262
A2,clean,RX_TX,5:0,4000,3167,0.79175,3689,0.92225,3044,0.8251558687991326
A2,clean,RX_TX,5:1,4000,2509,0.62725,3442,0.8605,2198,0.6385822196397444
A2,clean,RX_TX,5:2,4000,3458,0.8645,3444,0.861,3199,0.9288617886178862
A2,clean,RX_TX,5:3,4000,3092,0.773,3689,0.92225,2965,0.8037408511791814
A2,clean,RX_TX,5:4,4000,3997,0.99925,3996,0.999,3995,0.9997497497497497
A2,clean,RX_TX,5:5,4000,3971,0.99275,3918,0.9795,3908,0.9974476773864216
A2,clean,RX_TX,7:0,4000,3605,0.90125,3793,0.94825,3485,0.9187977853941471
A2,clean,RX_TX,7:1,4000,2400,0.6,3708,0.927,2254,0.6078748651564185
A2,clean,RX_TX,7:2,4000,1920,0.48,2903,0.72575,1789,0.6162590423699621
A2,clean,RX_TX,7:3,4000,1653,0.41325,3799,0.94975,1570,0.413266649118189
A2,clean,RX_TX,7:4,4000,3976,0.994,3876,0.969,3868,0.9979360165118679
A2,clean,RX_TX,7:5,4000,3353,0.83825,3494,0.8735,3227,0.9235832856325129
A2,clean,RX_TX,9:0,4000,3431,0.85775,3931,0.98275,3399,0.8646654795217502
A2,clean,RX_TX,9:1,4000,1897,0.47425,3536,0.884,1669,0.4720022624434389
A2,clean,RX_TX,9:2,4000,2492,0.623,2588,0.647,2149,0.830370942812983
A2,clean,RX_TX,9:3,4000,3947,0.98675,3944,0.986,3925,0.9951825557809331
A2,clean,RX_TX,9:4,4000,3998,0.9995,4000,1.0,3998,0.9995
A2,clean,RX_TX,9:5,4000,2348,0.587,1226,0.3065,1174,0.9575856443719413
A2,clean,RX_TX,10:0,4000,3985,0.99625,3990,0.9975,3979,0.9972431077694236
A2,clean,RX_TX,10:1,4000,2657,0.66425,3444,0.861,2363,0.6861207897793263
