scenario,new_class_count,state,class_role,class_id,accuracy,nll,query_rows
leo_clear_weak,10,DA0_REG0,old,5,0.95,0.5456164755828324,20
leo_clear_weak,10,DA1_REG0,old,0,0.95,0.8568342433430353,20
leo_clear_weak,10,DA1_REG0,old,1,1.0,0.9843446794376405,20
leo_clear_weak,10,DA1_REG0,old,2,0.8,1.0156754338400222,20
leo_clear_weak,10,DA1_REG0,old,3,0.8,0.9985180819715433,20
leo_clear_weak,10,DA1_REG0,old,4,0.95,0.8486954400060357,20
leo_clear_weak,10,DA1_REG0,old,5,0.95,0.5466749322288899,20
leo_clear_weak,10,DA0_REG1,old,0,0.9,1.3412945080259204,20
leo_clear_weak,10,DA0_REG1,old,1,0.8,1.7072603168340774,20
leo_clear_weak,10,DA0_REG1,old,2,0.65,1.5789614507728666,20
leo_clear_weak,10,DA0_REG1,old,3,0.7,1.570409343113844,20
leo_clear_weak,10,DA0_REG1,old,4,0.85,1.7216440151470365,20
leo_clear_weak,10,DA0_REG1,old,5,1.0,0.944127142931479,20
leo_clear_weak,10,DA0_REG1,new,10,0.75,1.8055605479779835,20
leo_clear_weak,10,DA0_REG1,new,11,0.85,0.8725441406217336,20
leo_clear_weak,10,DA0_REG1,new,12,0.85,1.6108237027639347,20
leo_clear_weak,10,DA0_REG1,new,13,1.0,1.2857469951353095,20
leo_clear_weak,10,DA0_REG1,new,14,1.0,0.8201284558344224,20
leo_clear_weak,10,DA0_REG1,new,15,0.65,1.9258407188034208,20
leo_clear_weak,10,DA0_REG1,new,6,0.8,1.7387759609130307,20
leo_clear_weak,10,DA0_REG1,new,7,1.0,0.9885864694956851,20
leo_clear_weak,10,DA0_REG1,new,8,0.8,1.956878047306669,20
leo_clear_weak,10,DA0_REG1,new,9,0.8,1.7356821884457632,20
leo_clear_weak,10,DA1_REG1,old,0,0.9,1.3415697473901982,20
leo_clear_weak,10,DA1_REG1,old,1,0.8,1.706858699944346,20
leo_clear_weak,10,DA1_REG1,old,2,0.65,1.5768042504637763,20
