candidate,scenario,new_class_count,query_rows,DA0_REG0_old_acc,DA0_REG0_old_floor,DA0_REG0_old_nll,DA0_REG0_old_ece10,DA0_REG0_registered_acc,DA0_REG0_registered_floor,DA0_REG0_registered_nll,DA0_REG0_seen_new_acc,DA0_REG0_new_floor,DA0_REG0_H_old_new,DA1_REG0_old_acc,DA1_REG0_old_floor,DA1_REG0_old_nll,DA1_REG0_old_ece10,DA1_REG0_registered_acc,DA1_REG0_registered_floor,DA1_REG0_registered_nll,DA1_REG0_seen_new_acc,DA1_REG0_new_floor,DA1_REG0_H_old_new,DA0_REG1_old_acc,DA0_REG1_old_floor,DA0_REG1_old_nll,DA0_REG1_old_ece10,DA0_REG1_registered_acc,DA0_REG1_registered_floor,DA0_REG1_registered_nll,DA0_REG1_seen_new_acc,DA0_REG1_new_floor,DA0_REG1_H_old_new,DA1_REG1_old_acc,DA1_REG1_old_floor,DA1_REG1_old_nll,DA1_REG1_old_ece10,DA1_REG1_registered_acc,DA1_REG1_registered_floor,DA1_REG1_registered_nll,DA1_REG1_seen_new_acc,DA1_REG1_new_floor,DA1_REG1_H_old_new,da_before_old_acc,da_after_old_acc,da_after_new_acc,da_after_h,da_after_registered_acc,da_before_old_nll,da_after_old_nll,da_after_old_ece10,da_after_registered_nll,registration_without_da_old_acc,registration_with_da_old_acc,interaction_old_acc
R3_DUALDELTA_T3_D92_INLOOP,leo_clear_weak,2,160,0.9083333333333333,0.8,0.8734497866352877,0.4548497944484509,0.9083333333333333,0.8,0.8734497866352877,,,,0.9083333333333333,0.8,0.873997866880441,0.4550365808492894,0.9083333333333333,0.8,0.873997866880441,,,,0.925,0.8,0.9732827757630851,0.5079810283933196,0.94375,0.8,0.9153766049722833,1.0,1.0,0.961038961038961,0.925,0.8,0.9725293837009142,0.507570968375047,0.94375,0.8,0.9149043695577875,1.0,1.0,0.961038961038961,0.0,0.0,0.0,0.0,0.0,0.0005480802451532929,-0.0007533920621708434,-0.00041006001827259553,-0.0004722354144958141,0.01666666666666672,0.01666666666666672,0.0
R3_DUALDELTA_T3_D92_INLOOP,leo_clear_weak,20,520,0.9083333333333333,0.8,0.8734497894983584,0.45484979634746353,0.9083333333333333,0.8,0.8734497894983584,,,,0.9083333333333333,0.8,0.8734497894983584,0.45484979634746353,0.9083333333333333,0.8,0.8734497894983584,,,,0.8416666666666667,0.7,1.8909180272259993,0.6585959094168059,0.7846153846153846,0.55,1.9258402429448567,0.7675,0.55,0.8028741584671155,0.8416666666666667,0.7,1.8909180272259993,0.6585959094168059,0.7846153846153846,0.55,1.9258402429448567,0.7675,0.55,0.8028741584671155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06666666666666665,-0.06666666666666665,0.0
R3_DUALDELTA_T3_D92_INLOOP,leo_low_elev_weak,10,320,0.9083333333333333,0.9,0.9136692986565697,0.45336198432989877,0.9083333333333333,0.9,0.9136692986565697,,,,0.9083333333333333,0.8,0.8839192462635777,0.4477720835499249,0.9083333333333333,0.8,0.8839192462635777,,,,0.7,0.45,1.6880252473867012,0.46644586967626006,0.6875,0.4,1.7683864008359353,0.68,0.4,0.6898550724637681,0.7,0.45,1.6891537288281497,0.4667941978001248,0.6875,0.4,1.769728896430692,0.68,0.4,0.6898550724637681,0.0,0.0,0.0,0.0,0.0,-0.029750052392992,0.0011284814414485034,0.00034832812386476064,0.001342495594756743,-0.20833333333333337,-0.20833333333333337,0.0
R3_DUALDELTA_T3_D92_INLOOP,leo_low_elev_weak,2,160,0.9083333333333333,0.9,0.9136692999810889,0.4533619853170095,0.9083333333333333,0.9,0.9136692999810889,,,,0.9083333333333333,0.9,0.9136692999810889,0.4533619853170095,0.9083333333333333,0.9,0.9136692999810889,,,,0.8416666666666667,0.7,1.0862736523498466,0.44114428112614895,0.8625,0.7,1.0560337041445043,0.925,0.85,0.8813679245283019,0.8416666666666667,0.7,1.0862736523498466,0.44114428112614895,0.8625,0.7,1.0560337041445043,0.925,0.85,0.8813679245283019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06666666666666665,-0.06666666666666665,0.0
R3_DUALDELTA_T3_D92_INLOOP,leo_low_elev_weak,20,520,0.9083333333333333,0.9,0.9136693012228981,0.4533619855623815,0.9083333333333333,0.9,0.9136693012228981,,,,0.9083333333333333,0.9,0.9136693012228981,0.4533619855623815,0.9083333333333333,0.9,0.9136693012228981,,,,0.7083333333333334,0.45,2.045239557189916,0.5360473680303193,0.6211538461538462,0.4,2.138581602946599,0.595,0.4,0.6467391304347826,0.7083333333333334,0.45,2.045239557189916,0.5360473680303193,0.6211538461538462,0.4,2.138581602946599,0.595,0.4,0.6467391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19999999999999996,-0.19999999999999996,0.0
R3_DUALDELTA_T3_D92_INLOOP,leo_rain_weak,10,320,0.825,0.55,0.901568093043517,0.36732466810829123,0.825,0.55,0.901568093043517,,,,0.825,0.55,0.901568093043517,0.36732466810829123,0.825,0.55,0.901568093043517,,,,0.7,0.5,1.8099904243405756,0.5161406154098108,0.721875,0.5,1.8390573879525784,0.735,0.55,0.7170731707317072,0.7,0.5,1.8099904243405756,0.5161406154098108,0.721875,0.5,1.8390573879525784,0.735,0.55,0.7170731707317072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,-0.125,0.0
R3_DUALDELTA_T3_D92_INLOOP,leo_rain_weak,2,160,0.825,0.55,0.9015680934334483,0.36732467131748797,0.825,0.55,0.9015680934334483,,,,0.8166666666666667,0.55,0.8990645008741761,0.35910296199427616,0.8166666666666667,0.55,0.8990645008741761,,,,0.7666666666666667,0.5,1.089279361985706,0.38002486179151823,0.81875,0.5,1.0314952871323175,0.975,0.95,0.8583732057416268,0.7666666666666667,0.5,1.088815301267986,0.37983757184394606,0.81875,0.5,1.0309451801801202,0.975,0.95,0.8583732057416268,-0.008333333333333304,0.0,0.0,0.0,0.0,-0.0025035925592722386,-0.0004640607177199829,-0.00018728994757216677,-0.0005501069521973712,-0.05833333333333324,-0.04999999999999993,0.008333333333333304
R3_DUALDELTA_T3_D92_INLOOP,leo_rain_weak,20,520,0.825,0.55,0.9015681657344561,0.36732471281935813,0.825,0.55,0.9015681657344561,,,,0.825,0.55,0.9015681657344561,0.36732471281935813,0.825,0.55,0.9015681657344561,,,,0.675,0.4,2.163755948261605,0.5425651556734175,0.6115384615384616,0.3,2.290360277379098,0.5925,0.3,0.6310650887573965,0.675,0.4,2.163755948261605,0.5425651556734175,0.6115384615384616,0.3,2.290360277379098,0.5925,0.3,0.6310650887573965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1499999999999999,-0.1499999999999999,0.0
S02_T3_D92,leo_clear_weak,10,320,0.9083333333333333,0.8,0.8734497926520762,0.45484979548062177,0.9083333333333333,0.8,0.8734497926520762,,,,0.9083333333333333,0.8,0.8769152216260505,0.4553046550173571,0.9083333333333333,0.8,0.8769152216260505,,,,0.8166666666666667,0.65,1.477282796137537,0.5467603360968727,0.8375,0.65,1.4752665002576983,0.85,0.65,0.833,0.825,0.65,1.4761434884998315,0.5549147257408317,0.8375,0.65,1.4746201780928423,0.845,0.65,0.8348802395209581,0.0,0.008333333333333304,-0.0050000000000000044,0.0018802395209581713,0.0,0.0034654289739742827,-0.0011393076377055333,0.008154389643958981,-0.0006463221648560502,-0.09166666666666667,-0.08333333333333337,0.008333333333333304
S02_T3_D92,leo_clear_weak,2,160,0.9083333333333333,0.8,0.8734497866352877,0.4548497944484509,0.9083333333333333,0.8,0.8734497866352877,,,,0.9083333333333333,0.8,0.8769152239628688,0.45530465598106873,0.9083333333333333,0.8,0.8769152239628688,,,,0.925,0.8,0.9732827757630851,0.5079810283933196,0.94375,0.8,0.9153766049722833,1.0,1.0,0.961038961038961,0.925,0.8,0.970575374595939,0.5060935776423496,0.94375,0.8,0.913821602285838,1.0,1.0,0.961038961038961,0.0,0.0,0.0,0.0,0.0,0.003465437327581089,-0.002707401167146073,-0.0018874507509699656,-0.0015550026864453725,0.01666666666666672,0.01666666666666672,0.0
