scenario,method,state,role,class_id,accuracy,nll
leo_rain_weak,J2_R3,DA1_REG0,old,5,0.9,0.6055790865899284
leo_rain_weak,J2_R3,DA0_REG1,old,0,0.45,1.496703616642795
leo_rain_weak,J2_R3,DA0_REG1,old,1,0.8,1.4895979251538836
leo_rain_weak,J2_R3,DA0_REG1,old,2,0.7,1.353591513833091
leo_rain_weak,J2_R3,DA0_REG1,old,3,0.65,1.3387824406353037
leo_rain_weak,J2_R3,DA0_REG1,old,4,0.75,1.5015127367721486
leo_rain_weak,J2_R3,DA0_REG1,old,5,0.95,0.7734294014920847
leo_rain_weak,J2_R3,DA0_REG1,new,10,0.7,1.3531671162026844
leo_rain_weak,J2_R3,DA0_REG1,new,6,1.0,1.2716560557393541
leo_rain_weak,J2_R3,DA0_REG1,new,7,1.0,1.0128284821323934
leo_rain_weak,J2_R3,DA0_REG1,new,8,0.65,1.6440777907662383
leo_rain_weak,J2_R3,DA0_REG1,new,9,0.6,1.6191773268205014
leo_rain_weak,J2_R3,DA1_REG1,old,0,0.45,1.496641183090737
leo_rain_weak,J2_R3,DA1_REG1,old,1,0.8,1.4896259608612827
leo_rain_weak,J2_R3,DA1_REG1,old,2,0.7,1.3540140084034384
leo_rain_weak,J2_R3,DA1_REG1,old,3,0.65,1.3390806499365528
leo_rain_weak,J2_R3,DA1_REG1,old,4,0.75,1.501286347429924
leo_rain_weak,J2_R3,DA1_REG1,old,5,0.95,0.773886087794346
leo_rain_weak,J2_R3,DA1_REG1,new,10,0.7,1.3530409478162657
leo_rain_weak,J2_R3,DA1_REG1,new,6,1.0,1.2724680587078163
leo_rain_weak,J2_R3,DA1_REG1,new,7,1.0,1.011519129280144
leo_rain_weak,J2_R3,DA1_REG1,new,8,0.65,1.6436263233572137
leo_rain_weak,J2_R3,DA1_REG1,new,9,0.6,1.6194213027723579
leo_rain_weak,J3_R5D92_G,DA0_REG0,old,0,0.55,1.1199796201518593
leo_rain_weak,J3_R5D92_G,DA0_REG0,old,1,0.85,1.1043422101168374
leo_rain_weak,J3_R5D92_G,DA0_REG0,old,2,0.85,0.969600478289163
leo_rain_weak,J3_R5D92_G,DA0_REG0,old,3,0.8,0.9686585344125038
leo_rain_weak,J3_R5D92_G,DA0_REG0,old,4,1.0,0.643531063379518
leo_rain_weak,J3_R5D92_G,DA0_REG0,old,5,0.9,0.6006611136683772
leo_rain_weak,J3_R5D92_G,DA1_REG0,old,0,0.55,1.1171578908452462
leo_rain_weak,J3_R5D92_G,DA1_REG0,old,1,0.85,1.0821881803571147
leo_rain_weak,J3_R5D92_G,DA1_REG0,old,2,0.85,0.9642664882008696
leo_rain_weak,J3_R5D92_G,DA1_REG0,old,3,0.75,0.9834780683240517
leo_rain_weak,J3_R5D92_G,DA1_REG0,old,4,1.0,0.6380751735398429
leo_rain_weak,J3_R5D92_G,DA1_REG0,old,5,0.9,0.6067646755131678
leo_rain_weak,J3_R5D92_G,DA0_REG1,old,0,0.45,1.496703616642795
leo_rain_weak,J3_R5D92_G,DA0_REG1,old,1,0.8,1.4895979251538836
leo_rain_weak,J3_R5D92_G,DA0_REG1,old,2,0.7,1.353591513833091
leo_rain_weak,J3_R5D92_G,DA0_REG1,old,3,0.65,1.3387824406353037
leo_rain_weak,J3_R5D92_G,DA0_REG1,old,4,0.75,1.5015127367721486
leo_rain_weak,J3_R5D92_G,DA0_REG1,old,5,0.95,0.7734294014920847
leo_rain_weak,J3_R5D92_G,DA0_REG1,new,10,0.7,1.3531671162026844
leo_rain_weak,J3_R5D92_G,DA0_REG1,new,6,1.0,1.2716560557393541
leo_rain_weak,J3_R5D92_G,DA0_REG1,new,7,1.0,1.0128284821323934
leo_rain_weak,J3_R5D92_G,DA0_REG1,new,8,0.65,1.6440777907662383
leo_rain_weak,J3_R5D92_G,DA0_REG1,new,9,0.6,1.6191773268205014
leo_rain_weak,J3_R5D92_G,DA1_REG1,old,0,0.45,1.497316011483102
leo_rain_weak,J3_R5D92_G,DA1_REG1,old,1,0.8,1.4895840306505506
leo_rain_weak,J3_R5D92_G,DA1_REG1,old,2,0.7,1.3534582965916973
leo_rain_weak,J3_R5D92_G,DA1_REG1,old,3,0.65,1.3388622968189292
leo_rain_weak,J3_R5D92_G,DA1_REG1,old,4,0.75,1.50126389458753
leo_rain_weak,J3_R5D92_G,DA1_REG1,old,5,0.95,0.7732431193236057
leo_rain_weak,J3_R5D92_G,DA1_REG1,new,10,0.7,1.3527252347239984
leo_rain_weak,J3_R5D92_G,DA1_REG1,new,6,1.0,1.27222146763692
leo_rain_weak,J3_R5D92_G,DA1_REG1,new,7,1.0,1.0103908725373398
leo_rain_weak,J3_R5D92_G,DA1_REG1,new,8,0.65,1.6436689504121405
leo_rain_weak,J3_R5D92_G,DA1_REG1,new,9,0.6,1.6188890909607696
