scenario,new_class_count,state,old_acc,old_floor,seen_new_acc,new_floor,H_old_new,registered_acc,registered_floor,registered_nll,registered_ece10,old_nll,old_ece10,query_rows
leo_clear_weak,3,DA0_REG1,0.8833333333333333,0.75,0.9333333333333333,0.8,0.9076452599388379,0.9,0.75,1.0511056520445847,0.5076899686788862,1.0545813571019886,0.49530272996181,180
leo_clear_weak,3,DA1_REG1,0.8833333333333333,0.75,0.9333333333333333,0.8,0.9076452599388379,0.9,0.75,1.0505735472062847,0.507921331974676,1.0549449598506506,0.49549561461680003,180
leo_clear_weak,5,DA0_REG0,0.9083333333333333,0.8,,,,0.9083333333333333,0.8,0.8734497926520762,0.45484979548062177,0.8734497926520762,0.45484979548062177,220
leo_clear_weak,5,DA1_REG0,0.9083333333333333,0.8,,,,0.9083333333333333,0.8,0.8751238018045278,0.4553714415931785,0.8751238018045278,0.4553714415931785,220
leo_clear_weak,5,DA0_REG1,0.85,0.7,0.89,0.75,0.8695402298850574,0.8681818181818182,0.7,1.2411790059562633,0.5352786171174269,1.2120244337067472,0.5099557090755467,220
leo_clear_weak,5,DA1_REG1,0.8583333333333333,0.75,0.89,0.75,0.8738798856053384,0.8727272727272727,0.75,1.240795675977754,0.5402254214009636,1.2128222402865334,0.5189555072930605,220
leo_clear_weak,10,DA0_REG0,0.9083333333333333,0.8,,,,0.9083333333333333,0.8,0.8734497926520762,0.45484979548062177,0.8734497926520762,0.45484979548062177,320
leo_clear_weak,10,DA1_REG0,0.9083333333333333,0.8,,,,0.9083333333333333,0.8,0.8751238018045278,0.4553714415931785,0.8751238018045278,0.4553714415931785,320
leo_clear_weak,10,DA0_REG1,0.8166666666666667,0.65,0.85,0.65,0.833,0.8375,0.65,1.4752665002576983,0.5646510740562011,1.477282796137537,0.5467603360968727,320
leo_clear_weak,10,DA1_REG1,0.8166666666666667,0.65,0.85,0.65,0.833,0.8375,0.65,1.4750322831184648,0.5631581754369666,1.4774828815086403,0.5469291242071584,320
leo_clear_weak,15,DA0_REG0,0.9083333333333333,0.8,,,,0.9083333333333333,0.8,0.8734497901076772,0.4548497945913099,0.8734497901076772,0.4548497945913099,420
leo_clear_weak,15,DA1_REG0,0.9083333333333333,0.8,,,,0.9083333333333333,0.8,0.8751237897695232,0.45537143648577616,0.8751237897695232,0.45537143648577616,420
