row,complete,epoch,accepted,total_step,mean_loss,elapsed_seconds,source_val_accuracy
F-M00,False,51,222,11322,3.5681223761927976,10412.024355873,0.9837407407407407
F-M00,False,52,222,11544,4.076773632754077,10661.879368635826,0.9815185185185186
F-M00,False,53,222,11766,3.8923159080582694,10911.21693119593,0.9834074074074074
F-M00,False,54,222,11988,3.9493252640371925,11161.668335919734,0.9764444444444444
F-M00,False,55,222,12210,4.169609610024874,11411.427148563787,0.985
F-M00,False,56,222,12432,3.7169530144682876,11663.005006596912,0.9812962962962963
F-M00,False,57,222,12654,3.8561338154045313,11915.85820897296,0.9845185185185186
F-M00,False,58,222,12876,3.5544236125172795,12167.270843304694,0.9837777777777778
F-M00,False,59,222,13098,3.566174522713498,12417.764140297659,0.9842222222222222
F-M00,False,60,222,13320,3.7445858486063845,12670.356755008921,0.9835185185185186
F-M00,False,61,222,13542,3.4928403802820154,12922.616821759846,0.9812962962962963
F-M00,False,62,222,13764,3.992913837368424,13178.90942356782,0.9832222222222222
F-M00,False,63,222,13986,3.893506670320356,13431.285264682956,0.9838888888888889
F-M00,False,64,222,14208,4.134841212818214,13682.530510691926,0.9790740740740741
F-M00,False,65,222,14430,3.5915196763502584,13936.85721595399,0.9844444444444445
F-M00,False,66,222,14652,3.9823118614720867,14188.799867460039,0.984037037037037
F-M00,False,67,222,14874,4.017507705065581,14440.976372560952,0.9827777777777778
F-M00,False,68,222,15096,3.5325128178338745,14696.484806107823,0.9828888888888889
F-M00,False,69,222,15318,3.987594174909162,14947.423393038101,0.9818518518518519
F-M00,False,70,222,15540,3.6464897866721624,15195.516222038772,0.9816296296296296
F-M00,False,71,222,15762,3.454921947406219,15448.597064686008,0.9850740740740741
F-M00,False,72,222,15984,3.547521357600753,15698.07978825504,0.983037037037037
F-M00,False,73,222,16206,3.690502924425108,15947.89801143296,0.9832222222222222
F-M00,False,74,222,16428,3.4533483305492916,16198.023433072027,0.9848888888888889
F-M00,False,75,222,16650,3.5491630687369957,16448.30737240985,0.9844814814814815
F-M00,False,76,222,16872,4.010418749070382,16697.08399943402,0.9816296296296296
F-M00,False,77,222,17094,3.7859329742354317,16950.865080951713,0.9843703703703703
F-M00,False,78,222,17316,3.6480683276245185,17204.645987018943,0.9842962962962963
F-M00,False,79,222,17538,3.3153586124514676,17454.053641137667,0.9845185185185186
F-M00,False,80,222,17760,6.119754742931676,17703.311630157754,0.9842222222222222
