row,scene,true_tx,predicted_tx,count
F-A1,leo_rain_weak,3,0,4660
F-A1,leo_rain_weak,3,1,6416
F-A1,leo_rain_weak,3,2,863
F-A1,leo_rain_weak,3,3,15502
F-A1,leo_rain_weak,3,4,396
F-A1,leo_rain_weak,3,5,163
F-A1,leo_rain_weak,4,0,14
F-A1,leo_rain_weak,4,1,692
F-A1,leo_rain_weak,4,2,105
F-A1,leo_rain_weak,4,3,623
F-A1,leo_rain_weak,4,4,26526
F-A1,leo_rain_weak,4,5,40
F-A1,leo_rain_weak,5,0,110
F-A1,leo_rain_weak,5,1,414
F-A1,leo_rain_weak,5,2,455
F-A1,leo_rain_weak,5,3,33
F-A1,leo_rain_weak,5,4,3187
F-A1,leo_rain_weak,5,5,23801
M09,clean,0,0,25549
M09,clean,0,1,451
M09,clean,0,2,92
M09,clean,0,3,1879
M09,clean,0,4,20
M09,clean,0,5,9
M09,clean,1,0,363
M09,clean,1,1,11935
M09,clean,1,2,47
M09,clean,1,3,15589
M09,clean,1,4,59
M09,clean,1,5,7
M09,clean,2,0,1155
M09,clean,2,1,1401
M09,clean,2,2,20584
M09,clean,2,3,1539
M09,clean,2,4,211
M09,clean,2,5,3110
M09,clean,3,0,2390
M09,clean,3,1,5524
M09,clean,3,2,528
M09,clean,3,3,19491
M09,clean,3,4,28
M09,clean,3,5,39
M09,clean,4,0,4
M09,clean,4,1,14
M09,clean,4,2,88
M09,clean,4,3,5
M09,clean,4,4,27884
M09,clean,4,5,5
M09,clean,5,0,19
M09,clean,5,1,91
M09,clean,5,2,139
M09,clean,5,3,14
M09,clean,5,4,1868
M09,clean,5,5,25869
M09,leo_clear_weak,0,0,21995
M09,leo_clear_weak,0,1,1769
M09,leo_clear_weak,0,2,123
M09,leo_clear_weak,0,3,4044
M09,leo_clear_weak,0,4,53
M09,leo_clear_weak,0,5,16
M09,leo_clear_weak,1,0,912
M09,leo_clear_weak,1,1,9410
M09,leo_clear_weak,1,2,34
M09,leo_clear_weak,1,3,17357
M09,leo_clear_weak,1,4,273
M09,leo_clear_weak,1,5,14
M09,leo_clear_weak,2,0,1270
M09,leo_clear_weak,2,1,1609
M09,leo_clear_weak,2,2,17463
M09,leo_clear_weak,2,3,2252
M09,leo_clear_weak,2,4,2134
M09,leo_clear_weak,2,5,3272
M09,leo_clear_weak,3,0,3557
M09,leo_clear_weak,3,1,6018
M09,leo_clear_weak,3,2,903
M09,leo_clear_weak,3,3,17303
M09,leo_clear_weak,3,4,89
M09,leo_clear_weak,3,5,130
M09,leo_clear_weak,4,0,8
M09,leo_clear_weak,4,1,694
M09,leo_clear_weak,4,2,147
M09,leo_clear_weak,4,3,607
M09,leo_clear_weak,4,4,26517
M09,leo_clear_weak,4,5,27
M09,leo_clear_weak,5,0,83
M09,leo_clear_weak,5,1,570
M09,leo_clear_weak,5,2,412
M09,leo_clear_weak,5,3,14
M09,leo_clear_weak,5,4,2684
M09,leo_clear_weak,5,5,24237
M09,leo_low_elev_weak,0,0,21289
M09,leo_low_elev_weak,0,1,2050
M09,leo_low_elev_weak,0,2,149
M09,leo_low_elev_weak,0,3,4317
M09,leo_low_elev_weak,0,4,177
M09,leo_low_elev_weak,0,5,18
M09,leo_low_elev_weak,1,0,1227
M09,leo_low_elev_weak,1,1,9334
M09,leo_low_elev_weak,1,2,34
