reference_arm,receiver,seed,k_shot,current_old_acc,reference_old_acc,delta_old_acc,current_seen_new_acc,reference_seen_new_acc,delta_seen_new_acc,current_H_old_new,reference_H_old_new,delta_H_old_new
singleview_fft96_strict,20-1,713105,2,0.7000000000000001,0.7416666666666666,-0.04166666666666652,0.5833333333333334,0.5416666666666666,0.04166666666666674,0.6357281402049302,0.625564762971258,0.010163377233672222
full_legacy_oracle_strict,20-1,713105,20,0.8972222222222221,0.8888888888888888,0.008333333333333304,0.7833333333333332,0.9666666666666667,-0.18333333333333346,0.8341485204412837,0.926058624822927,-0.09191010438164327
singleview_fft96_strict,20-1,713105,20,0.8972222222222221,0.8972222222222223,-1.1102230246251565e-16,0.7833333333333332,0.7916666666666666,-0.008333333333333415,0.8341485204412837,0.8376593560933449,-0.0035108356520611173
full_legacy_oracle_strict,20-1,713105,5,0.8277777777777778,0.8249999999999998,0.00277777777777799,0.65,0.9666666666666667,-0.31666666666666665,0.7257920860506221,0.8901672571097189,-0.16437517105909683
singleview_fft96_strict,20-1,713105,5,0.8277777777777778,0.8249999999999998,0.00277777777777799,0.65,0.7166666666666668,-0.06666666666666676,0.7257920860506221,0.7651612320906017,-0.03936914603997965
full_legacy_oracle_strict,3-19,713101,1,0.5555555555555556,0.6027777777777777,-0.047222222222222165,0.3333333333333333,0.75,-0.4166666666666667,0.4113885876931418,0.6676325725556495,-0.25624398486250766
singleview_fft96_strict,3-19,713101,1,0.5555555555555556,0.4222222222222222,0.13333333333333336,0.3333333333333333,0.3333333333333333,0.0,0.4113885876931418,0.3596730206325409,0.051715567060600875
full_legacy_oracle_strict,3-19,713101,10,0.7000000000000001,0.775,-0.07499999999999996,0.5916666666666667,0.75,-0.15833333333333333,0.6409869281045751,0.7613504062330464,-0.12036347812847126
singleview_fft96_strict,3-19,713101,10,0.7000000000000001,0.6222222222222222,0.07777777777777783,0.5916666666666667,0.47500000000000003,0.11666666666666664,0.6409869281045751,0.5354279350380581,0.10555899306651706
full_legacy_oracle_strict,3-19,713101,2,0.6055555555555555,0.7055555555555556,-0.10000000000000009,0.39166666666666666,0.7666666666666666,-0.37499999999999994,0.4747834589424709,0.7338182551643855,-0.25903479622191455
singleview_fft96_strict,3-19,713101,2,0.6055555555555555,0.5333333333333333,0.07222222222222219,0.39166666666666666,0.325,0.06666666666666665,0.4747834589424709,0.3840378197997776,0.09074563914269335
full_legacy_oracle_strict,3-19,713101,20,0.7166666666666668,0.7916666666666666,-0.07499999999999984,0.6750000000000002,0.8000000000000002,-0.125,0.694905648997036,0.7950894715657525,-0.1001838225687165
singleview_fft96_strict,3-19,713101,20,0.7166666666666668,0.6333333333333334,0.08333333333333337,0.6750000000000002,0.45,0.22500000000000014,0.694905648997036,0.5161056636675294,0.17879998532950658
full_legacy_oracle_strict,3-19,713101,5,0.6611111111111111,0.7666666666666666,-0.10555555555555551,0.39999999999999997,0.7333333333333334,-0.3333333333333334,0.4972947746621885,0.7464427779596651,-0.24914800329747655
singleview_fft96_strict,3-19,713101,5,0.6611111111111111,0.6388888888888888,0.022222222222222254,0.39999999999999997,0.3333333333333333,0.06666666666666665,0.4972947746621885,0.4370553044486891,0.0602394702134994
full_legacy_oracle_strict,3-19,713102,1,0.4833333333333332,0.5138888888888888,-0.030555555555555614,0.4166666666666667,0.7666666666666666,-0.3499999999999999,0.41915155603381354,0.610808128919584,-0.19165657288577048
singleview_fft96_strict,3-19,713102,1,0.4833333333333332,0.4666666666666666,0.016666666666666607,0.4166666666666667,0.4000000000000001,0.016666666666666607,0.41915155603381354,0.4273355542637392,-0.00818399822992566
full_legacy_oracle_strict,3-19,713102,10,0.6777777777777777,0.7861111111111111,-0.10833333333333339,0.6999999999999998,0.85,-0.15000000000000013,0.6847025683700672,0.8164876912120042,-0.131785122841937
singleview_fft96_strict,3-19,713102,10,0.6777777777777777,0.686111111111111,-0.008333333333333304,0.6999999999999998,0.4833333333333334,0.21666666666666645,0.6847025683700672,0.5659594753073014,0.11874309306276576
full_legacy_oracle_strict,3-19,713102,2,0.5916666666666667,0.6499999999999999,-0.05833333333333324,0.525,0.7833333333333333,-0.2583333333333333,0.5376550861163248,0.7042532277690862,-0.16659814165276132
singleview_fft96_strict,3-19,713102,2,0.5916666666666667,0.5555555555555555,0.036111111111111205,0.525,0.34166666666666673,0.1833333333333333,0.5376550861163248,0.4185900660945053,0.11906502002181957
full_legacy_oracle_strict,3-19,713102,20,0.6999999999999998,0.7972222222222222,-0.09722222222222232,0.7000000000000001,0.8833333333333334,-0.18333333333333335,0.6993671630823827,0.8367870544090056,-0.1374198913266229
singleview_fft96_strict,3-19,713102,20,0.6999999999999998,0.6944444444444443,0.005555555555555536,0.7000000000000001,0.575,0.1250000000000001,0.6993671630823827,0.628857722249442,0.07050944083294064
full_legacy_oracle_strict,3-19,713102,5,0.6527777777777778,0.7333333333333334,-0.0805555555555556,0.5166666666666666,0.8166666666666668,-0.30000000000000016,0.5740907512265462,0.7707073067947207,-0.19661655556817448
singleview_fft96_strict,3-19,713102,5,0.6527777777777778,0.6416666666666667,0.011111111111111072,0.5166666666666666,0.425,0.09166666666666662,0.5740907512265462,0.5084081386102276,0.06568261261631858
full_legacy_oracle_strict,3-19,713103,1,0.5277777777777778,0.6138888888888889,-0.08611111111111114,0.375,0.7166666666666667,-0.3416666666666667,0.4355948489585801,0.6611036332082046,-0.22550878424962456
singleview_fft96_strict,3-19,713103,1,0.5277777777777778,0.4305555555555556,0.09722222222222221,0.375,0.35833333333333334,0.016666666666666663,0.4355948489585801,0.38971062297328524,0.045884225985294846
full_legacy_oracle_strict,3-19,713103,10,0.6805555555555555,0.7583333333333333,-0.07777777777777783,0.65,0.9,-0.25,0.6643311210618903,0.8223093975550927,-0.1579782764932024
singleview_fft96_strict,3-19,713103,10,0.6805555555555555,0.5944444444444444,0.08611111111111103,0.65,0.4833333333333334,0.16666666666666663,0.6643311210618903,0.5277807694329781,0.13655035162891216
full_legacy_oracle_strict,3-19,713103,2,0.5833333333333334,0.6666666666666666,-0.08333333333333326,0.525,0.7333333333333334,-0.20833333333333337,0.519864722257282,0.695037544229263,-0.17517282197198103
singleview_fft96_strict,3-19,713103,2,0.5833333333333334,0.5083333333333333,0.07500000000000007,0.525,0.48333333333333334,0.041666666666666685,0.519864722257282,0.49474179009062724,0.025122932166654732
full_legacy_oracle_strict,3-19,713103,20,0.7222222222222223,0.7972222222222222,-0.07499999999999984,0.7083333333333334,0.9166666666666666,-0.20833333333333326,0.7140277825971292,0.852763393729465,-0.1387356111323358
singleview_fft96_strict,3-19,713103,20,0.7222222222222223,0.6749999999999999,0.04722222222222239,0.7083333333333334,0.5166666666666667,0.19166666666666665,0.7140277825971292,0.5794710223715858,0.13455676022554341
full_legacy_oracle_strict,3-19,713103,5,0.6472222222222223,0.7416666666666667,-0.09444444444444444,0.625,0.8333333333333334,-0.20833333333333337,0.6319090896699313,0.7844691756667532,-0.15256008599682191
singleview_fft96_strict,3-19,713103,5,0.6472222222222223,0.5666666666666667,0.0805555555555556,0.625,0.5083333333333333,0.1166666666666667,0.6319090896699313,0.5327635327635327,0.09914555690639859
full_legacy_oracle_strict,3-19,713104,1,0.5944444444444444,0.6444444444444444,-0.04999999999999993,0.21666666666666667,0.6833333333333332,-0.46666666666666656,0.30857189703230037,0.656546613454774,-0.3479747164224737
singleview_fft96_strict,3-19,713104,1,0.5944444444444444,0.3527777777777778,0.24166666666666664,0.21666666666666667,0.39166666666666666,-0.175,0.30857189703230037,0.35568367501642434,-0.04711177798412397
full_legacy_oracle_strict,3-19,713104,10,0.6777777777777777,0.75,-0.0722222222222223,0.5083333333333333,0.85,-0.3416666666666667,0.5788057739136876,0.7962593519736377,-0.21745357805995014
singleview_fft96_strict,3-19,713104,10,0.6777777777777777,0.5972222222222222,0.08055555555555549,0.5083333333333333,0.5916666666666667,-0.08333333333333337,0.5788057739136876,0.590198653929657,-0.011392880015969387
