arm,experiment_id,receiver,seed,k_shot,old_acc,seen_new_acc,H_old_new,average_forgetting,min_old_class_acc,min_seen_new_class_acc,run_dir,min_old_new,joint_score
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k2_seed713102,7-14,713102,2,0.9083333333333333,0.7083333333333334,0.7959355362395103,-0.002777777777777768,0.6333333333333333,0.43333333333333335,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713102\k_2\cvs_qknnv42,0.7083333333333334,0.804200734302059
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k20_seed713102,7-14,713102,20,0.9138888888888889,0.8666666666666666,0.8895837695081316,0.005555555555555536,0.75,0.7333333333333333,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713102\k_20\cvs_qknnv42,0.8666666666666666,0.8900464416878956
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k5_seed713102,7-14,713102,5,0.9111111111111111,0.7833333333333333,0.8420758775538187,0.005555555555555536,0.7166666666666667,0.5666666666666667,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713102\k_5\cvs_qknnv42,0.7833333333333333,0.845506773999421
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k1_seed713103,7-14,713103,1,0.8194444444444445,0.6666666666666666,0.7288184399992268,0.022222222222222216,0.6666666666666666,0.35,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713103\k_1\cvs_qknnv42,0.6666666666666666,0.7383098503701127
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k10_seed713103,7-14,713103,10,0.9138888888888889,0.9250000000000002,0.9189013272977564,0.0,0.8,0.8666666666666667,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713103\k_10\cvs_qknnv42,0.9138888888888889,0.9192634053955485
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k2_seed713103,7-14,713103,2,0.8972222222222223,0.8166666666666668,0.8524785140656554,0.005555555555555573,0.7666666666666667,0.65,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713103\k_2\cvs_qknnv42,0.8166666666666668,0.8554558009848482
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k20_seed713103,7-14,713103,20,0.9194444444444444,0.9083333333333332,0.9129287459683404,0.005555555555555536,0.8,0.85,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713103\k_20\cvs_qknnv42,0.9083333333333332,0.913568841248706
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k5_seed713103,7-14,713103,5,0.9055555555555556,0.8250000000000001,0.860716420561367,-0.005555555555555573,0.7666666666666667,0.6833333333333333,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713103\k_5\cvs_qknnv42,0.8250000000000001,0.8637573253723075
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k1_seed713104,7-14,713104,1,0.7916666666666666,0.3833333333333333,0.5090601757944557,0.03333333333333336,0.4166666666666667,0.26666666666666666,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713104\k_1\cvs_qknnv42,0.3833333333333333,0.5613533919314851
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k10_seed713104,7-14,713104,10,0.8972222222222221,0.875,0.8859133994215028,0.005555555555555536,0.7333333333333333,0.75,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713104\k_10\cvs_qknnv42,0.875,0.886045207214575
