arm,receiver,seed,k_shot,scenario,old_acc,seen_new_acc,H_old_new,average_forgetting,old_acc_before_increment,old_to_seen_new_rate,seen_new_to_old_rate,adaptation_latency_sec,onboard_scoring_latency_per_query_ms,persistent_state_bytes_with_post_adapter,dense_graph_peak_bytes_lower_bound,estimated_head_macs_with_post_adapter,persistent_state_bytes_total,dense_graph_peak_bytes_total_lower_bound,estimated_head_macs_total
full_nonoracle_strict,20-1,713102,20,leo_rain_weak,0.9,0.825,0.8608695652173912,0.0,0.9,0.008333333333333333,0.15,0.01548483781516552,0.06974787393119186,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,20-1,713102,5,leo_clear_weak,0.8833333333333333,0.8,0.8396039603960396,0.0,0.8833333333333333,0.016666666666666666,0.1,0.016705926042050123,0.08523204596713185,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,20-1,713102,5,leo_low_elev_weak,0.7916666666666666,0.825,0.8079896907216494,0.050000000000000044,0.8416666666666667,0.058333333333333334,0.175,0.015156911220401525,0.07393173000309616,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,20-1,713102,5,leo_rain_weak,0.7833333333333333,0.775,0.7791443850267379,0.025000000000000022,0.8083333333333333,0.05,0.175,0.01596323074772954,0.07901559874881059,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,20-1,713103,1,leo_clear_weak,0.75,0.6,0.6666666666666665,0.0,0.75,0.041666666666666664,0.35,0.00962019618600607,0.042307411786168814,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,20-1,713103,1,leo_low_elev_weak,0.48333333333333334,0.7,0.571830985915493,0.08333333333333331,0.5666666666666667,0.13333333333333333,0.175,0.009489440824836493,0.04231239145155996,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,20-1,713103,1,leo_rain_weak,0.6416666666666667,0.65,0.6458064516129033,0.033333333333333326,0.675,0.08333333333333333,0.225,0.008547031786292791,0.03621562209445983,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,20-1,713103,10,leo_clear_weak,0.825,0.85,0.8373134328358209,0.01666666666666672,0.8416666666666667,0.025,0.125,0.0989895910024643,0.5961311631835997,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,20-1,713103,10,leo_low_elev_weak,0.7416666666666667,0.7,0.7202312138728324,0.04166666666666663,0.7833333333333333,0.03333333333333333,0.225,0.01333734905347228,0.061530599487014115,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,20-1,713103,10,leo_rain_weak,0.825,0.775,0.79921875,0.0,0.825,0.008333333333333333,0.2,0.0139621258713305,0.062402585172094405,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,20-1,713103,2,leo_clear_weak,0.7833333333333333,0.625,0.6952662721893491,-0.025000000000000022,0.7583333333333333,0.0,0.375,0.013024524785578251,0.06293273181654513,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,20-1,713103,2,leo_low_elev_weak,0.6583333333333333,0.75,0.7011834319526629,0.05833333333333335,0.7166666666666667,0.075,0.1,0.010717615019530058,0.04866287054028362,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,20-1,713103,2,leo_rain_weak,0.6416666666666667,0.675,0.6579113924050632,0.033333333333333326,0.675,0.025,0.325,0.030419823713600636,0.17153025255538523,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,20-1,713103,20,leo_clear_weak,0.8916666666666667,0.875,0.8832547169811322,-0.008333333333333415,0.8833333333333333,0.008333333333333333,0.1,0.01808781921863556,0.08080173865891993,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,20-1,713103,20,leo_low_elev_weak,0.875,0.725,0.79296875,-0.025000000000000022,0.85,0.008333333333333333,0.2,0.07899845018982887,0.46042545582167804,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,20-1,713103,20,leo_rain_weak,0.8583333333333333,0.7,0.7711229946524064,-0.016666666666666607,0.8416666666666667,0.008333333333333333,0.225,0.07888005767017603,0.44108238362241536,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,20-1,713103,5,leo_clear_weak,0.8333333333333334,0.725,0.7754010695187166,0.0,0.8333333333333334,0.0,0.25,0.011048763990402222,0.0448979320935905,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,20-1,713103,5,leo_low_elev_weak,0.7583333333333333,0.7,0.728,-0.008333333333333304,0.75,0.016666666666666666,0.2,0.010581944603472948,0.041790163959376514,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,20-1,713103,5,leo_rain_weak,0.7666666666666667,0.725,0.7452513966480447,0.0,0.7666666666666667,0.0,0.25,0.010743963066488504,0.04801610193680972,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,20-1,713104,1,leo_clear_weak,0.5583333333333333,0.875,0.6816860465116279,0.09999999999999998,0.6583333333333333,0.125,0.1,0.00948659935966134,0.04170571337454021,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,20-1,713104,1,leo_low_elev_weak,0.49166666666666664,0.55,0.5192,0.12500000000000006,0.6166666666666667,0.13333333333333333,0.125,0.024453414138406515,0.13537156046368182,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,20-1,713104,1,leo_rain_weak,0.5833333333333334,0.725,0.6464968152866242,0.08333333333333326,0.6666666666666666,0.14166666666666666,0.175,0.007591804955154657,0.030533887911587954,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,20-1,713104,10,leo_clear_weak,0.8333333333333334,0.825,0.8291457286432161,0.008333333333333304,0.8416666666666667,0.016666666666666666,0.1,0.023541605100035667,0.12262101226951927,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,20-1,713104,10,leo_low_elev_weak,0.75,0.825,0.7857142857142856,-0.01666666666666672,0.7333333333333333,0.016666666666666666,0.125,0.015423907898366451,0.07204897119663656,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,20-1,713104,10,leo_rain_weak,0.75,0.825,0.7857142857142856,0.050000000000000044,0.8,0.05,0.1,0.020686937030404806,0.1072426064638421,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,20-1,713104,2,leo_clear_weak,0.675,0.85,0.7524590163934426,0.10833333333333328,0.7833333333333333,0.08333333333333333,0.125,0.027204659301787615,0.1514709001639858,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,20-1,713104,2,leo_low_elev_weak,0.575,0.75,0.6509433962264151,0.06666666666666676,0.6416666666666667,0.10833333333333334,0.125,0.05925319902598858,0.3530556248733774,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,20-1,713104,2,leo_rain_weak,0.6,0.675,0.6352941176470589,0.05833333333333335,0.6583333333333333,0.09166666666666666,0.225,0.010438034776598215,0.047076735063456,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,20-1,713104,20,leo_clear_weak,0.9333333333333333,0.925,0.9291479820627803,-0.025000000000000022,0.9083333333333333,0.008333333333333333,0.05,0.04403647407889366,0.15289126022253186,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,20-1,713104,20,leo_low_elev_weak,0.8166666666666667,0.775,0.7952879581151832,0.0,0.8166666666666667,0.016666666666666666,0.175,0.016193516086786985,0.07401151524391025,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,20-1,713104,20,leo_rain_weak,0.8333333333333334,0.825,0.8291457286432161,0.0,0.8333333333333334,0.025,0.125,0.03905993280932307,0.21270047000143677,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,20-1,713104,5,leo_clear_weak,0.7666666666666667,0.9,0.8280000000000001,0.0,0.7666666666666667,0.025,0.1,0.019269091077148914,0.07352278335019946,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,20-1,713104,5,leo_low_elev_weak,0.6833333333333333,0.8,0.7370786516853933,0.04166666666666663,0.725,0.058333333333333334,0.175,0.00983264297246933,0.0415242015151307,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,20-1,713104,5,leo_rain_weak,0.675,0.75,0.7105263157894738,0.05833333333333324,0.7333333333333333,0.06666666666666667,0.175,0.010413912124931812,0.04502416413743049,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,20-1,713105,1,leo_clear_weak,0.6583333333333333,0.575,0.6138513513513513,0.033333333333333326,0.6916666666666667,0.016666666666666666,0.4,0.014488828834146261,0.07281451835297048,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,20-1,713105,1,leo_low_elev_weak,0.6583333333333333,0.45,0.5345864661654135,0.04166666666666663,0.7,0.058333333333333334,0.375,0.05950837954878807,0.3548280510585755,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,20-1,713105,1,leo_rain_weak,0.5833333333333334,0.55,0.5661764705882354,0.09166666666666667,0.675,0.1,0.275,0.011665580794215202,0.05597058334387839,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,20-1,713105,10,leo_clear_weak,0.925,0.875,0.8993055555555556,-0.008333333333333415,0.9166666666666666,0.008333333333333333,0.125,0.01825460186228156,0.09137271263170987,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,20-1,713105,10,leo_low_elev_weak,0.8333333333333334,0.675,0.7458563535911604,0.0,0.8333333333333334,0.025,0.3,0.012481187004595995,0.05565784522332251,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,20-1,713105,10,leo_rain_weak,0.8333333333333334,0.55,0.6626506024096386,0.016666666666666607,0.85,0.03333333333333333,0.325,0.015284311957657337,0.07269663910847157,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,20-1,713105,2,leo_clear_weak,0.7166666666666667,0.575,0.6380645161290323,0.008333333333333304,0.725,0.016666666666666666,0.375,0.01663985289633274,0.08270513790193945,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,20-1,713105,2,leo_low_elev_weak,0.7166666666666667,0.65,0.6817073170731708,0.016666666666666607,0.7333333333333333,0.05,0.325,0.03224520990625024,0.18391705816611648,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,20-1,713105,2,leo_rain_weak,0.6666666666666666,0.525,0.5874125874125874,0.09166666666666667,0.7583333333333333,0.11666666666666667,0.3,0.010678698774427176,0.0486401142552495,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,20-1,713105,20,leo_clear_weak,0.925,0.9,0.9123287671232876,-0.008333333333333415,0.9166666666666666,0.008333333333333333,0.1,0.07827128702774644,0.4140424251090735,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,20-1,713105,20,leo_low_elev_weak,0.8416666666666667,0.75,0.7931937172774868,0.008333333333333304,0.85,0.025,0.25,0.014690433628857136,0.06478979776147753,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,20-1,713105,20,leo_rain_weak,0.925,0.7,0.7969230769230768,-0.008333333333333415,0.9166666666666666,0.0,0.25,0.014595627784729004,0.0642785191303119,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,20-1,713105,5,leo_clear_weak,0.8916666666666667,0.75,0.8147208121827412,-0.008333333333333415,0.8833333333333333,0.0,0.25,0.01099670585244894,0.04923523520119488,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,20-1,713105,5,leo_low_elev_weak,0.7916666666666666,0.675,0.7286931818181818,0.008333333333333415,0.8,0.025,0.3,0.014714214950799942,0.07316281844396144,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,20-1,713105,5,leo_rain_weak,0.8,0.525,0.6339622641509434,0.016666666666666607,0.8166666666666667,0.025,0.35,0.03404218563809991,0.19358291756361723,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,3-19,713101,1,leo_clear_weak,0.5916666666666667,0.4,0.4773109243697479,0.016666666666666607,0.6083333333333333,0.08333333333333333,0.525,0.015682474710047245,0.08011469617486,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,3-19,713101,1,leo_low_elev_weak,0.525,0.375,0.43750000000000006,0.033333333333333326,0.5583333333333333,0.15,0.475,0.012577845249325037,0.061636080499738455,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,3-19,713101,1,leo_rain_weak,0.55,0.225,0.31935483870967746,0.08333333333333326,0.6333333333333333,0.11666666666666667,0.65,0.011557616759091616,0.0547385832760483,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,3-19,713101,10,leo_clear_weak,0.75,0.6,0.6666666666666665,0.033333333333333326,0.7833333333333333,0.03333333333333333,0.35,0.019347603898495436,0.08884545532055199,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,3-19,713101,10,leo_low_elev_weak,0.675,0.6,0.6352941176470589,0.06666666666666665,0.7416666666666667,0.125,0.275,0.11214343132451177,0.6752517976565287,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,3-19,713101,10,leo_rain_weak,0.675,0.575,0.621,0.04999999999999993,0.725,0.058333333333333334,0.275,0.06235000304877758,0.36567123024724424,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,3-19,713101,2,leo_clear_weak,0.6666666666666666,0.475,0.5547445255474452,0.01666666666666672,0.6833333333333333,0.08333333333333333,0.5,0.009375885128974915,0.04035899473819882,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,3-19,713101,2,leo_low_elev_weak,0.5833333333333334,0.375,0.45652173913043476,0.11666666666666659,0.7,0.13333333333333333,0.525,0.007758823689073324,0.030693304142914712,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,3-19,713101,2,leo_rain_weak,0.5666666666666667,0.325,0.4130841121495328,0.10833333333333339,0.675,0.125,0.575,0.008077486883848906,0.03291056491434574,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,3-19,713101,20,leo_clear_weak,0.7833333333333333,0.7,0.7393258426966292,0.025000000000000022,0.8083333333333333,0.03333333333333333,0.3,0.020159464795142412,0.09805065055843443,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,3-19,713101,20,leo_low_elev_weak,0.6833333333333333,0.65,0.66625,0.09166666666666667,0.775,0.10833333333333334,0.225,0.01542078610509634,0.06921155436430126,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,3-19,713101,20,leo_rain_weak,0.6833333333333333,0.675,0.6791411042944786,0.05833333333333335,0.7416666666666667,0.058333333333333334,0.175,0.01469606813043356,0.06484341574832797,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,3-19,713101,5,leo_clear_weak,0.6916666666666667,0.475,0.5632142857142857,0.09166666666666667,0.7833333333333333,0.125,0.35,0.017127111088484526,0.08820755465421826,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,3-19,713101,5,leo_low_elev_weak,0.6583333333333333,0.375,0.47782258064516137,0.09166666666666667,0.75,0.09166666666666666,0.5,0.011372385080903769,0.05208638322073966,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,3-19,713101,5,leo_rain_weak,0.6333333333333333,0.35,0.45084745762711864,0.07500000000000007,0.7083333333333334,0.075,0.525,0.010302147828042507,0.04535715270321816,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,3-19,713102,1,leo_clear_weak,0.5416666666666666,0.4,0.4601769911504425,0.09166666666666667,0.6333333333333333,0.16666666666666666,0.4,0.019640306942164898,0.10527631966397166,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,3-19,713102,1,leo_low_elev_weak,0.36666666666666664,0.6,0.4551724137931034,0.025000000000000022,0.39166666666666666,0.25,0.2,0.0151537018828094,0.07775462872814387,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,3-19,713102,1,leo_rain_weak,0.5416666666666666,0.25,0.34210526315789475,0.07500000000000007,0.6166666666666667,0.075,0.65,0.009719858411699533,0.04375437565613538,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,3-19,713102,10,leo_clear_weak,0.675,0.775,0.721551724137931,0.125,0.8,0.14166666666666666,0.15,0.0353587637655437,0.19836147548630834,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,3-19,713102,10,leo_low_elev_weak,0.6583333333333333,0.75,0.7011834319526629,0.1333333333333333,0.7916666666666666,0.14166666666666666,0.15,0.014355303719639778,0.06811487546656281,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,3-19,713102,10,leo_rain_weak,0.7,0.575,0.6313725490196078,0.05833333333333335,0.7583333333333333,0.075,0.275,0.013513097073882818,0.06241914816200733,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,3-19,713102,2,leo_clear_weak,0.6,0.5,0.5454545454545454,0.10833333333333339,0.7083333333333334,0.125,0.475,0.015476368367671967,0.07734792307019234,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,3-19,713102,2,leo_low_elev_weak,0.5333333333333333,0.725,0.614569536423841,0.07499999999999996,0.6083333333333333,0.175,0.175,0.025185446720570326,0.1384137780405581,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,3-19,713102,2,leo_rain_weak,0.6416666666666667,0.35,0.45294117647058824,0.05833333333333324,0.7,0.058333333333333334,0.575,0.01223825616762042,0.05791815638076514,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,3-19,713102,20,leo_clear_weak,0.7166666666666667,0.75,0.7329545454545454,0.06666666666666665,0.7833333333333333,0.1,0.225,0.022438292857259512,0.11195771221537143,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,3-19,713102,20,leo_low_elev_weak,0.7,0.725,0.712280701754386,0.07500000000000007,0.775,0.10833333333333334,0.225,0.019800431095063686,0.09625592501834035,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,3-19,713102,20,leo_rain_weak,0.6833333333333333,0.625,0.6528662420382166,0.10833333333333328,0.7916666666666666,0.09166666666666666,0.25,0.0194909549318254,0.07772257085889578,62806,1638400,46202880,86529,3276800,65167360
