cell_id,receiver,seed,new_class_count,k_shot,old_acc_before_increment,old_acc_after_increment,direct_adv3b02_old_acc,seen_new_acc_after_increment,H_old_new_after_increment,candidate_average_forgetting,identity_old_acc_after_increment,shared_view_count_mean,delta_before_vs_direct,delta_after_vs_direct,delta_after_vs_identity,min_old_class_acc_after_global,old_class_acc_before_mean_json,old_class_acc_after_mean_json,old_class_forgetting_mean_json,trainable_parameters,adapt_epochs,persistent_state_bytes,peak_cuda_memory_bytes,candidate_query_latency_ms,mean_backbone_forwards,p95_backbone_forwards,view1_rate,view3_rate,view5_rate
rx_7_14__seed_713105__new_10__k_1,7-14,713105,10,1,0.9499999999999998,0.6944444444444445,0.9500000000000001,0.25666666666666665,0.3748051422208725,0.2555555555555555,0.6666666666666666,2.3645833333333335,-2.220446049250313e-16,-0.25555555555555554,0.0277777777777779,0.35,"{""14-10"": 0.9500000000000001, ""14-7"": 0.8666666666666667, ""20-15"": 1.0, ""20-19"": 0.9, ""6-15"": 1.0, ""8-20"": 0.9833333333333334}","{""14-10"": 0.5166666666666667, ""14-7"": 0.6833333333333332, ""20-15"": 1.0, ""20-19"": 0.6666666666666666, ""6-15"": 0.4166666666666667, ""8-20"": 0.8833333333333333}","{""14-10"": 0.4333333333333333, ""14-7"": 0.18333333333333335, ""20-15"": 0.0, ""20-19"": 0.2333333333333333, ""6-15"": 0.5833333333333334, ""8-20"": 0.09999999999999998}",44048,12,109818,168271872,0.7035410424578004,2.3645833333333335,3.0,0.325,0.6677083333333333,0.007291666666666667
rx_7_14__seed_713105__new_10__k_10,7-14,713105,10,10,0.9472222222222223,0.7888888888888889,0.9500000000000001,0.38166666666666665,0.5143595342734338,0.1583333333333333,0.7583333333333334,2.2125,-0.002777777777777768,-0.1611111111111112,0.030555555555555447,0.35,"{""14-10"": 0.9166666666666666, ""14-7"": 0.8833333333333333, ""20-15"": 1.0, ""20-19"": 0.9166666666666666, ""6-15"": 1.0, ""8-20"": 0.9666666666666667}","{""14-10"": 0.5, ""14-7"": 0.7166666666666667, ""20-15"": 0.9833333333333334, ""20-19"": 0.8333333333333334, ""6-15"": 0.75, ""8-20"": 0.9499999999999998}","{""14-10"": 0.4166666666666667, ""14-7"": 0.16666666666666666, ""20-15"": 0.01666666666666668, ""20-19"": 0.08333333333333333, ""6-15"": 0.24999999999999997, ""8-20"": 0.01666666666666668}",44048,12,109818,168271872,0.6987077596325738,2.2125,3.0,0.409375,0.575,0.015625
rx_7_14__seed_713105__new_10__k_20,7-14,713105,10,20,0.9416666666666668,0.8111111111111112,0.9500000000000001,0.45,0.5787832444335969,0.13055555555555554,0.7166666666666667,2.252083333333333,-0.008333333333333304,-0.13888888888888884,0.09444444444444455,0.35,"{""14-10"": 0.8833333333333333, ""14-7"": 0.8833333333333333, ""20-15"": 1.0, ""20-19"": 0.9, ""6-15"": 1.0, ""8-20"": 0.9833333333333334}","{""14-10"": 0.5333333333333333, ""14-7"": 0.7833333333333332, ""20-15"": 0.9833333333333334, ""20-19"": 0.7999999999999999, ""6-15"": 0.8333333333333334, ""8-20"": 0.9333333333333332}","{""14-10"": 0.3499999999999999, ""14-7"": 0.10000000000000005, ""20-15"": 0.01666666666666668, ""20-19"": 0.09999999999999998, ""6-15"": 0.16666666666666666, ""8-20"": 0.05000000000000001}",44048,12,109818,168271872,0.6926100400354093,2.252083333333333,3.0,0.390625,0.5927083333333333,0.016666666666666666
rx_7_14__seed_713105__new_10__k_5,7-14,713105,10,5,0.9499999999999998,0.7388888888888889,0.9500000000000001,0.4116666666666667,0.5283014526502551,0.2111111111111111,0.7472222222222222,2.2020833333333334,-2.220446049250313e-16,-0.21111111111111114,-0.008333333333333304,0.2,"{""14-10"": 0.9833333333333334, ""14-7"": 0.8666666666666667, ""20-15"": 1.0, ""20-19"": 0.8833333333333333, ""6-15"": 1.0, ""8-20"": 0.9666666666666667}","{""14-10"": 0.2833333333333333, ""14-7"": 0.6833333333333332, ""20-15"": 0.9833333333333334, ""20-19"": 0.8166666666666668, ""6-15"": 0.7166666666666667, ""8-20"": 0.9499999999999998}","{""14-10"": 0.7000000000000001, ""14-7"": 0.18333333333333332, ""20-15"": 0.01666666666666668, ""20-19"": 0.06666666666666665, ""6-15"": 0.2833333333333333, ""8-20"": 0.01666666666666668}",44048,12,109818,168271872,0.6816215134070566,2.2020833333333334,3.0,0.41354166666666664,0.571875,0.014583333333333334
rx_7_14__seed_713105__new_20__k_1,7-14,713105,20,1,0.9499999999999998,0.6944444444444445,0.9500000000000001,0.2333333333333333,0.34911875599674164,0.2555555555555555,0.6222222222222222,2.5166666666666666,-2.220446049250313e-16,-0.25555555555555554,0.0722222222222223,0.35,"{""14-10"": 0.9500000000000001, ""14-7"": 0.8666666666666667, ""20-15"": 1.0, ""20-19"": 0.9, ""6-15"": 1.0, ""8-20"": 0.9833333333333334}","{""14-10"": 0.5166666666666667, ""14-7"": 0.6833333333333332, ""20-15"": 1.0, ""20-19"": 0.6666666666666666, ""6-15"": 0.4166666666666667, ""8-20"": 0.8833333333333333}","{""14-10"": 0.4333333333333333, ""14-7"": 0.18333333333333335, ""20-15"": 0.0, ""20-19"": 0.2333333333333333, ""6-15"": 0.5833333333333334, ""8-20"": 0.09999999999999998}",44048,12,109818,168441856,0.7271481116708273,2.5166666666666666,3.0,0.2608974358974359,0.7198717948717949,0.019230769230769232
rx_7_14__seed_713105__new_20__k_10,7-14,713105,20,10,0.9472222222222223,0.7833333333333333,0.9500000000000001,0.41083333333333333,0.5389727503033431,0.16388888888888886,0.725,2.396153846153846,-0.002777777777777768,-0.16666666666666674,0.05833333333333335,0.35,"{""14-10"": 0.9166666666666666, ""14-7"": 0.8833333333333333, ""20-15"": 1.0, ""20-19"": 0.9166666666666666, ""6-15"": 1.0, ""8-20"": 0.9666666666666667}","{""14-10"": 0.5, ""14-7"": 0.7166666666666667, ""20-15"": 0.9833333333333334, ""20-19"": 0.8333333333333334, ""6-15"": 0.7166666666666667, ""8-20"": 0.9499999999999998}","{""14-10"": 0.4166666666666667, ""14-7"": 0.16666666666666666, ""20-15"": 0.01666666666666668, ""20-19"": 0.08333333333333333, ""6-15"": 0.2833333333333333, ""8-20"": 0.01666666666666668}",44048,12,109818,168441856,0.8020442919447445,2.396153846153846,3.0,0.3269230769230769,0.6480769230769231,0.025
rx_7_14__seed_713105__new_20__k_20,7-14,713105,20,20,0.9416666666666668,0.7444444444444445,0.9500000000000001,0.42,0.5370225328729523,0.19722222222222222,0.6805555555555557,2.433333333333333,-0.008333333333333304,-0.2055555555555556,0.06388888888888877,0.35,"{""14-10"": 0.8833333333333333, ""14-7"": 0.8833333333333333, ""20-15"": 1.0, ""20-19"": 0.9, ""6-15"": 1.0, ""8-20"": 0.9833333333333334}","{""14-10"": 0.5333333333333333, ""14-7"": 0.7833333333333332, ""20-15"": 0.9833333333333334, ""20-19"": 0.7999999999999999, ""6-15"": 0.43333333333333335, ""8-20"": 0.9333333333333332}","{""14-10"": 0.3499999999999999, ""14-7"": 0.10000000000000005, ""20-15"": 0.01666666666666668, ""20-19"": 0.09999999999999998, ""6-15"": 0.5666666666666667, ""8-20"": 0.05000000000000001}",44048,12,109818,168441856,0.7403167024350319,2.433333333333333,3.0,0.308974358974359,0.6653846153846154,0.02564102564102564
rx_7_14__seed_713105__new_20__k_5,7-14,713105,20,5,0.9499999999999998,0.6861111111111112,0.9500000000000001,0.39166666666666666,0.4984829947430549,0.26388888888888884,0.6694444444444444,2.3974358974358974,-2.220446049250313e-16,-0.26388888888888884,0.01666666666666683,0.2,"{""14-10"": 0.9833333333333334, ""14-7"": 0.8666666666666667, ""20-15"": 1.0, ""20-19"": 0.8833333333333333, ""6-15"": 1.0, ""8-20"": 0.9666666666666667}","{""14-10"": 0.2833333333333333, ""14-7"": 0.6833333333333332, ""20-15"": 0.9833333333333334, ""20-19"": 0.8166666666666668, ""6-15"": 0.4000000000000001, ""8-20"": 0.9499999999999998}","{""14-10"": 0.7000000000000001, ""14-7"": 0.18333333333333332, ""20-15"": 0.01666666666666668, ""20-19"": 0.06666666666666665, ""6-15"": 0.6, ""8-20"": 0.01666666666666668}",44048,12,109818,168441856,0.7928760680489434,2.3974358974358974,3.0,0.32884615384615384,0.6435897435897436,0.027564102564102563
rx_7_14__seed_713105__new_5__k_1,7-14,713105,5,1,0.9527777777777778,0.7444444444444445,0.9500000000000001,0.4166666666666667,0.5341815162765395,0.20833333333333337,0.7583333333333333,1.7545454545454546,0.002777777777777768,-0.2055555555555556,-0.01388888888888884,0.35,"{""14-10"": 0.9500000000000001, ""14-7"": 0.8833333333333333, ""20-15"": 1.0, ""20-19"": 0.9, ""6-15"": 1.0, ""8-20"": 0.9833333333333334}","{""14-10"": 0.5833333333333334, ""14-7"": 0.6833333333333332, ""20-15"": 1.0, ""20-19"": 0.8166666666666668, ""6-15"": 0.43333333333333335, ""8-20"": 0.9499999999999998}","{""14-10"": 0.3666666666666667, ""14-7"": 0.20000000000000004, ""20-15"": 0.0, ""20-19"": 0.0833333333333333, ""6-15"": 0.5666666666666667, ""8-20"": 0.03333333333333336}",44048,12,109818,168198144,0.6084191126071593,1.7545454545454546,3.0,0.6242424242424243,0.37424242424242427,0.0015151515151515152
rx_7_14__seed_713105__new_5__k_10,7-14,713105,5,10,0.9555555555555556,0.8166666666666668,0.9500000000000001,0.5066666666666667,0.6253014869437759,0.13888888888888892,0.7944444444444444,1.8575757575757574,0.005555555555555536,-0.1333333333333333,0.022222222222222365,0.45,"{""14-10"": 0.9166666666666666, ""14-7"": 0.9, ""20-15"": 1.0, ""20-19"": 0.9333333333333332, ""6-15"": 1.0, ""8-20"": 0.9833333333333334}","{""14-10"": 0.55, ""14-7"": 0.7166666666666667, ""20-15"": 1.0, ""20-19"": 0.85, ""6-15"": 0.8333333333333334, ""8-20"": 0.9499999999999998}","{""14-10"": 0.36666666666666664, ""14-7"": 0.18333333333333335, ""20-15"": 0.0, ""20-19"": 0.08333333333333337, ""6-15"": 0.1666666666666667, ""8-20"": 0.03333333333333336}",44048,12,109818,168198144,0.6343830094644517,1.8575757575757577,3.0,0.5757575757575758,0.4196969696969697,0.004545454545454545
rx_7_14__seed_713105__new_5__k_20,7-14,713105,5,20,0.9500000000000001,0.8444444444444444,0.9500000000000001,0.56,0.6734155282186779,0.10555555555555556,0.7472222222222222,1.878787878787879,0.0,-0.10555555555555562,0.09722222222222221,0.5,"{""14-10"": 0.8833333333333333, ""14-7"": 0.9166666666666666, ""20-15"": 1.0, ""20-19"": 0.9166666666666666, ""6-15"": 1.0, ""8-20"": 0.9833333333333334}","{""14-10"": 0.5833333333333334, ""14-7"": 0.7833333333333332, ""20-15"": 1.0, ""20-19"": 0.8166666666666668, ""6-15"": 0.9500000000000001, ""8-20"": 0.9333333333333332}","{""14-10"": 0.3, ""14-7"": 0.1333333333333334, ""20-15"": 0.0, ""20-19"": 0.09999999999999998, ""6-15"": 0.05000000000000001, ""8-20"": 0.05000000000000001}",44048,12,109818,168198144,0.6296418924731286,1.878787878787879,3.0,0.5636363636363636,0.43333333333333335,0.0030303030303030303
rx_7_14__seed_713105__new_5__k_5,7-14,713105,5,5,0.9611111111111111,0.7722222222222221,0.9500000000000001,0.5233333333333333,0.6227998864807023,0.18888888888888888,0.7888888888888889,1.8393939393939396,0.011111111111111072,-0.17777777777777792,-0.01666666666666672,0.3,"{""14-10"": 1.0, ""14-7"": 0.8833333333333333, ""20-15"": 1.0, ""20-19"": 0.9166666666666666, ""6-15"": 1.0, ""8-20"": 0.9666666666666667}","{""14-10"": 0.3666666666666667, ""14-7"": 0.6833333333333332, ""20-15"": 1.0, ""20-19"": 0.8333333333333334, ""6-15"": 0.7999999999999999, ""8-20"": 0.9499999999999998}","{""14-10"": 0.6333333333333333, ""14-7"": 0.19999999999999998, ""20-15"": 0.0, ""20-19"": 0.08333333333333333, ""6-15"": 0.19999999999999998, ""8-20"": 0.01666666666666668}",44048,12,109818,168198144,0.6321936119065591,1.8393939393939394,3.0,0.5833333333333334,0.41363636363636364,0.0030303030303030303
rx_7_7__seed_713101__new_10__k_1,7-7,713101,10,1,0.7444444444444445,0.6194444444444445,0.8222222222222223,0.3233333333333333,0.4245758975278749,0.125,0.5305555555555556,2.4,-0.07777777777777783,-0.20277777777777783,0.0888888888888889,0.15,"{""14-10"": 0.25, ""14-7"": 0.6166666666666667, ""20-15"": 0.9166666666666666, ""20-19"": 0.85, ""6-15"": 0.85, ""8-20"": 0.9833333333333334}","{""14-10"": 0.25, ""14-7"": 0.19999999999999998, ""20-15"": 0.7999999999999999, ""20-19"": 0.85, ""6-15"": 0.6333333333333333, ""8-20"": 0.9833333333333334}","{""14-10"": 0.0, ""14-7"": 0.4166666666666667, ""20-15"": 0.11666666666666665, ""20-19"": 0.0, ""6-15"": 0.21666666666666667, ""8-20"": 0.0}",44048,12,109818,168271872,0.7331845020720115,2.4,3.0,0.321875,0.65625,0.021875
rx_7_7__seed_713101__new_10__k_10,7-7,713101,10,10,0.8138888888888888,0.686111111111111,0.8222222222222223,0.49500000000000005,0.575016852223518,0.1277777777777778,0.7138888888888889,2.1750000000000003,-0.008333333333333526,-0.1361111111111113,-0.0277777777777779,0.4,"{""14-10"": 0.7000000000000001, ""14-7"": 0.5333333333333333, ""20-15"": 0.8833333333333333, ""20-19"": 0.8666666666666667, ""6-15"": 0.9166666666666666, ""8-20"": 0.9833333333333334}","{""14-10"": 0.5666666666666668, ""14-7"": 0.5166666666666667, ""20-15"": 0.7333333333333334, ""20-19"": 0.8166666666666668, ""6-15"": 0.5, ""8-20"": 0.9833333333333334}","{""14-10"": 0.13333333333333333, ""14-7"": 0.01666666666666668, ""20-15"": 0.15, ""20-19"": 0.04999999999999997, ""6-15"": 0.4166666666666667, ""8-20"": 0.0}",44048,12,109818,168271872,0.6946005358865174,2.175,3.0,0.4354166666666667,0.5416666666666666,0.022916666666666665
rx_7_7__seed_713101__new_10__k_20,7-7,713101,10,20,0.8416666666666667,0.7138888888888889,0.8222222222222223,0.5116666666666667,0.5959297661717017,0.12777777777777777,0.7444444444444445,2.2145833333333336,0.019444444444444375,-0.10833333333333339,-0.030555555555555558,0.4,"{""14-10"": 0.7000000000000001, ""14-7"": 0.6833333333333332, ""20-15"": 0.8833333333333333, ""20-19"": 0.9, ""6-15"": 0.9, ""8-20"": 0.9833333333333334}","{""14-10"": 0.5666666666666668, ""14-7"": 0.6166666666666667, ""20-15"": 0.7999999999999999, ""20-19"": 0.8166666666666668, ""6-15"": 0.5, ""8-20"": 0.9833333333333334}","{""14-10"": 0.13333333333333333, ""14-7"": 0.06666666666666661, ""20-15"": 0.08333333333333333, ""20-19"": 0.0833333333333333, ""6-15"": 0.39999999999999997, ""8-20"": 0.0}",44048,12,109818,168271872,0.6863084626578105,2.214583333333333,3.0,0.4114583333333333,0.5697916666666667,0.01875
rx_7_7__seed_713101__new_10__k_5,7-7,713101,10,5,0.8722222222222222,0.7194444444444444,0.8222222222222223,0.48,0.5757017964317023,0.1527777777777778,0.7472222222222222,2.2270833333333333,0.04999999999999993,-0.10277777777777786,-0.02777777777777779,0.25,"{""14-10"": 0.75, ""14-7"": 0.7999999999999999, ""20-15"": 0.8666666666666667, ""20-19"": 0.8833333333333333, ""6-15"": 0.9500000000000001, ""8-20"": 0.9833333333333334}","{""14-10"": 0.6833333333333332, ""14-7"": 0.6666666666666666, ""20-15"": 0.8333333333333334, ""20-19"": 0.85, ""6-15"": 0.3, ""8-20"": 0.9833333333333334}","{""14-10"": 0.06666666666666665, ""14-7"": 0.13333333333333333, ""20-15"": 0.033333333333333326, ""20-19"": 0.033333333333333326, ""6-15"": 0.65, ""8-20"": 0.0}",44048,12,109818,168271872,0.7123629155103117,2.2270833333333333,3.0,0.4125,0.5614583333333333,0.026041666666666668
rx_7_7__seed_713101__new_20__k_1,7-7,713101,20,1,0.7416666666666667,0.561111111111111,0.8222222222222223,0.32916666666666666,0.41448484643862,0.18055555555555558,0.5027777777777778,2.455128205128205,-0.0805555555555556,-0.2611111111111113,0.05833333333333324,0.15,"{""14-10"": 0.25, ""14-7"": 0.6166666666666667, ""20-15"": 0.9, ""20-19"": 0.85, ""6-15"": 0.85, ""8-20"": 0.9833333333333334}","{""14-10"": 0.25, ""14-7"": 0.19999999999999998, ""20-15"": 0.45, ""20-19"": 0.85, ""6-15"": 0.6333333333333333, ""8-20"": 0.9833333333333334}","{""14-10"": 0.0, ""14-7"": 0.4166666666666667, ""20-15"": 0.44999999999999996, ""20-19"": 0.0, ""6-15"": 0.21666666666666667, ""8-20"": 0.0}",44048,12,109818,168441856,0.8144806306331586,2.4551282051282053,3.0,0.29615384615384616,0.6801282051282052,0.023717948717948717
