receiver,new_class_count,k_shot,cell_count,mean_old_acc_before_increment,mean_old_acc_after_increment,mean_direct_adv3b02_old_acc,mean_seen_new_acc_after_increment,mean_H_old_new_after_increment,mean_candidate_average_forgetting,mean_identity_old_acc_after_increment,mean_shared_view_count_mean,mean_delta_before_vs_direct,mean_delta_after_vs_direct,min_old_class_acc_after_global,max_candidate_average_forgetting
7-14,10,20,5,0.9361111111111111,0.7772222222222223,0.9427777777777777,0.44299999999999995,0.5632777181456732,0.1588888888888889,0.7388888888888889,2.2800000000000002,-0.006666666666666665,-0.16555555555555557,0.25,0.19444444444444445
7-14,20,1,5,0.9266666666666665,0.6516666666666666,0.9427777777777777,0.30883333333333335,0.413378144584345,0.275,0.6033333333333333,2.4692307692307693,-0.016111111111111187,-0.2911111111111111,0.0,0.3666666666666667
7-14,20,5,5,0.9377777777777776,0.6977777777777778,0.9427777777777777,0.39266666666666666,0.5015006538395421,0.24,0.6816666666666666,2.41974358974359,-0.005000000000000071,-0.24500000000000002,0.15,0.26944444444444443
7-14,20,10,5,0.9372222222222224,0.7150000000000001,0.9427777777777777,0.398,0.5101297744987143,0.22222222222222224,0.7005555555555556,2.4328205128205127,-0.005555555555555492,-0.22777777777777777,0.2,0.2611111111111111
7-14,20,20,5,0.9366666666666668,0.7255555555555555,0.9427777777777777,0.4133333333333333,0.5255437674970336,0.2111111111111111,0.7044444444444444,2.445897435897436,-0.006111111111111067,-0.2172222222222222,0.25,0.24722222222222223
7-7,5,1,5,0.7738888888888888,0.6677777777777778,0.8222222222222222,0.4766666666666667,0.5487061465671486,0.10611111111111113,0.6216666666666667,1.8896969696969699,-0.04833333333333334,-0.15444444444444444,0.05,0.17222222222222225
7-7,5,5,5,0.856111111111111,0.711111111111111,0.8222222222222222,0.5973333333333334,0.6471214911159102,0.145,0.7122222222222223,1.8127272727272725,0.03388888888888886,-0.11111111111111112,0.25,0.25
7-7,5,10,5,0.8416666666666666,0.7066666666666667,0.8222222222222222,0.608,0.6521691686543415,0.13499999999999998,0.7261111111111112,1.7896969696969698,0.01944444444444442,-0.11555555555555555,0.1,0.1972222222222222
7-7,5,20,5,0.836111111111111,0.7194444444444444,0.8222222222222222,0.6146666666666667,0.6616523213011587,0.11666666666666665,0.7333333333333334,1.801818181818182,0.013888888888888862,-0.10277777777777777,0.3,0.125
7-7,10,1,5,0.7672222222222222,0.63,0.8222222222222222,0.41166666666666674,0.49430921725339527,0.13722222222222222,0.53,2.34625,-0.05500000000000003,-0.19222222222222224,0.05,0.2138888888888889
7-7,10,5,5,0.8522222222222222,0.68,0.8222222222222222,0.512,0.5825848976047925,0.17222222222222222,0.6683333333333333,2.3020833333333335,0.02999999999999998,-0.1422222222222222,0.2,0.2916666666666667
7-7,10,10,5,0.8338888888888889,0.6755555555555556,0.8222222222222222,0.517,0.5849049069079344,0.15833333333333333,0.7011111111111111,2.2591666666666663,0.011666666666666626,-0.14666666666666667,0.1,0.2333333333333333
7-7,10,20,5,0.8294444444444444,0.683888888888889,0.8222222222222222,0.5213333333333333,0.590748769828841,0.14555555555555558,0.7055555555555556,2.2729166666666667,0.007222222222222218,-0.13833333333333328,0.3,0.16388888888888895
7-7,20,1,5,0.7655555555555555,0.5916666666666666,0.8222222222222222,0.39416666666666667,0.47199640891273864,0.1738888888888889,0.5027777777777778,2.4712820512820515,-0.056666666666666685,-0.23055555555555557,0.05,0.21944444444444444
7-7,20,5,5,0.8522222222222222,0.6711111111111111,0.8222222222222222,0.4993333333333333,0.5713973046664216,0.18111111111111108,0.6466666666666667,2.4258974358974355,0.02999999999999998,-0.1511111111111111,0.2,0.2972222222222222
7-7,20,10,5,0.8322222222222223,0.6683333333333332,0.8222222222222222,0.5383333333333333,0.5956969910695241,0.16388888888888886,0.6861111111111111,2.4135897435897435,0.009999999999999964,-0.15388888888888894,0.1,0.2333333333333333
7-7,20,20,5,0.8300000000000001,0.6805555555555556,0.8222222222222222,0.5508333333333334,0.6083847866700985,0.14944444444444444,0.7016666666666667,2.4276923076923076,0.007777777777777772,-0.1416666666666666,0.3,0.16388888888888895
8-8,5,1,5,0.8805555555555555,0.7061111111111111,0.78,0.6033333333333333,0.6484239553959682,0.17444444444444446,0.6272222222222222,1.9975757575757576,0.10055555555555559,-0.07388888888888887,0.0,0.2083333333333333
