variant,scene,category,group,correct,total,incorrect,accuracy_percent
U0,leo_rain_weak,class,4,25172,33000,7828,76.27878787878788
U0,leo_rain_weak,class,5,30759,33000,2241,93.2090909090909
U1,clean,aggregate,all,153746,198000,44254,77.64949494949495
U1,clean,named,test_unseen_day_seen_rx,27813,30000,2187,92.71
U1,clean,named,test_day_0,27813,30000,2187,92.71
U1,clean,named,test_seen_day_unseen_rx,95790,126000,30210,76.02380952380952
U1,clean,named,test_rx_0,14427,18000,3573,80.15
U1,clean,named,test_rx_2,10216,18000,7784,56.75555555555555
U1,clean,named,test_rx_5,15785,18000,2215,87.69444444444444
U1,clean,named,test_rx_7,11803,18000,6197,65.57222222222222
U1,clean,named,test_rx_9,14813,18000,3187,82.29444444444445
U1,clean,named,test_rx_10,14936,18000,3064,82.97777777777777
U1,clean,named,test_rx_11,13810,18000,4190,76.72222222222223
U1,clean,named,test_unseen_day_unseen_rx,30143,42000,11857,71.76904761904763
U1,clean,named,test_unseen_day_rx_0,3993,6000,2007,66.55
U1,clean,named,test_unseen_day_rx_2,3018,6000,2982,50.3
U1,clean,named,test_unseen_day_rx_5,4417,6000,1583,73.61666666666666
U1,clean,named,test_unseen_day_rx_7,5327,6000,673,88.78333333333333
U1,clean,named,test_unseen_day_rx_9,4096,6000,1904,68.26666666666667
U1,clean,named,test_unseen_day_rx_10,4650,6000,1350,77.5
U1,clean,named,test_unseen_day_rx_11,4642,6000,1358,77.36666666666666
U1,clean,receiver_all_days,0,18420,24000,5580,76.75
U1,clean,receiver_all_days,1,4747,6000,1253,79.11666666666666
U1,clean,receiver_all_days,2,13234,24000,10766,55.141666666666666
U1,clean,receiver_all_days,3,5697,6000,303,94.95
U1,clean,receiver_all_days,4,5858,6000,142,97.63333333333334
U1,clean,receiver_all_days,5,20202,24000,3798,84.175
U1,clean,receiver_all_days,6,5895,6000,105,98.25
U1,clean,receiver_all_days,7,17130,24000,6870,71.375
U1,clean,receiver_all_days,8,5616,6000,384,93.6
U1,clean,receiver_all_days,9,18909,24000,5091,78.7875
U1,clean,receiver_all_days,10,19586,24000,4414,81.60833333333333
U1,clean,receiver_all_days,11,18452,24000,5548,76.88333333333334
U1,clean,class,0,31592,33000,1408,95.73333333333333
U1,clean,class,1,15261,33000,17739,46.24545454545454
U1,clean,class,2,20330,33000,12670,61.60606060606061
U1,clean,class,3,22689,33000,10311,68.75454545454545
U1,clean,class,4,32555,33000,445,98.65151515151516
U1,clean,class,5,31319,33000,1681,94.9060606060606
U1,leo_clear_weak,aggregate,all,126860,198000,71140,64.07070707070707
U1,leo_clear_weak,named,test_unseen_day_seen_rx,23831,30000,6169,79.43666666666667
U1,leo_clear_weak,named,test_day_0,23831,30000,6169,79.43666666666667
U1,leo_clear_weak,named,test_seen_day_unseen_rx,78242,126000,47758,62.096825396825395
U1,leo_clear_weak,named,test_rx_0,13363,18000,4637,74.2388888888889
U1,leo_clear_weak,named,test_rx_2,8250,18000,9750,45.833333333333336
U1,leo_clear_weak,named,test_rx_5,13685,18000,4315,76.02777777777777
U1,leo_clear_weak,named,test_rx_7,7516,18000,10484,41.75555555555555
U1,leo_clear_weak,named,test_rx_9,12799,18000,5201,71.10555555555555
U1,leo_clear_weak,named,test_rx_10,10944,18000,7056,60.8
U1,leo_clear_weak,named,test_rx_11,11685,18000,6315,64.91666666666667
U1,leo_clear_weak,named,test_unseen_day_unseen_rx,24787,42000,17213,59.016666666666666
U1,leo_clear_weak,named,test_unseen_day_rx_0,3646,6000,2354,60.766666666666666
U1,leo_clear_weak,named,test_unseen_day_rx_2,2319,6000,3681,38.65
U1,leo_clear_weak,named,test_unseen_day_rx_5,3725,6000,2275,62.083333333333336
U1,leo_clear_weak,named,test_unseen_day_rx_7,3228,6000,2772,53.8
U1,leo_clear_weak,named,test_unseen_day_rx_9,3745,6000,2255,62.416666666666664
U1,leo_clear_weak,named,test_unseen_day_rx_10,4234,6000,1766,70.56666666666666
U1,leo_clear_weak,named,test_unseen_day_rx_11,3890,6000,2110,64.83333333333333
U1,leo_clear_weak,receiver_all_days,0,17009,24000,6991,70.87083333333334
U1,leo_clear_weak,receiver_all_days,1,4364,6000,1636,72.73333333333333
U1,leo_clear_weak,receiver_all_days,2,10569,24000,13431,44.0375
U1,leo_clear_weak,receiver_all_days,3,4395,6000,1605,73.25
U1,leo_clear_weak,receiver_all_days,4,5299,6000,701,88.31666666666666
