k_shot,top_k,alpha,prototype_score_blend,old_acc,min_old
5,5,1.0,0.5,0.7266666666666667,0.43
5,5,0.1,0.2,0.7266666666666667,0.42
10,1,1.0,4.0,0.725,0.51
10,3,0.25,0.2,0.725,0.48
10,3,0.0,0.5,0.725,0.47
10,3,0.1,0.5,0.725,0.47
10,3,0.25,0.5,0.725,0.47
5,3,0.25,2.0,0.725,0.45
5,3,0.0,2.0,0.725,0.44
5,3,1.0,2.0,0.725,0.44
5,5,1.0,1.0,0.725,0.43
5,5,0.25,0.2,0.725,0.42
5,5,0.25,0.5,0.725,0.42
10,3,0.0,4.0,0.7233333333333334,0.52
10,5,0.75,4.0,0.7233333333333334,0.52
10,3,0.75,4.0,0.7233333333333334,0.51
10,3,1.0,4.0,0.7233333333333334,0.51
10,10,1.0,4.0,0.7233333333333334,0.51
10,3,0.0,1.0,0.7233333333333334,0.47
10,3,0.5,0.2,0.7233333333333334,0.47
10,3,0.75,0.2,0.7233333333333334,0.47
10,3,1.0,0.2,0.7233333333333334,0.47
10,3,0.5,1.0,0.7233333333333334,0.46
10,3,0.75,1.0,0.7233333333333334,0.46
10,3,1.0,1.0,0.7233333333333334,0.46
5,3,0.5,2.0,0.7233333333333334,0.45
5,3,0.1,2.0,0.7233333333333334,0.44
5,3,0.75,2.0,0.7233333333333334,0.44
5,5,0.0,0.5,0.7233333333333334,0.42
5,5,0.0,1.0,0.7233333333333334,0.42
5,5,0.1,0.5,0.7233333333333334,0.42
5,5,0.1,1.0,0.7233333333333334,0.42
10,3,0.5,2.0,0.7216666666666667,0.53
10,3,0.75,2.0,0.7216666666666667,0.53
10,5,0.5,4.0,0.7216666666666667,0.52
10,3,0.1,4.0,0.7216666666666667,0.51
10,5,0.0,4.0,0.7216666666666667,0.51
10,5,0.1,4.0,0.7216666666666667,0.51
10,5,1.0,4.0,0.7216666666666667,0.51
10,3,0.25,2.0,0.7216666666666667,0.5
10,3,0.5,4.0,0.7216666666666667,0.5
5,3,1.0,4.0,0.7216666666666667,0.48
10,3,0.0,0.0,0.7216666666666667,0.48
10,3,0.1,0.0,0.7216666666666667,0.48
10,3,0.25,0.0,0.7216666666666667,0.48
10,3,0.5,0.0,0.7216666666666667,0.48
10,3,0.75,0.0,0.7216666666666667,0.48
10,3,1.0,0.0,0.7216666666666667,0.48
5,1,0.0,2.0,0.7216666666666667,0.47
5,3,0.0,4.0,0.7216666666666667,0.46
10,3,0.1,1.0,0.7216666666666667,0.46
10,3,0.25,1.0,0.7216666666666667,0.46
10,3,0.5,0.5,0.7216666666666667,0.46
10,3,0.75,0.5,0.7216666666666667,0.46
10,3,1.0,0.5,0.7216666666666667,0.46
10,5,0.0,0.0,0.7216666666666667,0.44
10,5,0.1,0.0,0.7216666666666667,0.44
10,5,0.25,0.0,0.7216666666666667,0.44
10,5,0.5,0.0,0.7216666666666667,0.44
10,5,0.75,0.0,0.7216666666666667,0.44
10,5,1.0,0.0,0.7216666666666667,0.44
10,5,0.25,4.0,0.72,0.51
10,5,1.0,2.0,0.72,0.51
5,3,0.5,4.0,0.72,0.48
5,3,0.75,4.0,0.72,0.48
5,3,0.25,4.0,0.72,0.47
5,5,0.25,4.0,0.72,0.47
5,3,0.1,4.0,0.72,0.46
5,5,0.0,4.0,0.72,0.46
10,3,0.25,4.0,0.7183333333333334,0.5
5,1,0.1,2.0,0.7183333333333334,0.48
5,5,0.75,4.0,0.7183333333333334,0.47
5,5,1.0,4.0,0.7183333333333334,0.47
5,5,0.1,4.0,0.7183333333333334,0.46
5,5,0.75,2.0,0.7183333333333334,0.46
5,5,0.0,2.0,0.7183333333333334,0.43
5,1,0.5,2.0,0.7166666666666667,0.5
10,5,0.5,2.0,0.7166666666666667,0.5
10,5,0.75,2.0,0.7166666666666667,0.5
5,1,0.5,4.0,0.7166666666666667,0.49
5,1,0.25,2.0,0.7166666666666667,0.48
5,1,0.75,4.0,0.7166666666666667,0.48
5,5,0.5,4.0,0.7166666666666667,0.47
10,3,0.0,2.0,0.7166666666666667,0.47
10,3,0.1,2.0,0.7166666666666667,0.47
5,5,1.0,2.0,0.7166666666666667,0.46
5,1,0.75,2.0,0.715,0.5
5,1,1.0,2.0,0.715,0.5
5,1,0.25,4.0,0.715,0.49
5,1,0.0,4.0,0.715,0.48
10,5,0.25,2.0,0.715,0.48
5,5,0.5,2.0,0.715,0.46
5,5,0.25,2.0,0.715,0.45
5,1,1.0,4.0,0.7133333333333334,0.47
5,5,0.1,2.0,0.7133333333333334,0.43
5,1,0.1,4.0,0.7116666666666667,0.48
10,5,0.0,2.0,0.7116666666666667,0.46
10,5,0.1,2.0,0.7116666666666667,0.46
10,5,1.0,1.0,0.7116666666666667,0.45
10,5,1.0,0.2,0.7116666666666667,0.43
10,5,0.0,0.5,0.71,0.45
10,5,0.0,1.0,0.71,0.45
10,5,0.1,0.5,0.71,0.45
10,5,0.25,0.5,0.71,0.45
10,5,0.75,0.2,0.71,0.44
10,5,0.0,0.2,0.7083333333333334,0.44
10,5,0.1,1.0,0.7083333333333334,0.44
10,5,0.25,1.0,0.7083333333333334,0.44
10,5,0.5,0.5,0.7083333333333334,0.44
10,5,0.5,1.0,0.7083333333333334,0.44
10,5,0.75,1.0,0.7083333333333334,0.44
10,5,1.0,0.5,0.7083333333333334,0.43
10,5,0.1,0.2,0.7066666666666667,0.43
10,5,0.25,0.2,0.7066666666666667,0.43
10,5,0.5,0.2,0.7066666666666667,0.43
10,5,0.75,0.5,0.7066666666666667,0.43
5,3,1.0,1.0,0.7,0.4
10,1,0.0,0.0,0.6983333333333334,0.49
10,1,0.0,0.2,0.6983333333333334,0.49
10,1,0.0,0.5,0.6983333333333334,0.49
10,1,0.0,1.0,0.6983333333333334,0.49
10,1,0.1,0.0,0.6983333333333334,0.49
10,1,0.1,0.2,0.6983333333333334,0.49
10,1,0.1,0.5,0.6983333333333334,0.49
10,1,0.1,1.0,0.6983333333333334,0.49
10,1,0.25,0.0,0.6983333333333334,0.49
10,1,0.25,0.2,0.6983333333333334,0.49
10,1,0.25,0.5,0.6983333333333334,0.49
10,1,0.25,1.0,0.6983333333333334,0.49
10,1,0.5,0.0,0.6983333333333334,0.49
10,1,0.5,0.2,0.6983333333333334,0.49
10,1,0.5,0.5,0.6983333333333334,0.49
10,1,0.5,1.0,0.6983333333333334,0.49
10,1,0.75,0.0,0.6983333333333334,0.49
10,1,0.75,0.2,0.6983333333333334,0.49
10,1,0.75,0.5,0.6983333333333334,0.49
10,1,0.75,1.0,0.6983333333333334,0.49
10,1,1.0,0.0,0.6983333333333334,0.49
10,1,1.0,0.2,0.6983333333333334,0.49
10,1,1.0,0.5,0.6983333333333334,0.49
10,1,1.0,1.0,0.6983333333333334,0.49
5,3,0.0,0.0,0.6983333333333334,0.41
5,3,0.0,0.5,0.6983333333333334,0.41
5,3,0.0,1.0,0.6983333333333334,0.41
5,3,0.1,0.0,0.6983333333333334,0.41
5,3,0.1,0.5,0.6983333333333334,0.41
5,3,0.1,1.0,0.6983333333333334,0.41
5,3,0.25,0.0,0.6983333333333334,0.41
5,3,0.25,0.5,0.6983333333333334,0.41
5,3,0.25,1.0,0.6983333333333334,0.41
5,3,0.5,0.0,0.6983333333333334,0.41
5,3,0.5,1.0,0.6983333333333334,0.41
5,3,0.75,0.0,0.6983333333333334,0.41
5,3,1.0,0.0,0.6983333333333334,0.41
5,3,0.5,0.5,0.6966666666666667,0.4
5,3,0.75,1.0,0.6966666666666667,0.4
5,3,0.0,0.2,0.695,0.39
5,3,0.1,0.2,0.695,0.39
5,3,0.25,0.2,0.695,0.39
5,3,0.5,0.2,0.695,0.39
5,3,0.75,0.5,0.695,0.39
5,3,1.0,0.5,0.695,0.39
5,3,0.75,0.2,0.6933333333333334,0.39
5,3,1.0,0.2,0.6933333333333334,0.39
5,1,0.0,0.0,0.67,0.42
5,1,0.0,0.2,0.67,0.42
5,1,0.0,0.5,0.67,0.42
5,1,0.0,1.0,0.67,0.42
5,1,0.1,0.0,0.67,0.42
5,1,0.1,0.2,0.67,0.42
5,1,0.1,0.5,0.67,0.42
5,1,0.1,1.0,0.67,0.42
5,1,0.25,0.0,0.67,0.42
5,1,0.25,0.2,0.67,0.42
5,1,0.25,0.5,0.67,0.42
5,1,0.25,1.0,0.67,0.42
5,1,0.5,0.0,0.67,0.42
5,1,0.5,0.2,0.67,0.42
5,1,0.5,0.5,0.67,0.42
5,1,0.5,1.0,0.67,0.42
5,1,0.75,0.0,0.67,0.42
5,1,0.75,0.2,0.67,0.42
5,1,0.75,0.5,0.67,0.42
5,1,0.75,1.0,0.67,0.42
5,1,1.0,0.0,0.67,0.42
5,1,1.0,0.2,0.67,0.42
5,1,1.0,0.5,0.67,0.42
5,1,1.0,1.0,0.67,0.42
