ranking,rank,candidate_id,value,base,mechanism_tag
final_source_overflow,9,ADV2_R17_CORESTRICT_E260,0.3776147688204705,R17,CORESTRICT
final_source_overflow,10,ADV2_FUSE6_R17_E260,0.388853119734634,R17,FUSE6
prototype_radius_p95_mean_deg,1,ADV2_R20_SAT70_E260,5.248967933756242,R20,SAT70
prototype_radius_p95_mean_deg,2,ADV2_FUSE6_R17_E260,5.289383443735677,R17,FUSE6
prototype_radius_p95_mean_deg,3,ADV2_R17_CORESTRICT_E260,5.29263973642248,R17,CORESTRICT
prototype_radius_p95_mean_deg,4,ADV2_T13_CONSERVE_E260,5.2948902837539995,T13,CONSERVE
prototype_radius_p95_mean_deg,5,ADV2_TAILCV_R17_E260,5.364472835923504,R17,TAILCV
prototype_radius_p95_mean_deg,6,ADV2_T13_TAILGUARD_E260,5.365600670910203,T13,TAILGUARD
prototype_radius_p95_mean_deg,7,ADV2_R28_PROXYLOW_E260,5.445858808752437,R28,PROXYLOW
prototype_radius_p95_mean_deg,8,ADV2_SRCLOW_R17_E260,5.655206668134267,R17,SRCLOW
prototype_radius_p95_mean_deg,9,ADV2_FUSE5_R20_E260,5.738312994860397,R20,FUSE5
prototype_radius_p95_mean_deg,10,ADV2_R28_FUSE6_E260,5.813042094569506,R28,FUSE6
