run_id,adapter,reject_policy,adapter_kind,source_pair_count,val_pair_mse_before,val_pair_mse_after,val_pair_cos_before,val_pair_cos_after,val_proto_acc_before,val_proto_acc_after,train_pair_mse_before,train_pair_mse_after,phase,head_type,metric,threshold_policy,unknown_FAR,passes_unknown_far_target,known_closed_accuracy_no_reject,known_full_accuracy_after_reject,old_drop_pp_vs_closed,passes_old_drop_target,passes_dual_target,known_coverage,known_accepted_accuracy,known_query_count,unknown_query_count
phase1_adv3b02_multiview_keepold_rx3_19_u1_20260702,LEOADAPT_LINR_COS,ADAPT_PROTO_COS_SRC9999,linear_residual,27,0.15435630083084106,0.12249526381492615,0.9063748121261597,0.7386273145675659,0.8333333730697632,0.5,0.10098468512296677,0.030594216659665108,phase1_only_source_prototype_reject,,cosine,source_accept,0.9900000095367432,False,0.5235294117647059,0.5217647058823529,0.17647058823530015,True,False,0.9964705882352941,0.5236127508854782,3400,400
phase1_adv3b02_multiview_keepold_rx3_19_u1_20260702,LEOADAPT_LINR_COS,ADAPT_PROTO_MAH_MIN05,linear_residual,27,0.15435630083084106,0.12249526381492615,0.9063748121261597,0.7386273145675659,0.8333333730697632,0.5,0.10098468512296677,0.030594216659665108,phase1_only_source_prototype_reject,,diag_mahalanobis,min_source_proxy,0.03999999910593033,True,0.5235294117647059,0.017058823529411765,50.64705882352941,False,False,0.021470588235294116,0.7945205479452054,3400,400
phase1_adv3b02_multiview_keepold_rx3_19_u1_20260702,LEOADAPT_MLP128_CE,ADAPT_LIN_MIN05,mlp_residual,27,0.15435630083084106,0.12151530385017395,0.9063748121261597,0.6869105696678162,0.8333333730697632,0.5,0.10098468512296677,0.030965754762291908,phase1_only_multiview_consistency_reject,linear,,min_source_proxy,0.0625,False,0.5311764705882352,0.09705882352941177,43.41176470588235,False,False,0.14852941176470588,0.6534653465346535,3400,400
phase1_adv3b02_multiview_keepold_rx3_19_u1_20260702,LEOADAPT_MLP128_CE,ADAPT_LIN_SRC9999,mlp_residual,27,0.15435630083084106,0.12151530385017395,0.9063748121261597,0.6869105696678162,0.8333333730697632,0.5,0.10098468512296677,0.030965754762291908,phase1_only_multiview_consistency_reject,linear,,source_accept,0.9800000190734863,False,0.5311764705882352,0.53,0.11764705882352233,True,False,0.9967647058823529,0.5317202714665092,3400,400
phase1_adv3b02_multiview_keepold_rx3_19_u1_20260702,LEOADAPT_MLP128_CE,ADAPT_MLP64_MIN05,mlp_residual,27,0.15435630083084106,0.12151530385017395,0.9063748121261597,0.6869105696678162,0.8333333730697632,0.5,0.10098468512296677,0.030965754762291908,phase1_only_multiview_consistency_reject,mlp,,min_source_proxy,0.125,False,0.5311764705882352,0.13264705882352942,39.85294117647058,False,False,0.22,0.6029411764705882,3400,400
phase1_adv3b02_multiview_keepold_rx3_19_u1_20260702,LEOADAPT_MLP128_CE,ADAPT_MLP64_SRC9999,mlp_residual,27,0.15435630083084106,0.12151530385017395,0.9063748121261597,0.6869105696678162,0.8333333730697632,0.5,0.10098468512296677,0.030965754762291908,phase1_only_multiview_consistency_reject,mlp,,source_accept,0.9549999833106995,False,0.5311764705882352,0.4970588235294118,3.4117647058823475,False,False,0.9526470588235294,0.5217659771534424,3400,400
phase1_adv3b02_multiview_keepold_rx3_19_u1_20260702,LEOADAPT_MLP128_CE,ADAPT_PROTO_COS_MIN05,mlp_residual,27,0.15435630083084106,0.12151530385017395,0.9063748121261597,0.6869105696678162,0.8333333730697632,0.5,0.10098468512296677,0.030965754762291908,phase1_only_source_prototype_reject,,cosine,min_source_proxy,0.027499999850988388,True,0.5311764705882352,0.014705882352941176,51.64705882352941,False,False,0.019411764705882354,0.7575757575757576,3400,400
phase1_adv3b02_multiview_keepold_rx3_19_u1_20260702,LEOADAPT_MLP128_CE,ADAPT_PROTO_COS_SRC9999,mlp_residual,27,0.15435630083084106,0.12151530385017395,0.9063748121261597,0.6869105696678162,0.8333333730697632,0.5,0.10098468512296677,0.030965754762291908,phase1_only_source_prototype_reject,,cosine,source_accept,0.9775000214576721,False,0.5311764705882352,0.5255882352941177,0.5588235294117561,True,False,0.9779411764705882,0.5374436090225564,3400,400
phase1_adv3b02_multiview_keepold_rx3_19_u1_20260702,LEOADAPT_MLP128_CE,ADAPT_PROTO_MAH_MIN05,mlp_residual,27,0.15435630083084106,0.12151530385017395,0.9063748121261597,0.6869105696678162,0.8333333730697632,0.5,0.10098468512296677,0.030965754762291908,phase1_only_source_prototype_reject,,diag_mahalanobis,min_source_proxy,0.029999999329447746,True,0.5311764705882352,0.014411764705882353,51.67647058823529,False,False,0.019705882352941177,0.7313432835820896,3400,400
phase1_adv3b02_multiview_keepold_rx3_19_u1_20260702,LEOADAPT_MLP64_BAL,ADAPT_LIN_MIN05,mlp_residual,27,0.15435630083084106,0.1235543042421341,0.9063748121261597,0.6453119516372681,0.8333333730697632,0.5,0.10098468512296677,0.026227565482258797,phase1_only_multiview_consistency_reject,linear,,min_source_proxy,0.07750000059604645,False,0.5241176470588236,0.10235294117647059,42.1764705882353,False,False,0.15970588235294117,0.6408839779005525,3400,400
