run_id,adapter,reject_policy,adapter_kind,source_pair_count,val_pair_mse_before,val_pair_mse_after,val_pair_cos_before,val_pair_cos_after,val_proto_acc_before,val_proto_acc_after,phase,head_type,metric,threshold_policy,unknown_FAR,passes_unknown_far_target,known_closed_accuracy_no_reject,known_full_accuracy_after_reject,old_drop_pp_vs_closed,passes_old_drop_target,passes_dual_target,known_coverage,known_accepted_accuracy,known_query_count,unknown_query_count
phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702,LEOADAPT2_MEANSHIFT,ADAPT2_LIN_MIN05,mean_shift,27,0.13993939757347107,0.12447389215230942,0.8228891491889954,0.7573390603065491,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,linear,,min_source_proxy,0.05999999865889549,False,0.7385294117647059,0.3288235294117647,40.97058823529412,False,False,0.3658823529411765,0.8987138263665595,3400,400
phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702,LEOADAPT2_MEANSHIFT,ADAPT2_LIN_SRC9999,mean_shift,27,0.13993939757347107,0.12447389215230942,0.8228891491889954,0.7573390603065491,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,linear,,source_accept,1.0,False,0.7385294117647059,0.7379411764705882,0.05882352941176672,True,False,0.9991176470588236,0.7385928760671181,3400,400
phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702,LEOADAPT2_MEANSHIFT,ADAPT2_MLP64_MIN05,mean_shift,27,0.13993939757347107,0.12447389215230942,0.8228891491889954,0.7573390603065491,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,mlp,,min_source_proxy,0.0925000011920929,False,0.7385294117647059,0.3611764705882353,37.73529411764706,False,False,0.4076470588235294,0.886002886002886,3400,400
phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702,LEOADAPT2_MEANSHIFT,ADAPT2_MLP64_SRC9999,mean_shift,27,0.13993939757347107,0.12447389215230942,0.8228891491889954,0.7573390603065491,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,mlp,,source_accept,0.9125000238418579,False,0.7385294117647059,0.7285294117647059,1.0000000000000009,True,False,0.9855882352941177,0.7391823336317517,3400,400
phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702,LEOADAPT2_MEANSHIFT,ADAPT2_PROTO_COS_MIN05,mean_shift,27,0.13993939757347107,0.12447389215230942,0.8228891491889954,0.7573390603065491,0.800000011920929,0.800000011920929,phase1_only_source_prototype_reject,,cosine,min_source_proxy,0.05000000074505806,True,0.7385294117647059,0.16441176470588234,57.41176470588235,False,False,0.16970588235294118,0.9688041594454073,3400,400
phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702,LEOADAPT2_MEANSHIFT,ADAPT2_PROTO_COS_SRC9999,mean_shift,27,0.13993939757347107,0.12447389215230942,0.8228891491889954,0.7573390603065491,0.800000011920929,0.800000011920929,phase1_only_source_prototype_reject,,cosine,source_accept,1.0,False,0.7385294117647059,0.7385294117647059,0.0,True,False,0.9991176470588236,0.7391816308507506,3400,400
phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702,LEOADAPT2_MEANSHIFT,ADAPT2_PROTO_MAH_MIN05,mean_shift,27,0.13993939757347107,0.12447389215230942,0.8228891491889954,0.7573390603065491,0.800000011920929,0.800000011920929,phase1_only_source_prototype_reject,,diag_mahalanobis,min_source_proxy,0.029999999329447746,True,0.7385294117647059,0.12529411764705883,61.32352941176471,False,False,0.12941176470588237,0.9681818181818181,3400,400
phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702,LEOADAPT2_NORMSHIFT,ADAPT2_LIN_MIN05,norm_mean_shift,27,0.13993939757347107,0.25219449400901794,0.8228891491889954,0.7888660430908203,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,linear,,min_source_proxy,0.07249999791383743,False,0.7558823529411764,0.33176470588235296,42.41176470588235,False,False,0.3723529411764706,0.8909952606635071,3400,400
phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702,LEOADAPT2_NORMSHIFT,ADAPT2_LIN_SRC9999,norm_mean_shift,27,0.13993939757347107,0.25219449400901794,0.8228891491889954,0.7888660430908203,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,linear,,source_accept,1.0,False,0.7558823529411764,0.7558823529411764,0.0,True,False,0.9997058823529412,0.756104736687261,3400,400
phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702,LEOADAPT2_NORMSHIFT,ADAPT2_MLP64_MIN05,norm_mean_shift,27,0.13993939757347107,0.25219449400901794,0.8228891491889954,0.7888660430908203,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,mlp,,min_source_proxy,0.11249999701976776,False,0.7558823529411764,0.36264705882352943,39.3235294117647,False,False,0.415,0.8738483345145287,3400,400
