candidate_id,gpu,arm,k_old,seed,target_old_query_per_tx,raw_old_acc_pct,deployed_old_acc_pct,baseline_old_acc_pct,raw_full_acc_pct,deployed_full_acc_pct,coverage_pct,unknown_far_pct,unknown_reject_pct,old_reject_pct,old_to_seen_new_pct,auroc_pct,fpr95_pct,rollback_triggered,rollback_accepted,loss_initial,loss_final,old80_support_cv_acc_pct
OA_MSE_H06_OLD80FIRST_HEAD48_GPU4_C_MSE_SUBSPACE_KOLD5_KNEW0,4,C,5,232210,,66.66666865348816,66.66666865348816,35.41666567325592,50.0,50.0,100.0,100.0,0.0,0.0,0.0,63.463541666666664,89.58333333333334,False,True,5.069777488708496,0.8205254077911377,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU4_D_MSE_SUBSPACE_KOLD10_KNEW0,4,D,10,232390,,66.25000238418579,66.25000238418579,31.25,49.687498807907104,49.687498807907104,100.0,100.0,0.0,0.0,0.0,63.77604166666667,98.75,False,True,5.525328159332275,1.0778944492340088,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU4_E_MSE_SUBSPACE_KOLD5_KNEW0,4,E,5,232570,,67.91666746139526,67.91666746139526,31.666666269302368,50.93749761581421,50.93749761581421,100.0,100.0,0.0,0.0,0.0,67.72916666666666,69.58333333333333,False,True,5.329448223114014,0.7945514917373657,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU4_F_MSE_SUBSPACE_KOLD10_KNEW0,4,F,10,232750,,75.0,75.0,21.666666865348816,56.25,56.25,100.0,100.0,0.0,0.0,0.0,66.38020833333333,97.91666666666666,False,True,4.6990437507629395,0.8592172265052795,81.66666626930237
OA_MSE_H06_OLD80FIRST_HEAD48_GPU5_A_MSE_SUBSPACE_KOLD2_KNEW0,5,A,2,231860,,67.5000011920929,67.5000011920929,22.083333134651184,50.62500238418579,50.62500238418579,100.0,100.0,0.0,0.0,0.0,53.95833333333333,96.66666666666667,False,True,1.073066234588623,0.4035060405731201,100.0
OA_MSE_H06_OLD80FIRST_HEAD48_GPU5_B_MSE_SUBSPACE_KOLD3_KNEW0,5,B,3,232040,,69.9999988079071,69.9999988079071,33.33333432674408,52.49999761581421,52.49999761581421,100.0,100.0,0.0,0.0,0.0,62.765625,90.83333333333333,False,True,5.548282623291016,0.864016056060791,94.44444179534912
OA_MSE_H06_OLD80FIRST_HEAD48_GPU5_C_MSE_SUBSPACE_KOLD5_KNEW0,5,C,5,232220,,64.58333134651184,64.58333134651184,18.75,48.4375,48.4375,100.0,100.0,0.0,0.0,0.0,59.86979166666667,81.66666666666667,False,True,3.718505620956421,0.568589985370636,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU5_D_MSE_SUBSPACE_KOLD10_KNEW0,5,D,10,232400,,68.75,68.75,35.41666567325592,51.5625,51.5625,100.0,100.0,0.0,0.0,0.0,69.23958333333333,66.25,False,True,4.854794502258301,0.7737151980400085,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU5_E_MSE_SUBSPACE_KOLD5_KNEW0,5,E,5,232580,,64.16666507720947,64.16666507720947,22.083333134651184,48.124998807907104,48.124998807907104,100.0,100.0,0.0,0.0,0.0,61.40624999999999,93.75,False,True,5.1150407791137695,0.6613212823867798,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU5_F_MSE_SUBSPACE_KOLD10_KNEW0,5,F,10,232760,,73.33333492279053,73.33333492279053,29.16666567325592,55.000001192092896,55.000001192092896,100.0,100.0,0.0,0.0,0.0,67.390625,72.91666666666666,False,True,4.944696426391602,1.0121525526046753,80.0000011920929
OA_MSE_H06_OLD80FIRST_HEAD48_GPU6_A_MSE_SUBSPACE_KOLD2_KNEW0,6,A,2,231870,,62.91666626930237,62.91666626930237,26.66666805744171,47.187501192092896,47.187501192092896,100.0,100.0,0.0,0.0,0.0,61.38541666666667,85.0,False,True,5.849329948425293,0.8612158298492432,91.66666865348816
OA_MSE_H06_OLD80FIRST_HEAD48_GPU6_B_MSE_SUBSPACE_KOLD3_KNEW0,6,B,3,232050,,56.25,56.25,26.249998807907104,42.1875,42.1875,100.0,100.0,0.0,0.0,0.0,61.302083333333336,83.33333333333334,False,True,4.05837869644165,0.9590380787849426,66.66666865348816
OA_MSE_H06_OLD80FIRST_HEAD48_GPU6_C_MSE_SUBSPACE_KOLD5_KNEW0,6,C,5,232230,,71.66666388511658,71.66666388511658,30.416667461395264,53.75000238418579,53.75000238418579,100.0,100.0,0.0,0.0,0.0,63.61458333333333,83.75,False,True,3.534902811050415,0.702430009841919,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU6_D_MSE_SUBSPACE_KOLD10_KNEW0,6,D,10,232410,,74.58333373069763,74.58333373069763,33.33333432674408,55.937498807907104,55.937498807907104,100.0,100.0,0.0,0.0,0.0,71.15625,93.33333333333333,False,True,4.876346111297607,0.8906171321868896,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU6_E_MSE_SUBSPACE_KOLD5_KNEW0,6,E,5,232590,,66.66666865348816,66.66666865348816,28.749999403953552,50.0,50.0,100.0,100.0,0.0,0.0,0.0,73.27604166666667,75.0,False,True,4.51637601852417,0.8255337476730347,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU6_F_MSE_SUBSPACE_KOLD10_KNEW0,6,F,10,232770,,70.83333134651184,70.83333134651184,33.33333432674408,53.125,53.125,100.0,100.0,0.0,0.0,0.0,61.4375,81.25,False,True,5.053638935089111,1.1813974380493164,78.33333611488342
OA_MSE_H06_OLD80FIRST_HEAD48_GPU7_A_MSE_SUBSPACE_KOLD2_KNEW0,7,A,2,231880,,63.333332538604736,63.333332538604736,22.499999403953552,47.49999940395355,47.49999940395355,100.0,100.0,0.0,0.0,0.0,55.13020833333333,84.58333333333333,False,True,7.953032493591309,0.9044952988624573,75.0
OA_MSE_H06_OLD80FIRST_HEAD48_GPU7_B_MSE_SUBSPACE_KOLD3_KNEW0,7,B,3,232060,,61.666667461395264,61.666667461395264,31.25,46.25000059604645,46.25000059604645,100.0,100.0,0.0,0.0,0.0,60.16666666666667,93.75,False,True,3.8261260986328125,0.9097095131874084,72.22222089767456
OA_MSE_H06_OLD80FIRST_HEAD48_GPU7_C_MSE_SUBSPACE_KOLD5_KNEW0,7,C,5,232240,,72.50000238418579,72.50000238418579,33.33333432674408,54.374998807907104,54.374998807907104,100.0,100.0,0.0,0.0,0.0,66.42708333333334,77.08333333333334,False,True,4.978679180145264,0.9852250814437866,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU7_D_MSE_SUBSPACE_KOLD10_KNEW0,7,D,10,232420,,71.66666388511658,71.66666388511658,34.583333134651184,53.75000238418579,53.75000238418579,100.0,100.0,0.0,0.0,0.0,64.44270833333333,90.41666666666667,False,True,4.454756259918213,0.7279585599899292,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU7_E_MSE_SUBSPACE_KOLD5_KNEW0,7,E,5,232600,,61.666667461395264,61.666667461395264,36.250001192092896,46.25000059604645,46.25000059604645,100.0,100.0,0.0,0.0,0.0,67.671875,87.5,False,True,5.005964756011963,0.8176801800727844,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU7_F_MSE_SUBSPACE_KOLD10_KNEW0,7,F,10,232780,,68.75,68.75,32.083332538604736,51.5625,51.5625,100.0,100.0,0.0,0.0,0.0,63.1875,85.83333333333333,False,True,5.202783107757568,0.9770501852035522,80.0000011920929
