family,run,row,seed,status,clean,leo_clear_weak,leo_low_elev_weak,leo_rain_weak,leo_mean,source_table,comparison_warning,inherited_target_contact
A1,a1_mechanism_periodic_s392005_20260910_r1,F3_R3_SWAP,392005,COMPLETE_SCORED,77.81130952380953,67.91071428571429,66.53690476190476,66.82142857142857,67.08968253968254,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_r3_budget_s392005_20260909_r2,R3_B120,392005,COMPLETE_SCORED,77.36964285714286,64.775,63.60178571428572,63.7077380952381,64.0281746031746,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_r3_budget_s392005_20260909_r2,R3_B160,392005,COMPLETE_SCORED,78.58035714285714,67.79107142857143,66.10833333333333,66.38214285714285,66.76051587301588,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_r3_scratch_s392005_20260908_r1,R3_FAST_SEQUENTIAL,392005,COMPLETE_SCORED,78.61488095238094,69.27380952380953,67.51309523809523,67.91011904761905,68.23234126984127,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_r3_scratch_s392005_20260908_r1,R3_REFERENCE,392005,COMPLETE_SCORED,79.1125,69.56964285714285,67.81904761904762,68.15119047619046,68.51329365079364,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_r3_scratch_s392005_20260908_r1,R3_STRUCTURE_CONTROL,392005,COMPLETE_SCORED,77.98869047619048,68.64226190476191,66.94940476190476,67.11190476190477,67.56785714285714,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
GAME_V1,,B0,392005,scored,74.36428571428571,62.9375,61.335119047619045,61.13392857142858,61.80218253968254,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,B1,392005,scored,73.62619047619047,64.38809523809523,62.15714285714286,61.705952380952375,62.75039682539681,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,B2,392005,scored,77.0625,65.2845238095238,63.250595238095244,62.813095238095244,63.7827380952381,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,B3,392005,scored,77.16964285714286,59.6220238095238,58.00297619047618,57.81071428571428,58.47857142857143,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,B3_lr_high,392005,scored,77.37261904761905,65.80119047619047,63.97202380952381,63.97559523809524,64.58293650793651,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,B3_head_slow,392005,scored,76.9857142857143,63.95952380952381,61.95773809523809,61.63214285714286,62.51646825396825,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,B3_head_fast,392005,scored,75.93154761904762,65.74821428571428,63.56309523809524,63.39285714285714,64.23472222222223,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,B7,392005,scored,76.04345238095237,59.31845238095238,57.389880952380956,57.22678571428571,57.97837301587302,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,S1,392005,scored,73.73154761904762,61.38392857142857,59.703571428571436,59.48154761904762,60.18968253968254,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,S3,392005,scored,77.26130952380953,66.52678571428572,64.61607142857143,64.15892857142858,65.10059523809524,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,S4,392005,scored,76.71190476190476,65.08392857142857,63.224999999999994,62.99821428571428,63.76904761904761,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,C1,392005,scored,78.74285714285715,63.41547619047619,61.590476190476195,61.363095238095234,62.12301587301587,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,C2,392005,scored,78.9952380952381,64.1625,61.68214285714285,61.22380952380952,62.35615079365079,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,H1,392005,scored,74.94107142857143,65.79166666666667,63.63154761904762,63.38690476190476,64.27003968253969,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,J1,392005,scored,78.1732142857143,64.37857142857143,62.7470238095238,62.61071428571429,63.2454365079365,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,B8,392005,scored,78.52261904761905,67.35297619047618,64.84880952380952,64.4654761904762,65.55575396825397,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,B3_head_scale,392005,scored,75.05952380952381,63.992261904761904,62.28392857142857,62.09464285714286,62.79027777777778,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,B3_adv_low,392005,scored,77.33630952380952,65.9095238095238,63.83571428571428,63.525595238095235,64.42361111111111,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,B3_adv_high,392005,scored,76.27559523809524,64.26726190476191,62.53154761904762,62.31428571428571,63.037698412698404,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,B4,392005,scored,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,B4_fixedk,392005,scored,77.60476190476192,65.43690476190476,63.247619047619054,62.993452380952384,63.892658730158736,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,B5,392005,scored,77.29285714285714,66.84761904761905,64.85833333333333,64.63035714285714,65.4454365079365,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,S2,392005,scored,76.13095238095238,65.06130952380951,63.43690476190476,63.144642857142856,63.88095238095238,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,S2_random,392005,scored,78.50952380952381,65.51130952380953,63.45892857142857,63.20476190476191,64.05833333333334,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,C3,392005,scored,77.48511904761905,61.60297619047619,59.79940476190476,59.54166666666667,60.31468253968254,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,M00,392005,scored,78.46190476190476,63.49285714285714,61.975,62.04642857142857,62.5047619047619,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,M01,392005,scored,76.8,62.75654761904762,60.77678571428572,60.5845238095238,61.37261904761905,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,M02,392005,scored,78.7642857142857,62.645833333333336,60.87261904761905,60.68333333333334,61.400595238095235,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,M03,392005,scored,79.13095238095238,64.05952380952381,61.83988095238095,61.75595238095239,62.55178571428572,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,M04,392005,scored,79.27380952380952,60.25297619047619,57.445238095238096,57.50714285714286,58.4017857142857,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,M05,392005,scored,79.9422619047619,61.72380952380953,59.904761904761905,59.90357142857143,60.51071428571428,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,M06,392005,scored,78.79464285714286,59.47083333333333,56.735119047619044,56.980357142857144,57.72876984126984,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,M07,392005,scored,79.70238095238096,60.12499999999999,57.17142857142857,57.01309523809523,58.1031746031746,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,M08,392005,scored,78.19285714285714,60.6547619047619,58.46666666666667,58.67380952380953,59.26507936507935,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,M09,392005,scored,78.16190476190476,69.59821428571429,67.6327380952381,67.74702380952381,68.32599206349207,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
