run,row,inherited_target_contact,scene,tx,precision,recall,f1
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,clean,3,53.33275822406257,66.23928571428571,59.089460940486816
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,clean,4,96.1809979682496,99.75,97.93299321516858
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,clean,5,84.69806649744602,96.52857142857142,90.22717030261555
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_clear_weak,0,81.6428270123097,76.03571428571428,78.73957505039111
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_clear_weak,1,45.82046241692409,34.964285714285715,39.66292590041729
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_clear_weak,2,92.25686117772449,61.828571428571436,74.03827648882711
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_clear_weak,3,42.19049021051082,61.41428571428571,50.01890689083452
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_clear_weak,4,81.83217163030687,96.85714285714285,88.71297492680853
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_clear_weak,5,84.88509661922346,84.56071428571428,84.72259495822375
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_low_elev_weak,0,77.54314344034144,74.62142857142857,76.05423605423606
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_low_elev_weak,1,43.47447130602321,33.846428571428575,38.0610052410691
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_low_elev_weak,2,91.21468458008515,58.92142857142857,71.59502679714453
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_low_elev_weak,3,40.56824985032927,58.08214285714286,47.77053225237927
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_low_elev_weak,4,81.47466003622188,94.79285714285714,87.63061888175379
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_low_elev_weak,5,84.08293572831883,85.59642857142858,84.83293218179244
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_rain_weak,0,76.50999420625723,75.46071428571427,75.98173187571922
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_rain_weak,1,43.70742857142857,34.14642857142857,38.33984962406015
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_rain_weak,2,90.66388904117099,59.06428571428572,71.52959494820614
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_rain_weak,3,40.54497029297276,56.54285714285714,47.225868034840715
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_rain_weak,4,81.92226760737715,94.55,87.78433583128856
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,False,leo_rain_weak,5,83.74273456960975,86.44642857142857,85.07310558132995
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,clean,0,88.26650341801857,92.68928571428572,90.42384544361794
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,clean,1,59.67795093930977,45.267857142857146,51.48358008895387
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,clean,2,95.40714544795067,75.15357142857142,84.07783282723351
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,clean,3,52.498680518903306,67.49642857142857,59.0602978171534
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,clean,4,93.06805305605546,99.73571428571428,96.28659104230597
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,clean,5,87.9851179301635,92.06071428571428,89.97678761540743
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_clear_weak,0,84.23323521109722,74.60357142857143,79.12649860792817
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_clear_weak,1,46.956113588359536,35.72857142857143,40.580062873947874
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_clear_weak,2,91.97422963591869,65.77142857142857,76.69658288736647
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_clear_weak,3,41.93611219322166,61.51428571428571,49.872596710678714
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_clear_weak,4,80.38271860142339,97.21428571428572,88.00090522606403
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_clear_weak,5,85.13252654243077,81.90357142857142,83.4868397102188
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_low_elev_weak,0,79.71189881324172,72.925,76.16756192181438
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_low_elev_weak,1,44.36866445555192,33.92142857142857,38.447993199344225
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_low_elev_weak,2,90.55093555093555,62.221428571428575,73.75952582557154
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_low_elev_weak,3,40.25282767797738,58.339285714285715,47.63710065470028
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_low_elev_weak,4,79.85836034089544,95.04285714285714,86.79146826691017
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_low_elev_weak,5,84.2519402127048,83.74642857142857,83.99842384295745
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_rain_weak,0,78.39057973740641,74.41785714285714,76.35257690405086
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_rain_weak,1,45.27750271136889,34.292857142857144,39.026967707846445
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_rain_weak,2,90.402556569249,62.63928571428572,74.00265817176853
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_rain_weak,3,40.46876979602179,57.03928571428571,47.34603127547617
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_rain_weak,4,80.13934129569309,94.89642857142857,86.89580744325987
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,False,leo_rain_weak,5,83.85952465413267,84.42857142857143,84.14308595835558
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,clean,0,84.6594958854403,93.325,88.78129990147113
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,clean,1,60.25143642881697,43.81785714285714,50.737133759278784
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,clean,2,96.22730935115408,72.51071428571429,82.70229536243102
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,clean,3,51.756976840478096,66.96428571428571,58.386659815965245
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,clean,4,94.85673546985333,99.78928571428571,97.26051239209134
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,clean,5,87.92557270999366,94.17142857142858,90.94138543516874
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_clear_weak,0,81.62562562562563,72.80714285714286,76.96460594620103
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_clear_weak,1,45.57522123893805,34.94642857142857,39.559328886193654
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_clear_weak,2,91.56381815341354,62.79642857142858,74.49950215028706
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_clear_weak,3,42.11450307227153,61.68571428571429,50.055062887613744
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_clear_weak,4,79.98071134231523,97.73928571428571,87.97274056929778
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_clear_weak,5,86.03030638203738,83.33571428571429,84.66157502313008
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_low_elev_weak,0,77.53589445091191,71.3607142857143,74.32025292914265
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_low_elev_weak,1,43.316605839416056,33.91071428571429,38.04086538461539
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_low_elev_weak,2,90.34051049592574,59.78928571428571,71.9563301884765
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_low_elev_weak,3,40.597931000346485,58.58571428571429,47.96070520129813
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_low_elev_weak,4,79.33293803735548,95.56785714285714,86.6969058804471
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_low_elev_weak,5,85.30911984950981,84.22142857142858,84.76178495048792
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_rain_weak,0,76.00104489308505,72.73571428571428,74.33253645272552
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_rain_weak,1,43.80307915890821,34.44642857142857,38.56534516883584
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_rain_weak,2,90.48210333099391,59.857142857142854,72.05038368118994
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_rain_weak,3,40.83926468329152,56.96785714285715,47.57374213367533
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_rain_weak,4,79.73118279569893,95.33571428571429,86.83799609629148
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,False,leo_rain_weak,5,84.90914909504676,85.28214285714286,85.09523724676158
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,clean,0,85.18919984233347,92.625,88.7516254876463
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,clean,1,62.25850340136054,40.85714285714286,49.33692722371968
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,clean,2,96.79961089494164,71.07857142857142,81.9686985172982
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,clean,3,50.8800292039321,69.6892857142857,58.81750086660337
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,clean,4,94.2039742248912,99.725,96.8858971912354
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,clean,5,87.32573704658984,95.525,91.2415357587542
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_clear_weak,0,73.05293393516618,63.582142857142856,67.9893068550697
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_clear_weak,1,47.20079347586511,30.592857142857145,37.12403571119008
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_clear_weak,2,89.64374963677572,55.089285714285715,68.2416439931869
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_clear_weak,3,38.030407595624986,64.94642857142857,47.97077172665761
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_clear_weak,4,80.16650342801175,93.54285714285714,86.33966244725738
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_clear_weak,5,85.316346361477,84.66428571428571,84.98906535689959
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_low_elev_weak,0,70.04748190238966,64.27857142857142,67.03914776325102
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_low_elev_weak,1,44.93307839388145,30.214285714285715,36.13222858119074
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_low_elev_weak,2,87.78941070894406,52.40714285714285,65.63345633456335
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_low_elev_weak,3,36.99589103637194,60.775,45.99375650364204
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_low_elev_weak,4,78.74900006153467,91.41071428571429,84.60877326369376
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_low_elev_weak,5,84.35465609963204,85.15,84.75046210720888
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_rain_weak,0,68.56621072639857,65.70357142857142,67.10437526216921
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_rain_weak,1,45.49101328470956,31.185714285714283,37.00391990676978
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_rain_weak,2,87.52249550089982,52.107142857142854,65.32348332214013
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_rain_weak,3,37.00620417371687,58.58214285714286,45.359142758382305
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_rain_weak,4,78.76390605686032,91.02857142857142,84.45328031809144
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,False,leo_rain_weak,5,84.15388378350048,86.0142857142857,85.07391511683358
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,clean,0,87.35604357599863,90.21071428571429,88.76043222349116
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,clean,1,63.4236928419834,46.96071428571428,53.964540753508984
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,clean,2,97.04894541220725,77.4,86.11789950527508
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,clean,3,51.91646259252125,67.38571428571429,58.648182397463586
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,clean,4,90.33488492371347,99.80714285714286,94.83507533595765
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,clean,5,88.28236440176738,90.625,89.438344817863
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_clear_weak,0,82.806903288831,72.65714285714286,77.40070004565514
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_clear_weak,1,47.5122145777246,34.035714285714285,39.66041033750884
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_clear_weak,2,90.47570174988454,62.96785714285714,74.25611219912818
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_clear_weak,3,41.222713553730614,62.925,49.81269702152924
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_clear_weak,4,77.5235531628533,94.62857142857143,85.22628582456817
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_clear_weak,5,85.59403737763274,82.43928571428572,83.98704700916898
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_low_elev_weak,0,78.2754453670136,71.71428571428572,74.85135966301978
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_low_elev_weak,1,44.21366435343564,32.31071428571429,37.33646981139862
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_low_elev_weak,2,89.92353904969961,58.80357142857143,71.1077521053768
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_low_elev_weak,3,39.61111773827985,59.29642857142857,47.49481513266109
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_low_elev_weak,4,76.36374289564657,93.09285714285714,83.90253323462194
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_low_elev_weak,5,85.02143428031678,83.58214285714286,84.29564528329071
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_rain_weak,0,76.8772754854369,72.39642857142857,74.5695997645674
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_rain_weak,1,44.586908319676084,33.035714285714285,37.95183194518524
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_rain_weak,2,89.87176700717235,59.07142857142858,71.28695802086027
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_rain_weak,3,39.67275139424613,57.67142857142857,47.008136471478686
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_rain_weak,4,76.6065853802203,92.89642857142857,83.96875100881299
a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,False,leo_rain_weak,5,84.72596585804133,84.19642857142857,84.46036721898791
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,clean,0,86.80105591552676,90.425,88.57597649075548
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,clean,1,59.511788892937076,40.83571428571429,48.4358121703768
