row,component,configured,scheduled_start_epoch,status,observed_records,nonzero_loss_records,gradient_probes,nonzero_gradient_probes
F-M07,daot_fingerprint,True,21,NONZERO_LOSS_GRADIENT_UNPROVEN,39294,14,40,0
F-M07,rc4_hard,True,21,NONZERO_GRADIENT_OBSERVED,39294,5968,40,6
F-M07,rc4_partial_set,True,21,ENABLED_NO_NONZERO_EVIDENCE,39294,0,40,0
F-M07,rc4_partial_conditional,True,21,ENABLED_NO_NONZERO_EVIDENCE,39294,0,40,0
F-M07,rc4_adv,True,1,NONZERO_GRADIENT_OBSERVED,39294,39294,40,40
F-M07,rc4_negative,True,21,NONZERO_GRADIENT_OBSERVED,39294,32741,40,35
F-M07,rc4_domain,True,1,NONZERO_GRADIENT_OBSERVED,39294,39294,40,40
F-M07,rc4_self,True,1,NONZERO_GRADIENT_OBSERVED,39294,39294,40,40
F-M07,rc4_satellite,True,21,NONZERO_GRADIENT_OBSERVED,39294,6823,40,6
F-M07,rc4_anchor,True,21,NONZERO_GRADIENT_OBSERVED,39294,34854,40,35
F-M07,ux_normalized,True,1,NONZERO_GRADIENT_OBSERVED,39294,39294,40,40
F-M12,daot_orbit_z,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M12,daot_orbit_logit,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M12,daot_orbit_proto,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M12,daot_orbit_relation,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M12,daot_tangent,True,61,NONZERO_GRADIENT_OBSERVED,44400,31080,45,31
F-M12,daot_nuisance,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M12,daot_fingerprint,True,21,NONZERO_LOSS_GRADIENT_UNPROVEN,44400,1,45,0
F-M12,rc4_hard,True,21,NONZERO_GRADIENT_OBSERVED,44400,8781,45,11
F-M12,rc4_partial_set,True,21,NONZERO_GRADIENT_OBSERVED,44400,31877,45,36
F-M12,rc4_partial_conditional,True,21,NONZERO_GRADIENT_OBSERVED,44400,35520,45,36
F-M12,rc4_adv,True,1,NONZERO_GRADIENT_OBSERVED,44400,44400,45,45
F-M12,rc4_negative,True,21,NONZERO_GRADIENT_OBSERVED,44400,24992,45,26
F-M12,rc4_domain,True,1,NONZERO_GRADIENT_OBSERVED,44400,44400,45,45
F-M12,rc4_self,True,1,NONZERO_GRADIENT_OBSERVED,44400,44400,45,45
F-M12,rc4_satellite,True,21,NONZERO_GRADIENT_OBSERVED,44400,9925,45,11
F-M12,rc4_anchor,True,21,NONZERO_GRADIENT_OBSERVED,44400,39960,45,40
F-M12,x,True,1,NONZERO_GRADIENT_OBSERVED,44400,44400,45,45
F-M12,ux_normalized,True,1,NONZERO_GRADIENT_OBSERVED,44400,44400,45,45
F-M13,daot_orbit_z,True,21,NONZERO_GRADIENT_OBSERVED,36186,31746,37,32
F-M13,daot_orbit_logit,True,21,NONZERO_GRADIENT_OBSERVED,36186,31746,37,32
F-M13,daot_orbit_proto,True,21,NONZERO_GRADIENT_OBSERVED,36186,31746,37,32
F-M13,daot_orbit_relation,True,21,NONZERO_GRADIENT_OBSERVED,36186,31746,37,32
F-M13,daot_tangent,True,61,NONZERO_GRADIENT_OBSERVED,36186,22866,37,23
F-M13,daot_nuisance,True,21,NONZERO_GRADIENT_OBSERVED,36186,31746,37,32
F-M13,daot_fingerprint,True,21,NONZERO_LOSS_GRADIENT_UNPROVEN,36186,7,37,0
F-M13,rc4_hard,True,21,NONZERO_GRADIENT_OBSERVED,36186,6522,37,7
F-M13,rc4_partial_set,True,21,NONZERO_GRADIENT_OBSERVED,36186,23914,37,28
F-M13,rc4_partial_conditional,True,21,NONZERO_GRADIENT_OBSERVED,36186,26634,37,28
F-M13,rc4_adv,True,1,NONZERO_GRADIENT_OBSERVED,36186,36186,37,37
F-M13,rc4_negative,True,21,NONZERO_GRADIENT_OBSERVED,36186,22447,37,24
F-M13,rc4_domain,True,1,NONZERO_GRADIENT_OBSERVED,36186,36186,37,37
F-M13,rc4_self,True,1,NONZERO_GRADIENT_OBSERVED,36186,36186,37,37
F-M13,rc4_satellite,True,21,NONZERO_GRADIENT_OBSERVED,36186,7156,37,7
F-M13,rc4_anchor,True,21,NONZERO_GRADIENT_OBSERVED,36186,31746,37,32
F-M13,x,True,1,NONZERO_GRADIENT_OBSERVED,36186,36186,37,37
F-M13,ux_normalized,True,1,NONZERO_GRADIENT_OBSERVED,36186,36186,37,37
