run,row,inherited_target_contact,scene,true_tx,predicted_tx,count
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,3,1,6876
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,3,2,507
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,3,3,18863
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,3,4,30
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,3,5,38
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,4,0,6
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,4,1,15
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,4,2,26
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,4,3,9
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,4,4,27941
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,4,5,3
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,5,0,22
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,5,1,55
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,5,2,236
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,5,3,11
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,5,4,951
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,clean,5,5,26725
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,0,0,20885
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,0,1,2409
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,0,2,195
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,0,3,4445
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,0,4,54
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,0,5,12
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,1,0,624
