receiver,seed,k_shot,scenario,correct,total,accuracy
7-14,713101,10,leo_clear_weak,110,120,0.9166666666666666
7-14,713101,10,leo_low_elev_weak,111,120,0.925
7-14,713101,10,leo_rain_weak,102,120,0.85
7-14,713101,2,leo_clear_weak,110,120,0.9166666666666666
7-14,713101,2,leo_low_elev_weak,111,120,0.925
7-14,713101,2,leo_rain_weak,102,120,0.85
7-14,713101,20,leo_clear_weak,110,120,0.9166666666666666
7-14,713101,20,leo_low_elev_weak,111,120,0.925
7-14,713101,20,leo_rain_weak,102,120,0.85
7-14,713101,5,leo_clear_weak,110,120,0.9166666666666666
7-14,713101,5,leo_low_elev_weak,111,120,0.925
7-14,713101,5,leo_rain_weak,102,120,0.85
7-14,713102,1,leo_clear_weak,107,120,0.8916666666666667
7-14,713102,1,leo_low_elev_weak,107,120,0.8916666666666667
7-14,713102,1,leo_rain_weak,100,120,0.8333333333333334
7-14,713102,10,leo_clear_weak,107,120,0.8916666666666667
7-14,713102,10,leo_low_elev_weak,107,120,0.8916666666666667
7-14,713102,10,leo_rain_weak,100,120,0.8333333333333334
7-14,713102,2,leo_clear_weak,107,120,0.8916666666666667
7-14,713102,2,leo_low_elev_weak,107,120,0.8916666666666667
7-14,713102,2,leo_rain_weak,100,120,0.8333333333333334
7-14,713102,20,leo_clear_weak,107,120,0.8916666666666667
7-14,713102,20,leo_low_elev_weak,107,120,0.8916666666666667
7-14,713102,20,leo_rain_weak,100,120,0.8333333333333334
7-14,713102,5,leo_clear_weak,107,120,0.8916666666666667
7-14,713102,5,leo_low_elev_weak,107,120,0.8916666666666667
7-14,713102,5,leo_rain_weak,100,120,0.8333333333333334
7-14,713103,1,leo_clear_weak,111,120,0.925
7-14,713103,1,leo_low_elev_weak,109,120,0.9083333333333333
7-14,713103,1,leo_rain_weak,105,120,0.875
7-14,713103,10,leo_clear_weak,111,120,0.925
7-14,713103,10,leo_low_elev_weak,109,120,0.9083333333333333
7-14,713103,10,leo_rain_weak,105,120,0.875
7-14,713103,2,leo_clear_weak,111,120,0.925
7-14,713103,2,leo_low_elev_weak,109,120,0.9083333333333333
7-14,713103,2,leo_rain_weak,105,120,0.875
7-14,713103,20,leo_clear_weak,111,120,0.925
7-14,713103,20,leo_low_elev_weak,109,120,0.9083333333333333
7-14,713103,20,leo_rain_weak,105,120,0.875
7-14,713103,5,leo_clear_weak,111,120,0.925
7-14,713103,5,leo_low_elev_weak,109,120,0.9083333333333333
7-14,713103,5,leo_rain_weak,105,120,0.875
7-14,713104,1,leo_clear_weak,109,120,0.9083333333333333
7-14,713104,1,leo_low_elev_weak,101,120,0.8416666666666667
7-14,713104,1,leo_rain_weak,103,120,0.8583333333333333
7-14,713104,10,leo_clear_weak,109,120,0.9083333333333333
7-14,713104,10,leo_low_elev_weak,101,120,0.8416666666666667
7-14,713104,10,leo_rain_weak,103,120,0.8583333333333333
7-14,713104,2,leo_clear_weak,109,120,0.9083333333333333
7-14,713104,2,leo_low_elev_weak,101,120,0.8416666666666667
7-14,713104,2,leo_rain_weak,103,120,0.8583333333333333
7-14,713104,20,leo_clear_weak,109,120,0.9083333333333333
7-14,713104,20,leo_low_elev_weak,101,120,0.8416666666666667
7-14,713104,20,leo_rain_weak,103,120,0.8583333333333333
7-14,713104,5,leo_clear_weak,109,120,0.9083333333333333
7-14,713104,5,leo_low_elev_weak,101,120,0.8416666666666667
7-14,713104,5,leo_rain_weak,103,120,0.8583333333333333
7-14,713105,1,leo_clear_weak,111,120,0.925
7-14,713105,1,leo_low_elev_weak,103,120,0.8583333333333333
7-14,713105,1,leo_rain_weak,108,120,0.9
7-14,713105,10,leo_clear_weak,111,120,0.925
7-14,713105,10,leo_low_elev_weak,103,120,0.8583333333333333
7-14,713105,10,leo_rain_weak,108,120,0.9
7-14,713105,2,leo_clear_weak,111,120,0.925
7-14,713105,2,leo_low_elev_weak,103,120,0.8583333333333333
7-14,713105,2,leo_rain_weak,108,120,0.9
7-14,713105,20,leo_clear_weak,111,120,0.925
7-14,713105,20,leo_low_elev_weak,103,120,0.8583333333333333
7-14,713105,20,leo_rain_weak,108,120,0.9
7-14,713105,5,leo_clear_weak,111,120,0.925
7-14,713105,5,leo_low_elev_weak,103,120,0.8583333333333333
7-14,713105,5,leo_rain_weak,108,120,0.9
7-7,713101,1,leo_clear_weak,101,120,0.8416666666666667
7-7,713101,1,leo_low_elev_weak,94,120,0.7833333333333333
7-7,713101,1,leo_rain_weak,97,120,0.8083333333333333
7-7,713101,10,leo_clear_weak,101,120,0.8416666666666667
7-7,713101,10,leo_low_elev_weak,94,120,0.7833333333333333
7-7,713101,10,leo_rain_weak,97,120,0.8083333333333333
7-7,713101,2,leo_clear_weak,101,120,0.8416666666666667
7-7,713101,2,leo_low_elev_weak,94,120,0.7833333333333333
7-7,713101,2,leo_rain_weak,97,120,0.8083333333333333
7-7,713101,20,leo_clear_weak,101,120,0.8416666666666667
7-7,713101,20,leo_low_elev_weak,94,120,0.7833333333333333
7-7,713101,20,leo_rain_weak,97,120,0.8083333333333333
7-7,713101,5,leo_clear_weak,101,120,0.8416666666666667
