level,correct,total,accuracy,scenario,receiver,transmitter
scenario_receiver_transmitter,33,75,0.44,leo_clear_weak,3-19,14-10
scenario_receiver_transmitter,49,77,0.6363636363636364,leo_clear_weak,3-19,14-7
scenario_receiver_transmitter,65,69,0.9420289855072463,leo_clear_weak,3-19,20-15
scenario_receiver_transmitter,42,77,0.5454545454545454,leo_clear_weak,3-19,20-19
scenario_receiver_transmitter,46,77,0.5974025974025974,leo_clear_weak,3-19,6-15
scenario_receiver_transmitter,61,89,0.6853932584269663,leo_clear_weak,3-19,8-20
scenario_receiver_transmitter,68,74,0.918918918918919,leo_clear_weak,7-14,14-10
scenario_receiver_transmitter,49,64,0.765625,leo_clear_weak,7-14,14-7
scenario_receiver_transmitter,72,72,1.0,leo_clear_weak,7-14,20-15
scenario_receiver_transmitter,68,86,0.7906976744186046,leo_clear_weak,7-14,20-19
scenario_receiver_transmitter,81,81,1.0,leo_clear_weak,7-14,6-15
scenario_receiver_transmitter,74,74,1.0,leo_clear_weak,7-14,8-20
scenario_receiver_transmitter,59,82,0.7195121951219512,leo_clear_weak,7-7,14-10
scenario_receiver_transmitter,53,87,0.6091954022988506,leo_clear_weak,7-7,14-7
scenario_receiver_transmitter,81,89,0.9101123595505618,leo_clear_weak,7-7,20-15
scenario_receiver_transmitter,70,79,0.8860759493670886,leo_clear_weak,7-7,20-19
scenario_receiver_transmitter,82,84,0.9761904761904762,leo_clear_weak,7-7,6-15
