method,k_shot,new_class_count,cells,trainable_parameters_mean,trainable_parameters_max,persistent_state_bytes_mean,persistent_state_bytes_max,optimizer_steps_total_mean,optimizer_steps_total_max,adaptation_wall_seconds_total_mean,adaptation_wall_seconds_total_max,peak_cuda_memory_bytes_mean,peak_cuda_memory_bytes_max,support_backbone_forward_samples_mean,support_backbone_forward_samples_max,query_backbone_forward_samples_mean,query_backbone_forward_samples_max,query_view_count_mean,query_view_count_max
mopc_hr,5,20,25,20480.0,20480.0,95232.0,95232.0,60.0,60.0,1.2108389999344944,1.3550203503109515,173341696.0,173341696.0,390.0,390.0,1560.0,1560.0,1.0,1.0
mopc_hr,10,5,25,20480.0,20480.0,87552.0,87552.0,60.0,60.0,1.1214253309741615,1.2727880449965596,172845568.0,172845568.0,330.0,330.0,660.0,660.0,1.0,1.0
mopc_hr,10,10,25,20480.0,20480.0,90112.0,90112.0,60.0,60.0,1.1821752952598035,1.3028689650818706,173085696.0,173085696.0,480.0,480.0,960.0,960.0,1.0,1.0
mopc_hr,10,20,25,20480.0,20480.0,95232.0,95232.0,60.0,60.0,1.263661295492202,1.5015031597577035,173596672.0,173596672.0,780.0,780.0,1560.0,1560.0,1.0,1.0
mopc_hr,20,5,25,20480.0,20480.0,87552.0,87552.0,60.0,60.0,1.0924944486282766,1.2164274579845369,173061632.0,173061632.0,660.0,660.0,660.0,660.0,1.0,1.0
mopc_hr,20,10,25,20480.0,20480.0,90112.0,90112.0,60.0,60.0,1.189711940214038,1.374525748193264,173399552.0,173399552.0,960.0,960.0,960.0,960.0,1.0,1.0
mopc_hr,20,20,25,20480.0,20480.0,95232.0,95232.0,60.0,60.0,1.3208659940026701,1.4838874880224466,174108672.0,174108672.0,1560.0,1560.0,1560.0,1560.0,1.0,1.0
orthogonal_incremental,1,5,25,21120.0,21120.0,87552.0,87552.0,60.0,60.0,1.434112905524671,1.6192862619645894,172651008.0,172651008.0,33.0,33.0,660.0,660.0,1.0,1.0
orthogonal_incremental,1,10,25,21760.0,21760.0,90112.0,90112.0,60.0,60.0,1.6875845937617122,1.9847028092481196,172802560.0,172802560.0,48.0,48.0,960.0,960.0,1.0,1.0
orthogonal_incremental,1,20,25,23040.0,23040.0,95232.0,95232.0,60.0,60.0,1.9831861109100282,2.372248852159828,173136384.0,173136384.0,78.0,78.0,1560.0,1560.0,1.0,1.0
orthogonal_incremental,5,5,25,21120.0,21120.0,87552.0,87552.0,60.0,60.0,2.580845752116293,3.0275277555920184,172736512.0,172736512.0,165.0,165.0,660.0,660.0,1.0,1.0
orthogonal_incremental,5,10,25,21760.0,21760.0,90112.0,90112.0,60.0,60.0,2.990085098426789,3.241088859271258,172928512.0,172928512.0,240.0,240.0,960.0,960.0,1.0,1.0
orthogonal_incremental,5,20,25,23040.0,23040.0,95232.0,95232.0,60.0,60.0,3.987425111234188,4.239639740437269,173341696.0,173341696.0,390.0,390.0,1560.0,1560.0,1.0,1.0
orthogonal_incremental,10,5,25,21120.0,21120.0,87552.0,87552.0,60.0,60.0,3.857588036786765,4.4970333143137395,172845568.0,172845568.0,330.0,330.0,660.0,660.0,1.0,1.0
orthogonal_incremental,10,10,25,21760.0,21760.0,90112.0,90112.0,60.0,60.0,4.6930469608679415,5.225731639191508,173085696.0,173085696.0,480.0,480.0,960.0,960.0,1.0,1.0
orthogonal_incremental,10,20,25,23040.0,23040.0,95232.0,95232.0,60.0,60.0,6.561204714793712,7.034157786518335,173596672.0,173596672.0,780.0,780.0,1560.0,1560.0,1.0,1.0
orthogonal_incremental,20,5,25,21120.0,21120.0,87552.0,87552.0,60.0,60.0,6.342418635841459,7.034631898626685,173061632.0,173061632.0,660.0,660.0,660.0,660.0,1.0,1.0
orthogonal_incremental,20,10,25,21760.0,21760.0,90112.0,90112.0,60.0,60.0,7.995899991039186,9.205724084749818,173399552.0,173399552.0,960.0,960.0,960.0,960.0,1.0,1.0
orthogonal_incremental,20,20,25,23040.0,23040.0,95232.0,95232.0,60.0,60.0,11.272579551544041,11.933490933850408,174108672.0,174108672.0,1560.0,1560.0,1560.0,1560.0,1.0,1.0
