method,k_shot,new_class_count,scenario_rows,cells,old_acc_before_increment_mean,old_acc_before_increment_std,old_acc_after_increment_mean,old_acc_after_increment_std,seen_new_acc_mean,seen_new_acc_std,H_old_new_mean,H_old_new_std,candidate_average_forgetting_mean,candidate_average_forgetting_std,direct_adv3b02_old_acc_mean,direct_adv3b02_old_acc_std,identity_old_acc_after_increment_mean,identity_old_acc_after_increment_std,old_after_minus_direct_adv3b02_mean,old_after_minus_direct_adv3b02_std,old_after_minus_identity_mean,old_after_minus_identity_std,min_old_class_acc_mean,min_old_class_acc_std
mopc_hr,1,5,75,25,0.7297777777777777,0.16737169399458585,0.49822222222222223,0.15254199988329464,0.38839999999999997,0.12507107312777535,0.41189608250734805,0.09067540337851089,0.23155555555555557,0.10363123129040508,0.7717777777777778,0.11982930246143912,0.5335555555555556,0.16962362111305776,-0.27355555555555555,0.09650727600024599,-0.03533333333333333,0.05707110574635041,0.07466666666666667,0.11470929440207633
mopc_hr,1,10,75,25,0.7297777777777777,0.16737169399458585,0.3846666666666667,0.10996666161463058,0.2806,0.0792,0.31368241370669286,0.07132414472098596,0.3451111111111111,0.12966547652505325,0.7717777777777778,0.11982930246143912,0.45355555555555555,0.15129180373220227,-0.38711111111111113,0.11001930245906963,-0.06888888888888889,0.08418820773117607,0.027333333333333338,0.052467979653202663
mopc_hr,1,20,75,25,0.7297777777777777,0.16737169399458585,0.29177777777777775,0.10704354715560542,0.19166666666666668,0.04869177434525146,0.22285822326027693,0.057644571118295636,0.438,0.15308700019802343,0.7717777777777778,0.11982930246143912,0.4047777777777778,0.15229827783694325,-0.48,0.12788884062167252,-0.11299999999999999,0.116747908221407,0.009333333333333334,0.021123972690339814
mopc_hr,5,5,75,25,0.7937777777777778,0.13054085023565196,0.5007777777777778,0.11073971261754874,0.5108,0.11320494688837587,0.49191617922088765,0.07403625630494458,0.29300000000000004,0.11555854696982727,0.7717777777777778,0.11982930246143912,0.6001111111111112,0.14185603900599064,-0.27099999999999996,0.12110112089275425,-0.09933333333333333,0.11875714403461907,0.03666666666666667,0.06649979114420002
mopc_hr,5,10,75,25,0.7937777777777778,0.13054085023565196,0.4103333333333333,0.10679540841842994,0.3579333333333333,0.07888850078151793,0.37130501937470434,0.07137723847437215,0.3834444444444444,0.14206475657857015,0.7717777777777778,0.11982930246143912,0.5381111111111111,0.13862534997005774,-0.36144444444444446,0.14617197718297528,-0.1277777777777778,0.1436000962893862,0.029333333333333336,0.05234076380370806
mopc_hr,5,20,75,25,0.7937777777777778,0.13054085023565196,0.37455555555555553,0.1218673636417382,0.2427,0.053101726274513275,0.28666304318411173,0.06486860883731871,0.4192222222222222,0.12673224423324578,0.7717777777777778,0.11982930246143912,0.5064444444444445,0.15172204931028838,-0.39722222222222225,0.13681789284471946,-0.1318888888888889,0.13316220499641096,0.014666666666666668,0.03721409529854097
mopc_hr,10,5,75,25,0.8142222222222223,0.11115365852039749,0.5087777777777778,0.10795140653479002,0.5267999999999999,0.11384386969295565,0.503682731379982,0.07142574562920252,0.3054444444444444,0.10550138961111624,0.7717777777777778,0.11982930246143912,0.6191111111111112,0.14509111653979864,-0.263,0.11648589169063764,-0.11033333333333334,0.12129578173484298,0.024,0.03946306289852998
mopc_hr,10,10,75,25,0.8142222222222223,0.11115365852039749,0.4073333333333333,0.09948906509799997,0.37333333333333335,0.08423512067751524,0.3782449078596661,0.06922305564957874,0.40688888888888886,0.1255533923117478,0.7717777777777778,0.11982930246143912,0.5598888888888889,0.14089458453261178,-0.3644444444444444,0.14179623704282907,-0.15255555555555556,0.14727131257027906,0.013333333333333334,0.028674417556808756
mopc_hr,10,20,75,25,0.8142222222222223,0.11115365852039749,0.37477777777777777,0.11739434440706857,0.25656666666666667,0.054805372810417856,0.2966215052187004,0.06799071969942583,0.43944444444444447,0.11568102163030934,0.7717777777777778,0.11982930246143912,0.5335555555555556,0.15384560161344382,-0.39699999999999996,0.1323969900071862,-0.15877777777777777,0.13597312733781147,0.008666666666666666,0.02217105219775452
mopc_hr,20,5,75,25,0.8185555555555556,0.10589629215113258,0.5261111111111112,0.09809607283766685,0.5534666666666667,0.11422192823135534,0.5278894815121802,0.07033605738279518,0.29244444444444445,0.10003863451218098,0.7717777777777778,0.11982930246143912,0.6315555555555555,0.14148873357407318,-0.24566666666666667,0.11408541309686125,-0.10544444444444444,0.11703507968358552,0.022666666666666665,0.04711215931747934
mopc_hr,20,10,75,25,0.8185555555555556,0.10589629215113258,0.43644444444444447,0.09157847609537198,0.38853333333333334,0.06892881996829935,0.40472517163567306,0.06367621351476227,0.38211111111111107,0.10490465983130104,0.7717777777777778,0.11982930246143912,0.5727777777777778,0.13743236271340042,-0.3353333333333333,0.12452011588197008,-0.13633333333333333,0.12812493902437574,0.014666666666666668,0.033439829877291875
mopc_hr,20,20,75,25,0.8185555555555556,0.10589629215113258,0.40622222222222226,0.12391076040122535,0.2686,0.04985686178116976,0.3162286597982114,0.06683158824482198,0.41233333333333333,0.10207441004083828,0.7717777777777778,0.11982930246143912,0.5551111111111111,0.14532144022013516,-0.3655555555555556,0.12125373864670098,-0.14888888888888888,0.11246673033434718,0.01,0.029439202887759492
orthogonal_incremental,1,5,75,25,0.41633333333333333,0.14732453467945697,0.14444444444444446,0.08977681517635763,0.5462666666666667,0.13408229645341782,0.21151792700681887,0.11456966095094374,0.2718888888888889,0.1335953906205664,0.7717777777777778,0.11982930246143912,0.5335555555555556,0.16962362111305776,-0.6273333333333333,0.1332955502021868,-0.38911111111111113,0.1739144816097275,0.0,0.0
orthogonal_incremental,1,10,75,25,0.42155555555555557,0.1564720619562467,0.06,0.077650689820694,0.35733333333333334,0.08689585081515049,0.08554407162240399,0.09921630144164933,0.3615555555555556,0.14063936895039536,0.7717777777777778,0.11982930246143912,0.45355555555555555,0.15129180373220227,-0.7117777777777777,0.14148088035551956,-0.39355555555555555,0.15793560181601757,0.0,0.0
orthogonal_incremental,1,20,75,25,0.45111111111111113,0.1510906848939682,0.030555555555555555,0.05778846055087041,0.2235666666666667,0.0500585878968057,0.03937048836994791,0.06790318432473708,0.42055555555555557,0.14347107937589357,0.7717777777777778,0.11982930246143912,0.4047777777777778,0.15229827783694325,-0.7412222222222222,0.11972880879020298,-0.37422222222222223,0.14284913910559585,0.0,0.0
orthogonal_incremental,5,5,75,25,0.44177777777777777,0.14790821311263563,0.06688888888888889,0.07959356633842421,0.6729333333333333,0.11364005553598705,0.1074626222378604,0.11733855585132551,0.3748888888888889,0.1821552722538564,0.7717777777777778,0.11982930246143912,0.6001111111111112,0.14185603900599064,-0.7048888888888889,0.15407485754786554,-0.5332222222222223,0.17725527382497094,0.0,0.0
orthogonal_incremental,5,10,75,25,0.461,0.1449211790876273,0.025,0.049814470603244204,0.44906666666666667,0.07469356658299889,0.03882323349608175,0.07371450334403785,0.43600000000000005,0.14806254934492558,0.7717777777777778,0.11982930246143912,0.5381111111111111,0.13862534997005774,-0.7467777777777778,0.13529729496442772,-0.5131111111111111,0.15082595643920998,0.0,0.0
orthogonal_incremental,5,20,75,25,0.5104444444444444,0.14171628760604585,0.008888888888888889,0.02294652936451487,0.2986,0.05430352965814776,0.01453127905233345,0.03448837166084914,0.5015555555555555,0.1407959735675687,0.7717777777777778,0.11982930246143912,0.5064444444444445,0.15172204931028838,-0.762888888888889,0.1213831806438185,-0.49755555555555553,0.152423467944562,0.0,0.0
orthogonal_incremental,10,5,75,25,0.43377777777777776,0.14736508791366587,0.04655555555555556,0.059769516157723704,0.7065333333333333,0.10700147454851057,0.07941499619835153,0.09730709895335331,0.38722222222222225,0.1534440019303298,0.7717777777777778,0.11982930246143912,0.6191111111111112,0.14509111653979864,-0.7252222222222222,0.14502856253378946,-0.5725555555555556,0.16957339355709414,0.0,0.0
orthogonal_incremental,10,10,75,25,0.4621111111111111,0.13958465726293087,0.017666666666666667,0.04134229293574783,0.48033333333333333,0.0799930552541212,0.02857438283297227,0.0641275421290218,0.4444444444444445,0.14086592872850132,0.7717777777777778,0.11982930246143912,0.5598888888888889,0.14089458453261178,-0.7541111111111112,0.13430461047581996,-0.5422222222222222,0.15759966472358897,0.0,0.0
orthogonal_incremental,10,20,75,25,0.5246666666666667,0.13865384556112711,0.0064444444444444445,0.022794302948622495,0.3243666666666667,0.06076607240521273,0.010060296650595909,0.034045533828083153,0.5182222222222223,0.13926854775957753,0.7717777777777778,0.11982930246143912,0.5335555555555556,0.15384560161344382,-0.7653333333333333,0.12169360432386467,-0.5271111111111111,0.15664948684370167,0.0,0.0
orthogonal_incremental,20,5,75,25,0.4086666666666666,0.14496768477708966,0.043222222222222224,0.05598765295983229,0.7241333333333334,0.09956027766578843,0.07413102935226638,0.09296596914703441,0.3654444444444444,0.14853415452928123,0.7717777777777778,0.11982930246143912,0.6315555555555555,0.14148873357407318,-0.7285555555555555,0.13681004222761203,-0.5883333333333334,0.1565188427894487,0.0,0.0
orthogonal_incremental,20,10,75,25,0.45877777777777773,0.14484278407558118,0.011888888888888888,0.03892474537449328,0.49833333333333335,0.07267431152446892,0.018978135216686034,0.060520026840535174,0.4468888888888889,0.14192312299095652,0.7717777777777778,0.11982930246143912,0.5727777777777778,0.13743236271340042,-0.759888888888889,0.1289465388311885,-0.5608888888888889,0.14654018114960152,0.0,0.0
orthogonal_incremental,20,20,75,25,0.48833333333333334,0.14259499757471625,0.004,0.019165942015286735,0.3415,0.058368084886634176,0.006094327481082478,0.027658372302982754,0.4843333333333334,0.14334599427285744,0.7717777777777778,0.11982930246143912,0.5551111111111111,0.14532144022013516,-0.7677777777777778,0.12103208430866075,-0.5511111111111111,0.14809489783727223,0.0,0.0
