method_label,method,cell_id,receiver,seed,new_class_count,k_shot,scenario,no_leo_old_acc_before_increment,leo_old_acc_before_increment,delta_old_acc_before_increment,no_leo_old_acc_after_increment,leo_old_acc_after_increment,delta_old_acc_after_increment,no_leo_seen_new_acc,leo_seen_new_acc,delta_seen_new_acc,no_leo_H_old_new,leo_H_old_new,delta_H_old_new,no_leo_candidate_average_forgetting,leo_candidate_average_forgetting,delta_candidate_average_forgetting,no_leo_min_old_class_acc,leo_min_old_class_acc,delta_min_old_class_acc
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_10,20-1,713102,20,10,leo_low_elev_weak,0.825,0.825,0.0,0.2833333333333333,0.16666666666666666,0.11666666666666667,0.1,0.0575,0.0425,0.14782608695652177,0.08550185873605948,0.0623242282204623,0.5416666666666666,0.6583333333333333,-0.1166666666666667,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_10,20-1,713102,20,10,leo_rain_weak,0.825,0.825,0.0,0.2,0.0,0.2,0.12,0.0575,0.06249999999999999,0.15,0.0,0.15,0.6250000000000001,0.825,-0.19999999999999984,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_20,20-1,713102,20,20,leo_clear_weak,0.825,0.825,0.0,0.825,0.16666666666666666,0.6583333333333333,0.0,0.07,-0.07,0.0,0.09859154929577466,-0.09859154929577466,0.0,0.6583333333333333,-0.6583333333333333,0.4,0.0,0.4
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_20,20-1,713102,20,20,leo_low_elev_weak,0.825,0.825,0.0,0.5416666666666666,0.65,-0.10833333333333339,0.0175,0.0425,-0.025,0.03390461997019375,0.07978339350180506,-0.045878773531611315,0.2833333333333334,0.17499999999999993,0.10833333333333345,0.0,0.1,-0.1
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_20,20-1,713102,20,20,leo_rain_weak,0.825,0.825,0.0,0.7833333333333333,0.6083333333333333,0.17500000000000004,0.0,0.0275,-0.0275,0.0,0.05262123197903015,-0.05262123197903015,0.041666666666666664,0.21666666666666667,-0.17500000000000002,0.25,0.05,0.2
CSIL,csil_official_repo,rx_20_1__seed_713103__new_1__csil_official_repo__k_1,20-1,713103,1,1,leo_clear_weak,0.8083333333333333,0.8083333333333333,0.0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713103__new_1__csil_official_repo__k_1,20-1,713103,1,1,leo_low_elev_weak,0.8083333333333333,0.8083333333333333,0.0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713103__new_1__csil_official_repo__k_1,20-1,713103,1,1,leo_rain_weak,0.8083333333333333,0.8083333333333333,0.0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713103__new_1__csil_official_repo__k_5,20-1,713103,1,5,leo_clear_weak,0.8083333333333333,0.8083333333333333,0.0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713103__new_1__csil_official_repo__k_5,20-1,713103,1,5,leo_low_elev_weak,0.8083333333333333,0.8083333333333333,0.0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713103__new_1__csil_official_repo__k_5,20-1,713103,1,5,leo_rain_weak,0.8083333333333333,0.8083333333333333,0.0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713103__new_1__csil_official_repo__k_10,20-1,713103,1,10,leo_clear_weak,0.8083333333333333,0.8083333333333333,0.0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713103__new_1__csil_official_repo__k_10,20-1,713103,1,10,leo_low_elev_weak,0.8083333333333333,0.8083333333333333,0.0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713103__new_1__csil_official_repo__k_10,20-1,713103,1,10,leo_rain_weak,0.8083333333333333,0.8083333333333333,0.0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713103__new_1__csil_official_repo__k_20,20-1,713103,1,20,leo_clear_weak,0.8083333333333333,0.8083333333333333,0.0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713103__new_1__csil_official_repo__k_20,20-1,713103,1,20,leo_low_elev_weak,0.8083333333333333,0.8083333333333333,0.0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713103__new_1__csil_official_repo__k_20,20-1,713103,1,20,leo_rain_weak,0.8083333333333333,0.8083333333333333,0.0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713103__new_3__csil_official_repo__k_1,20-1,713103,3,1,leo_clear_weak,0.8083333333333333,0.8083333333333333,0.0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713103__new_3__csil_official_repo__k_1,20-1,713103,3,1,leo_low_elev_weak,0.8083333333333333,0.8083333333333333,0.0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713103__new_3__csil_official_repo__k_1,20-1,713103,3,1,leo_rain_weak,0.8083333333333333,0.8083333333333333,0.0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713103__new_3__csil_official_repo__k_5,20-1,713103,3,5,leo_clear_weak,0.8083333333333333,0.8083333333333333,0.0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
