run_id,title,local_report,sha256,note
phase1_adv3b02_daot_stn_a1_a7_manysig_s392005_20260902_r3,ADV3B02-DAOT-STN-V1 ManySig A1～A7 r3预登记报告,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_daot_stn_a1_a7_manysig_s392005_20260902_r3\report.md,0692943557bccc6e8cc29a40defa720cf31eceaa5166e5bcf92135495f4d2946,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_daot_stn_rx_v2_e1_r1_manysig_s392005_20260903_r1,ADV3B02-DAOT-STN-RX-V2 E1/R1实验报告,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_daot_stn_rx_v2_e1_r1_manysig_s392005_20260903_r1\report.md,b7ac2fb5aef2205a9baf8f85d66af4181630bcb9ffe260b0f65aff7c759d2ca7,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_daot_stn_rx_v2_p1_p2_manysig_s392005_20260903_r1,ADV3B02-DAOT-STN-RX-V2 P1/P2发布记录,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_daot_stn_rx_v2_p1_p2_manysig_s392005_20260903_r1\report.md,b68219e3b756fbe947a8692eb07de75155273874d199a3bf880daf4f82fea5fb,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_daot_stn_rx_v2_p1_p5_manysig_s392005_20260903_r1,ADV3B02-DAOT-STN-RX-V2 P1～P5实验报告,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_daot_stn_rx_v2_p1_p5_manysig_s392005_20260903_r1\report.md,e6593d8fa07bc56716cb1ea2dc52c9c79f50a28e1cbdfb6ea8a28cb6beb39dcf,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_ecrs_v1_manysig_src5_s392005_e200_20260901_r1,ADV3B02-ECRS-V1 ManySig八实验预登记与运行报告,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_ecrs_v1_manysig_src5_s392005_e200_20260901_r1\report.md,a7601bf30264ed88558bcb8ed24fee960ba72c98f719ded203347d469249440a,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_ecrs_v1_manysig_src5_s392005_e200_direct8_20260902_r2,ADV3B02-ECRS-V1 ManySig八卡直训实验报告,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_ecrs_v1_manysig_src5_s392005_e200_direct8_20260902_r2\report.md,a636d7bcffcb891e0c459a9d454e4e6025c166ff1e75f25d1222c146ab565e9d,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_fasttrust_eff_src5_seed8_e200_20260828_r1,Phase1 ADV3B02+FastTrust-EFF SRC5八种子扫描报告,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_fasttrust_eff_src5_seed8_e200_20260828_r1\report.md,09d44c5269e7be63d3b1aef433bde337b96c63efa530e7de3a3564ed899edbe3,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_fcr_r0r8_s392002_20260902_v1,ADV3B02-FCR单seed最小证伪矩阵预登记,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_fcr_r0r8_s392002_20260902_v1\report.md,d17dfa877d96e935570d08e111168baf0ec2cbfe53caeb1c3167154882c26211,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_fcr_r1r8_s392002_20260902_v1,ADV3B02-FCR R1-R8八卡并行实验预登记,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_fcr_r1r8_s392002_20260902_v1\report.md,9cd55bae6782e24cff9e013fceef69f3487e02fc328355e3ce67a668506b2672,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_fcr_r1r8_s392002_20260902_v2,ADV3B02-FCR R1-R8八卡并行实验v2预登记,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_fcr_r1r8_s392002_20260902_v2\report.md,d329ce3941de018a61d46a1ebc7b5c576305bcb91b813ca1873406dd7d8f4fbc,关联报告版本；不等同于独立CORE90基线
