method,scope,scene,dimension,value,total,correct,accuracy_pct,macro_f1_pct
FCR_ADV3B02,target168k,clean,tx,2,28000,17365,62.017857142857146,12.759469488225136
FCR_ADV3B02,target168k,clean,tx,3,28000,18124,64.72857142857143,13.098025612118057
FCR_ADV3B02,target168k,clean,tx,4,28000,27969,99.88928571428572,16.657435366006183
FCR_ADV3B02,target168k,clean,tx,5,28000,24801,88.575,15.656900437491714
FCR_ADV3B02,target168k,leo_clear_weak,day,0,42000,25277,60.18333333333333,59.83346795040252
FCR_ADV3B02,target168k,leo_clear_weak,day,1,42000,26278,62.56666666666667,63.381707363585605
FCR_ADV3B02,target168k,leo_clear_weak,day,2,42000,24783,59.00714285714286,59.97042648590867
FCR_ADV3B02,target168k,leo_clear_weak,day,3,42000,26760,63.714285714285715,64.44502732252461
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,0:0,7000,3792,54.17142857142857,11.712379540400297
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,0:1,7000,2397,34.24285714285714,8.502713632010215
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,0:2,7000,2530,36.142857142857146,8.849247988807276
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,0:3,7000,4685,66.92857142857143,13.364712594494366
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,0:4,7000,5790,82.71428571428572,15.089913995308834
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,0:5,7000,6083,86.9,15.498484037809881
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,1:0,7000,4281,61.15714285714285,12.649587802499779
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,1:1,7000,2686,38.371428571428574,9.243581801913415
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,1:2,7000,3735,53.35714285714286,11.597578015836051
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,1:3,7000,3973,56.75714285714286,12.069017892402563
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,1:4,7000,5579,79.7,14.783899091077721
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,1:5,7000,6024,86.05714285714285,15.41769041769042
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,2:0,7000,4046,57.8,12.209547950992818
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,2:1,7000,1818,25.97142857142857,6.872306645497845
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,2:2,7000,3319,47.41428571428571,10.721323125625869
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,2:3,7000,3792,54.17142857142857,11.712379540400297
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,2:4,7000,6115,87.35714285714286,15.5420002541619
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,2:5,7000,5693,81.32857142857142,14.950497649623152
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,3:0,7000,3602,51.457142857142856,11.324907250204364
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,3:1,7000,3048,43.542857142857144,10.111464968152866
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,3:2,7000,3455,49.357142857142854,11.015463095807428
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,3:3,7000,4707,67.24285714285713,13.40223797727855
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,3:4,7000,5881,84.01428571428572,15.21879771239293
FCR_ADV3B02,target168k,leo_clear_weak,day_tx,3:5,7000,6067,86.67142857142856,15.47664600392847
FCR_ADV3B02,target168k,leo_clear_weak,overall,all,168000,103098,61.36785714285714,61.959033217387635
FCR_ADV3B02,target168k,leo_clear_weak,receiver,0,24000,17162,71.50833333333333,71.45720600656001
FCR_ADV3B02,target168k,leo_clear_weak,receiver,10,24000,15865,66.10416666666666,65.76572417272351
FCR_ADV3B02,target168k,leo_clear_weak,receiver,11,24000,15203,63.34583333333333,58.90350437323115
FCR_ADV3B02,target168k,leo_clear_weak,receiver,2,24000,9671,40.295833333333334,41.97876975027573
FCR_ADV3B02,target168k,leo_clear_weak,receiver,5,24000,17321,72.17083333333333,72.52764313994544
FCR_ADV3B02,target168k,leo_clear_weak,receiver,7,24000,11309,47.12083333333334,47.92556867559612
FCR_ADV3B02,target168k,leo_clear_weak,receiver,9,24000,16567,69.02916666666667,67.64590235938157
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,0:0,6000,3790,63.16666666666667,60.16938627398337
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,0:1,6000,4264,71.06666666666666,70.4228687223332
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,0:2,6000,4761,79.35,79.66698460148865
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,0:3,6000,4347,72.45,72.30242711899407
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,10:0,6000,4252,70.86666666666666,69.64281043322978
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,10:1,6000,3806,63.43333333333333,61.24953482321963
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,10:2,6000,3493,58.21666666666667,56.523528426249136
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,10:3,6000,4314,71.89999999999999,72.53563728978173
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,11:0,6000,3745,62.416666666666664,57.971579341853015
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,11:1,6000,3846,64.1,59.50697141630691
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,11:2,6000,3498,58.3,51.82433665383391
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,11:3,6000,4114,68.56666666666666,63.47007975408998
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,2:0,6000,2377,39.61666666666667,36.63872069372856
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,2:1,6000,2388,39.800000000000004,43.72406833536541
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,2:2,6000,2423,40.38333333333333,42.83037073590081
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,2:3,6000,2483,41.38333333333333,43.5058727159908
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,5:0,6000,3838,63.96666666666667,63.642231100326775
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,5:1,6000,4891,81.51666666666667,81.18921099161422
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,5:2,6000,4669,77.81666666666666,77.95561820522948
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,5:3,6000,3923,65.38333333333334,65.3057706485276
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,7:0,6000,3845,64.08333333333334,63.482995488589665
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,7:1,6000,2528,42.13333333333333,40.855055839872726
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,7:2,6000,1873,31.216666666666665,33.64396864541163
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,7:3,6000,3063,51.05,49.701243817888
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,9:0,6000,3430,57.166666666666664,54.075629353939334
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,9:1,6000,4555,75.91666666666667,74.07959976837758
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,9:2,6000,4066,67.76666666666667,64.14811500747602
FCR_ADV3B02,target168k,leo_clear_weak,receiver_day,9:3,6000,4516,75.26666666666667,73.9354197902474
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,0:0,4000,2758,68.95,13.603630265364504
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,0:1,4000,1363,34.075,8.471626577164521
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,0:2,4000,3105,77.625,14.567206192821955
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,0:3,4000,3570,89.25,15.71994715984148
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,0:4,4000,3329,83.22500000000001,15.14076499749852
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,0:5,4000,3037,75.925,14.385865188764152
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,10:0,4000,3140,78.5,14.65919701213819
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,10:1,4000,1925,48.125,10.829817158931082
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,10:2,4000,2215,55.375,11.879860552426925
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,10:3,4000,1095,27.375,7.163886162904809
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,10:4,4000,3521,88.02499999999999,15.605194344723664
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,10:5,4000,3969,99.225,16.601832099385117
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,11:0,4000,1638,40.949999999999996,9.684285207520398
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,11:1,4000,1622,40.550000000000004,9.616980908336298
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,11:2,4000,395,9.875,2.9958285930982176
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,11:3,4000,3897,97.425,16.449284538432316
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,11:4,4000,3948,98.7,16.55762455963764
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,11:5,4000,3703,92.575,16.024059890086114
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,2:0,4000,1249,31.225,7.931669524353844
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,2:1,4000,609,15.225,4.404426122803211
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,2:2,4000,1210,30.25,7.741522712731926
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,2:3,4000,274,6.8500000000000005,2.1369521135548273
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,2:4,4000,3011,75.275,14.315599296343843
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,2:5,4000,3318,82.95,15.113418966930855
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,5:0,4000,1907,47.675,10.761243722137577
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,5:1,4000,1564,39.1,9.369757967888809
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,5:2,4000,3303,82.575,15.075996165959197
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,5:3,4000,2952,73.8,14.154200230149597
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,5:4,4000,3770,94.25,16.173316173316174
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,5:5,4000,3825,95.625,16.293929712460063
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,7:0,4000,2212,55.300000000000004,11.869499892680833
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,7:1,4000,1974,49.35,11.014395714763976
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,7:2,4000,762,19.05,5.333893322133557
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,7:3,4000,1494,37.35,9.06443392792137
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,7:4,4000,1810,45.25,10.384394721744119
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,7:5,4000,3057,76.425,14.439563553918097
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,9:0,4000,2817,70.42500000000001,13.77438756051049
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,9:1,4000,892,22.3,6.077950395203052
