run,row,scope,updates,scene,dimension,value,accuracy_pct
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,clean,tx,0,58.733333333333334
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,clean,tx,1,52.03333333333333
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,clean,tx,2,57.13333333333333
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,clean,tx,3,53.96666666666666
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,clean,tx,4,100.0
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,clean,tx,5,28.866666666666667
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_clear_weak,overall,all,23.394444444444446
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_clear_weak,tx,0,47.16666666666667
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_clear_weak,tx,1,2.8000000000000003
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_clear_weak,tx,2,11.3
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_clear_weak,tx,3,8.466666666666667
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_clear_weak,tx,4,32.36666666666667
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_clear_weak,tx,5,38.266666666666666
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_low_elev_weak,overall,all,23.055555555555557
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_low_elev_weak,tx,0,50.8
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_low_elev_weak,tx,1,2.6333333333333333
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_low_elev_weak,tx,2,8.133333333333333
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_low_elev_weak,tx,3,6.533333333333332
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_low_elev_weak,tx,4,33.86666666666667
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_low_elev_weak,tx,5,36.36666666666667
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_rain_weak,overall,all,23.961111111111112
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_rain_weak,tx,0,52.2
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_rain_weak,tx,1,2.433333333333333
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_rain_weak,tx,2,7.433333333333334
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_rain_weak,tx,3,5.566666666666667
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_rain_weak,tx,4,36.03333333333333
PairBiCAD_P0P4_r2,P0-F1-S392001,source_LORO,4000,leo_rain_weak,tx,5,40.1
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,clean,overall,all,49.577777777777776
