run,scope,scene,dimension,value,total,accuracy_pct
B0_392003,source_V_27000,leo_clear_weak,tx,3,4500,74.35555555555555
B0_392003,source_V_27000,leo_clear_weak,tx,4,4500,94.46666666666667
B0_392003,source_V_27000,leo_clear_weak,tx,5,4500,98.42222222222222
B0_392003,source_V_27000,leo_low_elev_weak,overall,all,27000,85.04814814814814
B0_392003,source_V_27000,leo_low_elev_weak,receiver,1,5400,86.87037037037038
B0_392003,source_V_27000,leo_low_elev_weak,receiver,3,5400,78.07407407407408
B0_392003,source_V_27000,leo_low_elev_weak,receiver,4,5400,89.18518518518519
B0_392003,source_V_27000,leo_low_elev_weak,receiver,6,5400,89.75925925925927
B0_392003,source_V_27000,leo_low_elev_weak,receiver,8,5400,81.35185185185185
B0_392003,source_V_27000,leo_low_elev_weak,day,1,9000,84.23333333333333
B0_392003,source_V_27000,leo_low_elev_weak,day,2,9000,87.37777777777778
B0_392003,source_V_27000,leo_low_elev_weak,day,3,9000,83.53333333333333
B0_392003,source_V_27000,leo_low_elev_weak,tx,0,4500,90.06666666666666
B0_392003,source_V_27000,leo_low_elev_weak,tx,1,4500,69.93333333333334
B0_392003,source_V_27000,leo_low_elev_weak,tx,2,4500,97.02222222222223
B0_392003,source_V_27000,leo_low_elev_weak,tx,3,4500,64.2
B0_392003,source_V_27000,leo_low_elev_weak,tx,4,4500,92.17777777777778
B0_392003,source_V_27000,leo_low_elev_weak,tx,5,4500,96.88888888888889
B0_392003,source_V_27000,leo_rain_weak,overall,all,27000,84.67037037037038
B0_392003,source_V_27000,leo_rain_weak,receiver,1,5400,86.72222222222223
B0_392003,source_V_27000,leo_rain_weak,receiver,3,5400,77.68518518518519
B0_392003,source_V_27000,leo_rain_weak,receiver,4,5400,88.01851851851852
B0_392003,source_V_27000,leo_rain_weak,receiver,6,5400,88.88888888888889
B0_392003,source_V_27000,leo_rain_weak,receiver,8,5400,82.03703703703704
B0_392003,source_V_27000,leo_rain_weak,day,1,9000,84.9888888888889
B0_392003,source_V_27000,leo_rain_weak,day,2,9000,85.83333333333333
B0_392003,source_V_27000,leo_rain_weak,day,3,9000,83.1888888888889
B0_392003,source_V_27000,leo_rain_weak,tx,0,4500,91.5111111111111
B0_392003,source_V_27000,leo_rain_weak,tx,1,4500,68.06666666666666
B0_392003,source_V_27000,leo_rain_weak,tx,2,4500,97.15555555555555
B0_392003,source_V_27000,leo_rain_weak,tx,3,4500,61.355555555555554
B0_392003,source_V_27000,leo_rain_weak,tx,4,4500,92.4
B0_392003,source_V_27000,leo_rain_weak,tx,5,4500,97.53333333333333
