receiver,seed,k_shot,old_acc_full,old_acc_light,delta_old_acc,seen_new_acc_full,seen_new_acc_light,delta_seen_new_acc,H_old_new_full,H_old_new_light,delta_H_old_new
8-8,713101,5,0.9138888888888889,0.7805555555555554,0.13333333333333341,1.0,0.7166666666666667,0.2833333333333333,0.9547892720306513,0.7456250845591493,0.209164187471502
8-8,713101,10,0.9111111111111111,0.8583333333333334,0.0527777777777777,1.0,0.75,0.25,0.953364025951626,0.7996116573541331,0.15375236859749286
8-8,713101,20,0.9,0.8694444444444445,0.030555555555555558,1.0,0.8583333333333334,0.1416666666666666,0.9472049689440993,0.8634302880130947,0.0837746809310046
8-8,713102,1,0.8444444444444444,0.7111111111111111,0.1333333333333333,0.9333333333333332,0.4000000000000001,0.5333333333333332,0.8828765301514842,0.502851091560769,0.38002543859071514
8-8,713102,2,0.8638888888888889,0.7083333333333334,0.15555555555555556,1.0,0.5833333333333334,0.41666666666666663,0.9264069264069263,0.6306268770625222,0.29578004934440416
8-8,713102,5,0.8833333333333333,0.7749999999999999,0.10833333333333339,1.0,0.6583333333333333,0.3416666666666667,0.9379976489897309,0.699885980531386,0.23811166845834497
8-8,713102,10,0.8694444444444445,0.7972222222222222,0.0722222222222223,1.0,0.8416666666666668,0.15833333333333321,0.9300738750077957,0.8181064439946021,0.11196743101319362
8-8,713102,20,0.8944444444444444,0.8138888888888888,0.0805555555555556,1.0,0.875,0.125,0.9442222732960494,0.8423044217687075,0.1019178515273419
8-8,713103,1,0.8833333333333333,0.7083333333333334,0.17499999999999993,0.9500000000000001,0.4916666666666667,0.45833333333333337,0.9145592660396019,0.5555592023265475,0.3590000637130544
8-8,713103,2,0.8722222222222222,0.6972222222222223,0.17499999999999993,0.9499999999999998,0.5583333333333333,0.3916666666666665,0.9088278638445472,0.5878578125496595,0.32097005129488765
8-8,713103,5,0.8972222222222223,0.7777777777777777,0.11944444444444458,0.9499999999999998,0.6916666666666668,0.2583333333333331,0.9226932253354271,0.7241081039541325,0.19858512138129458
8-8,713103,10,0.9,0.7999999999999999,0.10000000000000009,0.9666666666666667,0.8250000000000001,0.1416666666666666,0.9321002029697681,0.8105623241492806,0.1215378788204875
8-8,713103,20,0.9333333333333332,0.8222222222222223,0.11111111111111094,0.9833333333333334,0.9,0.08333333333333337,0.9575296543126691,0.8590658250406212,0.09846382927204789
8-8,713104,1,0.7861111111111111,0.6916666666666668,0.09444444444444433,0.9166666666666666,0.5583333333333332,0.3583333333333334,0.8448587848932677,0.6068209825085354,0.23803780238473227
8-8,713104,2,0.8833333333333333,0.5944444444444444,0.28888888888888886,0.9499999999999998,0.65,0.2999999999999998,0.9150619618735246,0.6192172138073233,0.2958447480662013
8-8,713104,5,0.8833333333333333,0.7999999999999999,0.08333333333333337,0.9499999999999998,0.7916666666666666,0.15833333333333321,0.915008564171118,0.7923963066064723,0.12261225756464567
8-8,713104,10,0.9111111111111111,0.85,0.061111111111111116,0.9833333333333334,0.8666666666666667,0.1166666666666667,0.9455353510033858,0.8580833562601738,0.08745199474321197
8-8,713104,20,0.9166666666666666,0.8722222222222222,0.0444444444444444,0.9833333333333334,0.8583333333333334,0.125,0.9485746911212728,0.865148742301301,0.08342594881997178
8-8,713105,1,0.75,0.6749999999999999,0.07500000000000007,0.9166666666666666,0.2916666666666667,0.625,0.8214873046603545,0.3733971291866029,0.4480901754737516
8-8,713105,2,0.813888888888889,0.7111111111111111,0.10277777777777786,0.9500000000000001,0.575,0.3750000000000001,0.8763657738741552,0.6318019727949846,0.24456380107917053
8-8,713105,5,0.8888888888888888,0.8055555555555557,0.08333333333333315,1.0,0.6916666666666668,0.30833333333333324,0.9410487550156654,0.7421868187607656,0.19886193625489978
8-8,713105,10,0.8972222222222221,0.8027777777777779,0.09444444444444422,0.9833333333333334,0.7416666666666667,0.2416666666666667,0.938040356655757,0.7661705146174884,0.1718698420382686
8-8,713105,20,0.8916666666666666,0.8138888888888888,0.07777777777777783,1.0,0.8249999999999998,0.17500000000000016,0.9427175986436014,0.8164868076047137,0.12623079103888768
