arm,receiver,seed,k_shot,scenario,old_acc,seen_new_acc,H_old_new,average_forgetting
singleview_fft96_strict,3-19,713101,5,leo_rain_weak,0.65,0.3,0.41052631578947374,0.05833333333333335
singleview_fft96_strict,3-19,713102,1,leo_clear_weak,0.4666666666666667,0.325,0.3831578947368421,0.1166666666666667
singleview_fft96_strict,3-19,713102,1,leo_low_elev_weak,0.44166666666666665,0.475,0.4577272727272727,0.08333333333333337
singleview_fft96_strict,3-19,713102,1,leo_rain_weak,0.49166666666666664,0.4,0.4411214953271028,0.04999999999999999
singleview_fft96_strict,3-19,713102,10,leo_clear_weak,0.7166666666666667,0.45,0.5528571428571428,0.07499999999999996
singleview_fft96_strict,3-19,713102,10,leo_low_elev_weak,0.675,0.475,0.557608695652174,0.04166666666666663
singleview_fft96_strict,3-19,713102,10,leo_rain_weak,0.6666666666666666,0.525,0.5874125874125874,0.06666666666666665
singleview_fft96_strict,3-19,713102,2,leo_clear_weak,0.5333333333333333,0.375,0.44036697247706424,0.1333333333333333
singleview_fft96_strict,3-19,713102,2,leo_low_elev_weak,0.6083333333333333,0.425,0.5004032258064516,0.050000000000000044
singleview_fft96_strict,3-19,713102,2,leo_rain_weak,0.525,0.225,0.315,0.09999999999999998
singleview_fft96_strict,3-19,713102,20,leo_clear_weak,0.7333333333333333,0.575,0.6445859872611465,0.04166666666666674
singleview_fft96_strict,3-19,713102,20,leo_low_elev_weak,0.7,0.6,0.6461538461538462,0.06666666666666676
singleview_fft96_strict,3-19,713102,20,leo_rain_weak,0.65,0.55,0.5958333333333333,0.09999999999999998
singleview_fft96_strict,3-19,713102,5,leo_clear_weak,0.6666666666666666,0.35,0.4590163934426229,0.06666666666666665
singleview_fft96_strict,3-19,713102,5,leo_low_elev_weak,0.6416666666666667,0.475,0.5458955223880597,0.04999999999999993
singleview_fft96_strict,3-19,713102,5,leo_rain_weak,0.6166666666666667,0.45,0.5203125000000001,0.10833333333333328
singleview_fft96_strict,3-19,713103,1,leo_clear_weak,0.5166666666666667,0.375,0.4345794392523365,0.05833333333333324
singleview_fft96_strict,3-19,713103,1,leo_low_elev_weak,0.35833333333333334,0.35,0.35411764705882354,0.033333333333333326
singleview_fft96_strict,3-19,713103,1,leo_rain_weak,0.4166666666666667,0.35,0.38043478260869573,0.033333333333333326
singleview_fft96_strict,3-19,713103,10,leo_clear_weak,0.6916666666666667,0.5,0.5804195804195804,0.06666666666666665
singleview_fft96_strict,3-19,713103,10,leo_low_elev_weak,0.5083333333333333,0.55,0.5283464566929134,0.07500000000000007
singleview_fft96_strict,3-19,713103,10,leo_rain_weak,0.5833333333333334,0.4,0.4745762711864407,0.09166666666666667
singleview_fft96_strict,3-19,713103,2,leo_clear_weak,0.575,0.5,0.5348837209302325,0.05833333333333335
singleview_fft96_strict,3-19,713103,2,leo_low_elev_weak,0.475,0.45,0.4621621621621621,0.016666666666666663
singleview_fft96_strict,3-19,713103,2,leo_rain_weak,0.475,0.5,0.48717948717948717,0.08333333333333337
singleview_fft96_strict,3-19,713103,20,leo_clear_weak,0.7333333333333333,0.525,0.6119205298013245,0.07500000000000007
singleview_fft96_strict,3-19,713103,20,leo_low_elev_weak,0.6,0.6,0.6,0.07500000000000007
singleview_fft96_strict,3-19,713103,20,leo_rain_weak,0.6916666666666667,0.425,0.5264925373134328,0.033333333333333326
singleview_fft96_strict,3-19,713103,5,leo_clear_weak,0.65,0.475,0.5488888888888889,0.08333333333333326
singleview_fft96_strict,3-19,713103,5,leo_low_elev_weak,0.475,0.5,0.48717948717948717,0.0
singleview_fft96_strict,3-19,713103,5,leo_rain_weak,0.575,0.55,0.5622222222222222,0.10000000000000009
singleview_fft96_strict,3-19,713104,1,leo_clear_weak,0.31666666666666665,0.45,0.3717391304347826,0.06666666666666671
singleview_fft96_strict,3-19,713104,1,leo_low_elev_weak,0.45,0.275,0.3413793103448276,0.024999999999999967
singleview_fft96_strict,3-19,713104,1,leo_rain_weak,0.2916666666666667,0.45,0.3539325842696629,0.05833333333333329
singleview_fft96_strict,3-19,713104,10,leo_clear_weak,0.625,0.6,0.6122448979591836,0.1166666666666667
singleview_fft96_strict,3-19,713104,10,leo_low_elev_weak,0.525,0.65,0.5808510638297874,0.10833333333333328
singleview_fft96_strict,3-19,713104,10,leo_rain_weak,0.6416666666666667,0.525,0.5775,0.11666666666666659
singleview_fft96_strict,3-19,713104,2,leo_clear_weak,0.575,0.425,0.48874999999999996,0.10833333333333339
singleview_fft96_strict,3-19,713104,2,leo_low_elev_weak,0.5333333333333333,0.35,0.4226415094339622,0.033333333333333326
singleview_fft96_strict,3-19,713104,2,leo_rain_weak,0.5666666666666667,0.3,0.39230769230769225,0.01666666666666672
singleview_fft96_strict,3-19,713104,20,leo_clear_weak,0.6583333333333333,0.575,0.6138513513513513,0.1166666666666667
singleview_fft96_strict,3-19,713104,20,leo_low_elev_weak,0.5833333333333334,0.6,0.591549295774648,0.09166666666666667
singleview_fft96_strict,3-19,713104,20,leo_rain_weak,0.6916666666666667,0.5,0.5804195804195804,0.08333333333333337
singleview_fft96_strict,3-19,713104,5,leo_clear_weak,0.5666666666666667,0.45,0.5016393442622952,0.125
singleview_fft96_strict,3-19,713104,5,leo_low_elev_weak,0.475,0.65,0.5488888888888889,0.10833333333333339
singleview_fft96_strict,3-19,713104,5,leo_rain_weak,0.5416666666666666,0.375,0.4431818181818182,0.06666666666666665
singleview_fft96_strict,3-19,713105,1,leo_clear_weak,0.625,0.125,0.20833333333333334,0.08333333333333337
singleview_fft96_strict,3-19,713105,1,leo_low_elev_weak,0.4583333333333333,0.275,0.34374999999999994,0.041666666666666685
singleview_fft96_strict,3-19,713105,1,leo_rain_weak,0.5666666666666667,0.15,0.23720930232558138,0.09999999999999998
singleview_fft96_strict,3-19,713105,10,leo_clear_weak,0.6666666666666666,0.425,0.5190839694656489,0.050000000000000044
singleview_fft96_strict,3-19,713105,10,leo_low_elev_weak,0.5916666666666667,0.45,0.5112,0.05833333333333335
singleview_fft96_strict,3-19,713105,10,leo_rain_weak,0.675,0.275,0.3907894736842106,0.02499999999999991
singleview_fft96_strict,3-19,713105,2,leo_clear_weak,0.5583333333333333,0.35,0.43027522935779816,0.08333333333333337
singleview_fft96_strict,3-19,713105,2,leo_low_elev_weak,0.5166666666666667,0.5,0.5081967213114755,0.033333333333333326
singleview_fft96_strict,3-19,713105,2,leo_rain_weak,0.55,0.3,0.388235294117647,0.02499999999999991
singleview_fft96_strict,3-19,713105,20,leo_clear_weak,0.725,0.5,0.5918367346938775,0.033333333333333326
singleview_fft96_strict,3-19,713105,20,leo_low_elev_weak,0.6333333333333333,0.575,0.6027586206896551,0.06666666666666665
singleview_fft96_strict,3-19,713105,20,leo_rain_weak,0.7416666666666667,0.375,0.498134328358209,0.025000000000000022
singleview_fft96_strict,3-19,713105,5,leo_clear_weak,0.6166666666666667,0.375,0.46638655462184875,0.07499999999999996
singleview_fft96_strict,3-19,713105,5,leo_low_elev_weak,0.65,0.5,0.5652173913043479,0.033333333333333326
singleview_fft96_strict,3-19,713105,5,leo_rain_weak,0.6166666666666667,0.275,0.380373831775701,0.04166666666666663
singleview_fft96_strict,7-14,713101,1,leo_clear_weak,0.8666666666666667,0.45,0.5924050632911393,-0.008333333333333415
singleview_fft96_strict,7-14,713101,1,leo_low_elev_weak,0.8083333333333333,0.625,0.7049418604651163,0.09999999999999998
singleview_fft96_strict,7-14,713101,1,leo_rain_weak,0.7416666666666667,0.525,0.6148026315789474,0.025000000000000022
singleview_fft96_strict,7-14,713101,10,leo_clear_weak,0.9083333333333333,0.95,0.9286995515695067,0.0
singleview_fft96_strict,7-14,713101,10,leo_low_elev_weak,0.925,0.75,0.8283582089552239,0.008333333333333304
singleview_fft96_strict,7-14,713101,10,leo_rain_weak,0.8583333333333333,0.775,0.8145408163265305,0.0
singleview_fft96_strict,7-14,713101,2,leo_clear_weak,0.9083333333333333,0.625,0.7404891304347827,0.01666666666666672
singleview_fft96_strict,7-14,713101,2,leo_low_elev_weak,0.7916666666666666,0.75,0.7702702702702704,0.1166666666666667
singleview_fft96_strict,7-14,713101,2,leo_rain_weak,0.8166666666666667,0.6,0.691764705882353,0.050000000000000044
singleview_fft96_strict,7-14,713101,20,leo_clear_weak,0.95,0.925,0.9373333333333334,-0.008333333333333304
singleview_fft96_strict,7-14,713101,20,leo_low_elev_weak,0.9166666666666666,0.875,0.8953488372093024,0.025000000000000022
singleview_fft96_strict,7-14,713101,20,leo_rain_weak,0.875,0.825,0.8492647058823529,0.0
singleview_fft96_strict,7-14,713101,5,leo_clear_weak,0.925,0.7,0.7969230769230768,0.0
singleview_fft96_strict,7-14,713101,5,leo_low_elev_weak,0.8833333333333333,0.75,0.8112244897959183,0.025000000000000022
