arm,experiment_id,receiver,seed,k_shot,old_acc_strict,old_acc_compatibility,delta_old_acc,seen_new_acc_strict,seen_new_acc_compatibility,delta_seen_new_acc,H_old_new_strict,H_old_new_compatibility,delta_H_old_new
singleview_fft96_strict,cvs_qknnv42_stage2c_rx8-8_k20_seed713103,8-8,713103,20,0.8222222222222223,0.8222222222222223,0.0,0.9,0.9,0.0,0.8590658250406212,0.8590658250406212,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx8-8_k5_seed713103,8-8,713103,5,0.7777777777777777,0.7777777777777777,0.0,0.6916666666666668,0.6916666666666668,0.0,0.7241081039541325,0.7241081039541325,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx8-8_k1_seed713104,8-8,713104,1,0.6916666666666668,0.6916666666666668,0.0,0.5583333333333332,0.5583333333333332,0.0,0.6068209825085354,0.6068209825085354,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx8-8_k10_seed713104,8-8,713104,10,0.85,0.85,0.0,0.8666666666666667,0.8666666666666667,0.0,0.8580833562601738,0.8580833562601738,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx8-8_k2_seed713104,8-8,713104,2,0.5944444444444444,0.5944444444444444,0.0,0.65,0.65,0.0,0.6192172138073233,0.6192172138073233,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx8-8_k20_seed713104,8-8,713104,20,0.8722222222222222,0.8722222222222222,0.0,0.8583333333333334,0.8583333333333334,0.0,0.865148742301301,0.865148742301301,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx8-8_k5_seed713104,8-8,713104,5,0.7999999999999999,0.7999999999999999,0.0,0.7916666666666666,0.7916666666666666,0.0,0.7923963066064723,0.7923963066064723,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx8-8_k1_seed713105,8-8,713105,1,0.6749999999999999,0.6749999999999999,0.0,0.2916666666666667,0.2916666666666667,0.0,0.3733971291866029,0.3733971291866029,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx8-8_k10_seed713105,8-8,713105,10,0.8027777777777779,0.8027777777777779,0.0,0.7416666666666667,0.7416666666666667,0.0,0.7661705146174884,0.7661705146174884,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx8-8_k2_seed713105,8-8,713105,2,0.7111111111111111,0.7111111111111111,0.0,0.575,0.575,0.0,0.6318019727949846,0.6318019727949846,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx8-8_k20_seed713105,8-8,713105,20,0.8138888888888888,0.8138888888888888,0.0,0.8249999999999998,0.8249999999999998,0.0,0.8164868076047137,0.8164868076047137,0.0
singleview_fft96_strict,cvs_qknnv42_stage2c_rx8-8_k5_seed713105,8-8,713105,5,0.8055555555555557,0.8055555555555557,0.0,0.6916666666666668,0.6916666666666668,0.0,0.7421868187607656,0.7421868187607656,0.0
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k1_seed713101,20-1,713101,1,0.6027777777777777,0.5888888888888889,0.01388888888888884,0.8666666666666667,0.9,-0.033333333333333326,0.7089560207567374,0.7092339334873272,-0.00027791273058985766
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k10_seed713101,20-1,713101,10,0.8111111111111112,0.8250000000000001,-0.01388888888888884,0.9666666666666667,0.9666666666666667,0.0,0.8813130510572112,0.8893938591380194,-0.008080808080808133
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k2_seed713101,20-1,713101,2,0.7027777777777778,0.7138888888888889,-0.011111111111111072,0.9499999999999998,0.9499999999999998,0.0,0.8075599319291668,0.8146607778186725,-0.007100845889505769
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k20_seed713101,20-1,713101,20,0.8694444444444445,0.8416666666666668,0.02777777777777768,0.9666666666666667,0.9833333333333334,-0.01666666666666672,0.9148693834900731,0.906074332864149,0.008795050625924117
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k5_seed713101,20-1,713101,5,0.8166666666666668,0.8027777777777777,0.013888888888889062,0.9666666666666667,0.9666666666666667,0.0,0.8840964723559744,0.8763937028915455,0.007702769464428938
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k1_seed713102,20-1,713102,1,0.7388888888888889,0.75,-0.011111111111111072,0.8333333333333334,0.8666666666666666,-0.033333333333333215,0.7823025498124979,0.8037179753702383,-0.021415425557740342
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k10_seed713102,20-1,713102,10,0.8944444444444445,0.8972222222222221,-0.002777777777777657,0.9833333333333334,0.9666666666666667,0.01666666666666672,0.9366089466089466,0.9301464532531242,0.006462493355822385
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k2_seed713102,20-1,713102,2,0.7777777777777778,0.7555555555555555,0.022222222222222254,0.8999999999999999,0.9500000000000001,-0.050000000000000155,0.8341543918467976,0.8412174766813942,-0.007063084834596611
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k20_seed713102,20-1,713102,20,0.8972222222222221,0.9111111111111111,-0.01388888888888895,0.9833333333333334,0.9833333333333334,0.0,0.9382626773364535,0.9457972697146456,-0.007534592378192095
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k5_seed713102,20-1,713102,5,0.8444444444444444,0.8472222222222222,-0.002777777777777768,0.9666666666666667,0.9666666666666667,0.0,0.8998588793889525,0.9016999921317771,-0.0018411127428246132
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k1_seed713103,20-1,713103,1,0.7361111111111112,0.6805555555555557,0.05555555555555547,0.8833333333333334,0.9,-0.016666666666666607,0.8012078135096178,0.7734627099922271,0.02774510351739068
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k10_seed713103,20-1,713103,10,0.8611111111111112,0.8416666666666667,0.019444444444444486,0.9333333333333332,0.9333333333333332,0.0,0.8954007174932892,0.8848464412112494,0.010554276282039754
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k2_seed713103,20-1,713103,2,0.7388888888888889,0.7361111111111112,0.002777777777777768,0.9499999999999998,0.9333333333333332,0.016666666666666607,0.8306395574403033,0.8229618814141851,0.00767767602611813
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k20_seed713103,20-1,713103,20,0.9249999999999999,0.9111111111111111,0.01388888888888884,0.9499999999999998,0.9833333333333334,-0.03333333333333355,0.9372530395136778,0.9455620012876317,-0.008308961773953905
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k5_seed713103,20-1,713103,5,0.75,0.7666666666666667,-0.01666666666666672,0.9166666666666666,0.9499999999999998,-0.033333333333333215,0.8249380437197696,0.8480909090909091,-0.023152865371139475
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k1_seed713104,20-1,713104,1,0.7083333333333334,0.6833333333333332,0.025000000000000133,0.8666666666666667,0.8833333333333333,-0.016666666666666607,0.7777194803841674,0.7670459770114942,0.010673503372673143
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k10_seed713104,20-1,713104,10,0.8277777777777778,0.8083333333333332,0.019444444444444597,0.9499999999999998,0.9499999999999998,0.0,0.8845275301637915,0.8732741651532363,0.011253365010555183
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k2_seed713104,20-1,713104,2,0.725,0.7305555555555556,-0.005555555555555647,0.9,0.8833333333333333,0.01666666666666672,0.8028512407397814,0.7992836783678369,0.003567562371944555
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k20_seed713104,20-1,713104,20,0.9138888888888889,0.888888888888889,0.02499999999999991,0.9499999999999998,0.9499999999999998,0.0,0.931545504542124,0.9183556412498411,0.013189863292282888
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k5_seed713104,20-1,713104,5,0.8222222222222223,0.8055555555555555,0.01666666666666683,0.9500000000000001,0.9333333333333332,0.01666666666666683,0.8805576689491317,0.8645385329693283,0.016019135979803423
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k1_seed713105,20-1,713105,1,0.6916666666666668,0.6944444444444443,-0.002777777777777546,0.85,0.85,0.0,0.7578772985351018,0.7571677451468393,0.0007095533882625071
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k10_seed713105,20-1,713105,10,0.8805555555555555,0.8666666666666667,0.01388888888888884,0.9666666666666667,0.9666666666666667,0.0,0.9206889528535006,0.9132429867916944,0.007445966061806253
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k2_seed713105,20-1,713105,2,0.763888888888889,0.763888888888889,0.0,0.9166666666666666,0.9333333333333332,-0.016666666666666607,0.8331185363372656,0.8394330145851444,-0.006314478247878785
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k20_seed713105,20-1,713105,20,0.8888888888888888,0.8888888888888888,0.0,0.9666666666666667,0.9833333333333334,-0.01666666666666672,0.926058624822927,0.933725601509055,-0.007666976686128035
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx20-1_k5_seed713105,20-1,713105,5,0.8249999999999998,0.8305555555555554,-0.005555555555555536,0.9666666666666667,0.9833333333333334,-0.01666666666666672,0.8901672571097189,0.9002721775133583,-0.010104920403639417
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k1_seed713101,3-19,713101,1,0.6027777777777777,0.6083333333333334,-0.005555555555555647,0.75,0.7333333333333333,0.01666666666666672,0.6676325725556495,0.6607880762894836,0.0068444962661659
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k10_seed713101,3-19,713101,10,0.775,0.7555555555555555,0.019444444444444486,0.75,0.7666666666666666,-0.016666666666666607,0.7613504062330464,0.7599644146605474,0.001385991572498968
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k2_seed713101,3-19,713101,2,0.7055555555555556,0.7000000000000001,0.005555555555555536,0.7666666666666666,0.7333333333333334,0.033333333333333215,0.7338182551643855,0.7162463343108504,0.017571920853535095
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k20_seed713101,3-19,713101,20,0.7916666666666666,0.7944444444444444,-0.002777777777777768,0.8000000000000002,0.7833333333333333,0.01666666666666683,0.7950894715657525,0.7886647651196329,0.006424706446119588
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k5_seed713101,3-19,713101,5,0.7666666666666666,0.7444444444444445,0.022222222222222143,0.7333333333333334,0.7166666666666667,0.01666666666666672,0.7464427779596651,0.7294341933149647,0.017008584644700342
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k1_seed713102,3-19,713102,1,0.5138888888888888,0.5361111111111111,-0.022222222222222254,0.7666666666666666,0.6833333333333332,0.08333333333333337,0.610808128919584,0.5997006098923907,0.011107519027193313
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k10_seed713102,3-19,713102,10,0.7861111111111111,0.7638888888888888,0.022222222222222254,0.85,0.8666666666666667,-0.01666666666666672,0.8164876912120042,0.8093786096570366,0.007109081554967589
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k2_seed713102,3-19,713102,2,0.6499999999999999,0.6722222222222222,-0.022222222222222254,0.7833333333333333,0.7666666666666666,0.01666666666666672,0.7042532277690862,0.7158207781355225,-0.011567550366436308
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k20_seed713102,3-19,713102,20,0.7972222222222222,0.7777777777777777,0.019444444444444486,0.8833333333333334,0.8833333333333333,1.1102230246251565e-16,0.8367870544090056,0.8257575757575757,0.011029478651429891
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k5_seed713102,3-19,713102,5,0.7333333333333334,0.7138888888888889,0.019444444444444486,0.8166666666666668,0.8166666666666668,0.0,0.7707073067947207,0.7605173258114434,0.01018998098327728
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k1_seed713103,3-19,713103,1,0.6138888888888889,0.5750000000000001,0.03888888888888886,0.7166666666666667,0.6833333333333332,0.03333333333333344,0.6611036332082046,0.6237685631899013,0.037335070018303385
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k10_seed713103,3-19,713103,10,0.7583333333333333,0.75,0.008333333333333304,0.9,0.9,0.0,0.8223093975550927,0.8148566266615047,0.007452770893587979
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k2_seed713103,3-19,713103,2,0.6666666666666666,0.6527777777777778,0.01388888888888884,0.7333333333333334,0.7666666666666666,-0.033333333333333215,0.695037544229263,0.7043414438742434,-0.009303899644980351
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k20_seed713103,3-19,713103,20,0.7972222222222222,0.8111111111111112,-0.013888888888889062,0.9166666666666666,0.9,0.016666666666666607,0.852763393729465,0.8517768351596559,0.000986558569809115
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k5_seed713103,3-19,713103,5,0.7416666666666667,0.725,0.01666666666666672,0.8333333333333334,0.85,-0.016666666666666607,0.7844691756667532,0.7801923076923076,0.004276867974445597
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k1_seed713104,3-19,713104,1,0.6444444444444444,0.6444444444444445,-1.1102230246251565e-16,0.6833333333333332,0.7166666666666667,-0.03333333333333344,0.656546613454774,0.6728841984644284,-0.01633758500965432
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k10_seed713104,3-19,713104,10,0.75,0.7333333333333334,0.016666666666666607,0.85,0.8833333333333333,-0.033333333333333326,0.7962593519736377,0.801335371974281,-0.005076020000643222
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k2_seed713104,3-19,713104,2,0.6666666666666666,0.6416666666666666,0.025000000000000022,0.75,0.7333333333333334,0.016666666666666607,0.7004136440808767,0.67990218367905,0.02051146040182672
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k20_seed713104,3-19,713104,20,0.7944444444444444,0.7888888888888889,0.005555555555555536,0.8666666666666667,0.8333333333333334,0.033333333333333326,0.8285502654870988,0.8097916641160315,0.01875860137106722
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k5_seed713104,3-19,713104,5,0.7333333333333334,0.7305555555555556,0.002777777777777768,0.8166666666666668,0.8000000000000002,0.016666666666666607,0.7699494346233476,0.7594826369744941,0.010466797648853499
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k1_seed713105,3-19,713105,1,0.6222222222222223,0.6555555555555556,-0.033333333333333215,0.6666666666666666,0.7000000000000001,-0.03333333333333344,0.6425542338893446,0.6664894125882285,-0.02393517869888384
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k10_seed713105,3-19,713105,10,0.7916666666666666,0.7861111111111111,0.005555555555555536,0.9166666666666666,0.9333333333333332,-0.016666666666666607,0.8493590672343209,0.8524476462837818,-0.0030885790494609155
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k2_seed713105,3-19,713105,2,0.688888888888889,0.7083333333333334,-0.019444444444444375,0.8000000000000002,0.7666666666666666,0.03333333333333355,0.7364040158198965,0.7358643338674519,0.0005396819524445817
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k20_seed713105,3-19,713105,20,0.8222222222222223,0.8305555555555554,-0.008333333333333082,0.9166666666666666,0.9166666666666666,0.0,0.8667301746690272,0.8711523887651861,-0.0044222140961588385
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx3-19_k5_seed713105,3-19,713105,5,0.763888888888889,0.7611111111111111,0.002777777777777879,0.8833333333333333,0.8666666666666667,0.016666666666666607,0.8187542008961911,0.8094335578344106,0.009320643061780487
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx7-14_k1_seed713101,7-14,713101,1,0.8722222222222222,0.8583333333333333,0.01388888888888895,0.9666666666666667,0.9666666666666667,0.0,0.9161651372858269,0.9080868992003669,0.008078238085460043
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx7-14_k10_seed713101,7-14,713101,10,0.9416666666666665,0.9222222222222222,0.019444444444444375,1.0,0.9833333333333334,0.016666666666666607,0.9698680392482428,0.9517734556361166,0.018094583612126236
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx7-14_k2_seed713101,7-14,713101,2,0.9194444444444444,0.8916666666666666,0.02777777777777779,0.9666666666666667,0.9500000000000001,0.016666666666666607,0.942318735239089,0.9193150405372812,0.023003694701807853
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx7-14_k20_seed713101,7-14,713101,20,0.936111111111111,0.9333333333333332,0.002777777777777768,0.9833333333333334,0.9833333333333334,0.0,0.9591172567299177,0.9576639602922455,0.0014532964376721136
