method,new_tx_ids,old_acc,seen_new_acc,min_seen_new_class_acc,H_old_new,passes_joint_target,per_new_acc,support_count,old_query_count,new_query_count
knn1,"1-16,2-7",0.8666666666666667,0.675,0.65,0.7589189189189189,True,"{""1-16"": 0.65, ""2-7"": 0.7}",80,240,80
knn1,"2-7,9-20",0.8666666666666667,0.6625000000000001,0.65,0.7509536784741144,True,"{""2-7"": 0.675, ""9-20"": 0.65}",80,240,80
knn1,"13-19,2-16",0.8666666666666667,0.65,0.65,0.7428571428571429,True,"{""13-19"": 0.65, ""2-16"": 0.65}",80,240,80
knn1,"2-16,3-8",0.8625,0.75,0.65,0.8023255813953489,True,"{""2-16"": 0.65, ""3-8"": 0.85}",80,240,80
knn1,"19-3,2-7",0.8625,0.7,0.65,0.7728,True,"{""19-3"": 0.75, ""2-7"": 0.65}",80,240,80
knn1,"10-4,13-14",0.8625,0.6625000000000001,0.65,0.7493852459016395,True,"{""10-4"": 0.65, ""13-14"": 0.675}",80,240,80
knn1,"1-16,2-16",0.8625,0.65,0.65,0.7413223140495867,True,"{""1-16"": 0.65, ""2-16"": 0.65}",80,240,80
knn1,"13-19,2-13",0.8625,0.65,0.65,0.7413223140495867,True,"{""13-19"": 0.65, ""2-13"": 0.65}",80,240,80
knn1,"18-15,2-7",0.8625,0.65,0.65,0.7413223140495867,True,"{""18-15"": 0.65, ""2-7"": 0.65}",80,240,80
knn1,"19-3,2-16",0.8583333333333333,0.7125,0.65,0.7786472148541115,True,"{""19-3"": 0.775, ""2-16"": 0.65}",80,240,80
knn1,"2-13,9-20",0.8583333333333333,0.7,0.65,0.7711229946524064,True,"{""2-13"": 0.75, ""9-20"": 0.65}",80,240,80
knn1,"18-15,19-6",0.8583333333333333,0.675,0.65,0.7557065217391304,True,"{""18-15"": 0.65, ""19-6"": 0.7}",80,240,80
knn1,"10-4,3-1",0.8583333333333333,0.6625000000000001,0.65,0.7478082191780823,True,"{""10-4"": 0.65, ""3-1"": 0.675}",80,240,80
knn1,"19-10,2-16",0.8583333333333333,0.6625000000000001,0.65,0.7478082191780823,True,"{""19-10"": 0.675, ""2-16"": 0.65}",80,240,80
knn1,"2-16,20-3",0.8583333333333333,0.6625000000000001,0.65,0.7478082191780823,True,"{""2-16"": 0.65, ""20-3"": 0.675}",80,240,80
knn1,"20-3,3-19",0.8583333333333333,0.6625000000000001,0.65,0.7478082191780823,True,"{""20-3"": 0.675, ""3-19"": 0.65}",80,240,80
knn1,"19-3,3-19",0.8541666666666666,0.7375,0.65,0.7915575916230366,True,"{""19-3"": 0.825, ""3-19"": 0.65}",80,240,80
knn1,"10-4,2-13",0.8541666666666666,0.7,0.65,0.7694369973190348,True,"{""10-4"": 0.65, ""2-13"": 0.75}",80,240,80
knn1,"10-4,19-6",0.8541666666666666,0.6875,0.65,0.7618243243243243,True,"{""10-4"": 0.65, ""19-6"": 0.725}",80,240,80
knn1,"19-9,20-3",0.8541666666666666,0.6875,0.65,0.7618243243243243,True,"{""19-9"": 0.725, ""20-3"": 0.65}",80,240,80
knn1,"10-4,19-13",0.8541666666666666,0.675,0.65,0.7540871934604904,True,"{""10-4"": 0.65, ""19-13"": 0.7}",80,240,80
knn1,"13-19,20-3",0.8541666666666666,0.6625000000000001,0.65,0.7462225274725275,True,"{""13-19"": 0.65, ""20-3"": 0.675}",80,240,80
knn1,"13-19,19-3",0.85,0.7375,0.65,0.7897637795275592,True,"{""13-19"": 0.65, ""19-3"": 0.825}",80,240,80
knn1,"2-16,6-6",0.85,0.7125,0.65,0.7752,True,"{""2-16"": 0.65, ""6-6"": 0.775}",80,240,80
knn1,"12-19,12-20",0.85,0.6625000000000001,0.65,0.7446280991735538,True,"{""12-19"": 0.675, ""12-20"": 0.65}",80,240,80
knn1,"20-3,9-20",0.85,0.65,0.65,0.7366666666666667,True,"{""20-3"": 0.65, ""9-20"": 0.65}",80,240,80
knn1,"1-16,19-3",0.8458333333333333,0.7375,0.65,0.7879605263157894,True,"{""1-16"": 0.65, ""19-3"": 0.825}",80,240,80
knn1,"10-4,19-3",0.8458333333333333,0.7250000000000001,0.65,0.7807692307692309,True,"{""10-4"": 0.65, ""19-3"": 0.8}",80,240,80
knn1,"19-3,9-20",0.8458333333333333,0.7250000000000001,0.65,0.7807692307692309,True,"{""19-3"": 0.8, ""9-20"": 0.65}",80,240,80
knn1,"2-16,9-1",0.8458333333333333,0.7,0.65,0.7660377358490565,True,"{""2-16"": 0.65, ""9-1"": 0.75}",80,240,80
knn5,"3-8,6-6",0.8458333333333333,0.675,0.65,0.750821917808219,True,"{""3-8"": 0.65, ""6-6"": 0.7}",80,240,80
knn1,"1-16,20-3",0.8458333333333333,0.6625000000000001,0.65,0.7430248618784532,True,"{""1-16"": 0.65, ""20-3"": 0.675}",80,240,80
