workspace_path,git_mirror,status,bytes
code/FJMP/summarize_experiments.py,github_publish/CVS-RFFI-repo/code/FJMP/summarize_experiments.py,IDENTICAL_ROLE_MIRROR_KEEP,4697
code/FJMP/train_fjmp.py,github_publish/CVS-RFFI-repo/code/FJMP/train_fjmp.py,IDENTICAL_ROLE_MIRROR_KEEP,78894
code/FJMP/__init__.py,github_publish/CVS-RFFI-repo/code/FJMP/__init__.py,IDENTICAL_ROLE_MIRROR_KEEP,264
code/losses/prototype_losses.py,github_publish/CVS-RFFI-repo/code/losses/prototype_losses.py,IDENTICAL_ROLE_MIRROR_KEEP,171
code/losses/__init__.py,github_publish/CVS-RFFI-repo/code/losses/__init__.py,IDENTICAL_ROLE_MIRROR_KEEP,483
code/models/__init__.py,github_publish/CVS-RFFI-repo/code/models/__init__.py,IDENTICAL_ROLE_MIRROR_KEEP,24
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v1_14552df1/release_evidence/build_stage2c_cache_binding_index.py,,LOCAL_ONLY_KEEP,8124
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v1_14552df1/release_evidence/stage2c_feature_completion_controller.py,,LOCAL_ONLY_KEEP,18055
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v1_14552df1/release_evidence/stage2c_package_completion_controller.py,,LOCAL_ONLY_KEEP,17192
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v1_14552df1/release_evidence/stage2c_sidecar_completion_controller.py,,LOCAL_ONLY_KEEP,13507
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v1_14552df1/release_evidence/verify_input_completion_summary.py,,LOCAL_ONLY_KEEP,12637
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v1_14552df1/release_evidence/verify_stage2c_plan_identity.py,,LOCAL_ONLY_KEEP,6974
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v1_14552df1/release_evidence/verify_states_completion.py,,LOCAL_ONLY_KEEP,7336
