boundary_margin_loss,episode_count,epoch,epoch_seconds,feature_anchor_loss,gradient_norm,learning_rate,loss,mean_base_margin,mean_margin,optimizer_steps,prototype_gram_loss,prototype_separation_loss,receiver,seed,support_train_acc,view_consistency_loss,xview_prototype_ce
0.0302513032220304,10,5,0.2636297750286758,0.018600212782621382,1.6283892214298248,0.02,1.3436152786016464,0.5852597951889038,0.5934667110443115,50,0.00040474218767485584,0.0010441868418638478,7-14,713104,0.85,0.0470349321141839,1.2686456620693207
0.01981264092028141,10,1,0.8804375869221985,5.9589745028176825e-06,0.5092934370040894,0.02,1.1862504214048386,0.6350399494171143,0.6352272957563401,10,5.493346767633715e-08,0.00016938025911218422,7-14,713105,0.8805555555555555,0.06263356041163207,1.1403164446353913
0.01897035986185074,10,2,0.17794423503801227,9.154031918114924e-05,0.6012871965765954,0.02,1.1739544808864593,0.6350399494171143,0.6362750947475433,20,1.1692090133408329e-06,0.00016981774670868366,7-14,713105,0.8805555555555555,0.06223341766744852,1.1297016054391862
0.018283299915492535,10,3,0.1037237592972815,0.000355855291854823,0.7501378864049911,0.02,1.1551066190004349,0.6350399494171143,0.638001662492752,30,5.545020002273304e-06,0.00017109219186668413,7-14,713105,0.8805555555555555,0.061689469031989574,1.112147605419159
0.019126076251268387,10,4,0.1037771818228066,0.0015771910606417806,0.9965883970260621,0.02,1.126892375946045,0.6350399494171143,0.6401675969362259,40,2.2339037241181358e-05,0.00018502292187747572,7-14,713105,0.8833333333333333,0.060756176523864266,1.081718572974205
0.02120957411825657,10,5,0.10498096095398068,0.004177189245820045,1.268855807185173,0.02,1.0880325615406037,0.6350399494171143,0.6432539612054825,50,5.909756314395054e-05,0.0002184710867652484,7-14,713105,0.8833333333333333,0.05921172983944416,1.0375194728374482
0.01961386203765869,10,1,0.9724787902086973,5.4884289306667e-06,0.46650445014238356,0.02,1.6877670168876648,0.45386082828044894,0.45424695312976837,10,1.2061955165085907e-07,0.003181264997432731,7-7,713101,0.725,0.07781903631985188,1.6399592816829682
0.017220174055546524,10,2,0.3090944327414036,0.00039265818741114346,1.0152361214160919,0.02,1.645091038942337,0.45386082828044894,0.457643124461174,20,1.1832543241041548e-05,0.003144878615622915,7-7,713101,0.7277777777777777,0.07780372016131878,1.6018817842006683
0.014938087295740842,10,3,0.2845684727653861,0.0029403679713141174,1.505600368976593,0.02,1.5449673593044282,0.45386082828044894,0.46659148931503297,30,6.47795674012741e-05,0.0031586453488959164,7-7,713101,0.7388888888888889,0.07749653980135918,1.5050492227077483
0.018725345097482204,10,4,0.17740981373935938,0.013098858459852637,2.1035172641277313,0.02,1.4285637438297272,0.45386082828044894,0.47697373032569884,40,0.0001779343363523367,0.003297825253936537,7-7,713101,0.7472222222222222,0.07595021985471248,1.3760551750659942
0.02220013616606593,10,5,0.1241694912314415,0.03124420717358589,2.4858390390872955,0.02,1.28752561211586,0.45386082828044894,0.4884044945240021,50,0.000298996487254044,0.003623478824033555,7-7,713101,0.75,0.07217439115047455,1.2192304015159607
0.019979767315089703,10,1,0.9871681299991906,3.23832045800998e-05,0.7148438364267349,0.02,1.7510908603668214,0.5221908271312714,0.5222110360860824,10,2.691932166193566e-07,0.0018484962623126933,7-7,713102,0.8055555555555556,0.06556377932429314,1.7040965795516967
0.018636613339185714,10,2,0.28681710222736,0.0002596202870336128,0.7951557844877243,0.02,1.7321818470954895,0.5221908271312714,0.5237766712903976,20,1.2170584643200754e-06,0.001837922684619997,7-7,713102,0.8083333333333333,0.06537659987807273,1.6877810955047607
