direct_old_accuracy,identity_qknn_old_accuracy,jg_delta_vs_direct,jg_delta_vs_identity_qknn,jg_old_accuracy,receiver,scenario,seed
0.8416666666666667,0.8583333333333333,0.025000000000000022,0.008333333333333415,0.8666666666666667,7-7,leo_clear_weak,713104
0.8166666666666667,0.825,-0.008333333333333304,-0.016666666666666607,0.8083333333333333,7-7,leo_low_elev_weak,713104
0.8666666666666667,0.8666666666666667,-0.025000000000000022,-0.025000000000000022,0.8416666666666667,7-7,leo_rain_weak,713104
0.8583333333333333,0.8666666666666667,0.01666666666666672,0.008333333333333304,0.875,7-7,leo_clear_weak,713105
0.8,0.8,-0.008333333333333415,-0.008333333333333415,0.7916666666666666,7-7,leo_low_elev_weak,713105
0.7916666666666666,0.7833333333333333,0.0,0.008333333333333304,0.7916666666666666,7-7,leo_rain_weak,713105
0.7833333333333333,0.825,0.04166666666666663,0.0,0.825,8-8,leo_clear_weak,713101
0.7166666666666667,0.825,0.08333333333333337,-0.02499999999999991,0.8,8-8,leo_low_elev_weak,713101
0.7,0.7416666666666667,0.10000000000000009,0.05833333333333335,0.8,8-8,leo_rain_weak,713101
0.7916666666666666,0.8583333333333333,0.10000000000000009,0.03333333333333344,0.8916666666666667,8-8,leo_clear_weak,713102
0.75,0.8,0.09999999999999998,0.04999999999999993,0.85,8-8,leo_low_elev_weak,713102
0.7166666666666667,0.8,0.06666666666666665,-0.01666666666666672,0.7833333333333333,8-8,leo_rain_weak,713102
0.7833333333333333,0.8083333333333333,0.008333333333333304,-0.01666666666666672,0.7916666666666666,8-8,leo_clear_weak,713103
0.7166666666666667,0.7583333333333333,0.050000000000000044,0.008333333333333415,0.7666666666666667,8-8,leo_low_elev_weak,713103
0.7333333333333333,0.7666666666666667,0.025000000000000022,-0.008333333333333415,0.7583333333333333,8-8,leo_rain_weak,713103
0.7583333333333333,0.8333333333333334,0.10833333333333339,0.033333333333333326,0.8666666666666667,8-8,leo_clear_weak,713104
0.7333333333333333,0.8,0.07500000000000007,0.008333333333333304,0.8083333333333333,8-8,leo_low_elev_weak,713104
0.7583333333333333,0.7666666666666667,0.025000000000000022,0.016666666666666607,0.7833333333333333,8-8,leo_rain_weak,713104
0.7916666666666666,0.85,0.050000000000000044,-0.008333333333333304,0.8416666666666667,8-8,leo_clear_weak,713105
0.75,0.7666666666666667,0.033333333333333326,0.016666666666666607,0.7833333333333333,8-8,leo_low_elev_weak,713105
0.6916666666666667,0.725,0.050000000000000044,0.01666666666666672,0.7416666666666667,8-8,leo_rain_weak,713105
