row,scenario,rx_idx,rx_label,tx_acc,tx_correct,tx_total
A6,leo_low_elev_weak,11,8-8,70.45416666666667,16909,24000
A6,leo_rain_weak,0,1-1,75.24583333333334,18059,24000
A6,leo_rain_weak,2,14-7,62.025,14886,24000
A6,leo_rain_weak,5,2-1,83.72916666666667,20095,24000
A6,leo_rain_weak,7,20-1,62.36666666666667,14968,24000
A6,leo_rain_weak,9,7-14,70.99166666666666,17038,24000
A6,leo_rain_weak,10,7-7,78.82916666666667,18919,24000
A6,leo_rain_weak,11,8-8,71.19583333333334,17087,24000
A7,clean,0,1-1,80.67083333333333,19361,24000
A7,clean,2,14-7,78.34166666666667,18802,24000
A7,clean,5,2-1,91.99583333333334,22079,24000
A7,clean,7,20-1,69.67916666666666,16723,24000
A7,clean,9,7-14,82.7125,19851,24000
A7,clean,10,7-7,91.14166666666667,21874,24000
A7,clean,11,8-8,76.77083333333333,18425,24000
A7,leo_clear_weak,0,1-1,77.825,18678,24000
A7,leo_clear_weak,2,14-7,64.3875,15453,24000
A7,leo_clear_weak,5,2-1,84.375,20250,24000
A7,leo_clear_weak,7,20-1,63.016666666666666,15124,24000
A7,leo_clear_weak,9,7-14,71.325,17118,24000
A7,leo_clear_weak,10,7-7,82.1625,19719,24000
A7,leo_clear_weak,11,8-8,71.55833333333334,17174,24000
A7,leo_low_elev_weak,0,1-1,75.20833333333333,18050,24000
A7,leo_low_elev_weak,2,14-7,62.36666666666667,14968,24000
A7,leo_low_elev_weak,5,2-1,82.8125,19875,24000
A7,leo_low_elev_weak,7,20-1,62.5375,15009,24000
A7,leo_low_elev_weak,9,7-14,71.325,17118,24000
A7,leo_low_elev_weak,10,7-7,80.00833333333334,19202,24000
A7,leo_low_elev_weak,11,8-8,70.35833333333333,16886,24000
A7,leo_rain_weak,0,1-1,75.29166666666667,18070,24000
A7,leo_rain_weak,2,14-7,63.041666666666664,15130,24000
A7,leo_rain_weak,5,2-1,82.98333333333333,19916,24000
A7,leo_rain_weak,7,20-1,62.9,15096,24000
A7,leo_rain_weak,9,7-14,72.04583333333333,17291,24000
A7,leo_rain_weak,10,7-7,79.30416666666666,19033,24000
A7,leo_rain_weak,11,8-8,71.19583333333334,17087,24000
P1,clean,0,1-1,80.5125,19323,24000
P1,clean,2,14-7,81.5125,19563,24000
P1,clean,5,2-1,92.80833333333334,22274,24000
P1,clean,7,20-1,72.79583333333333,17471,24000
P1,clean,9,7-14,81.925,19662,24000
P1,clean,10,7-7,89.89166666666667,21574,24000
P1,clean,11,8-8,78.2,18768,24000
P1,leo_clear_weak,0,1-1,77.575,18618,24000
P1,leo_clear_weak,2,14-7,63.891666666666666,15334,24000
P1,leo_clear_weak,5,2-1,85.06666666666666,20416,24000
P1,leo_clear_weak,7,20-1,62.6375,15033,24000
P1,leo_clear_weak,9,7-14,71.20833333333333,17090,24000
P1,leo_clear_weak,10,7-7,80.49166666666666,19318,24000
P1,leo_clear_weak,11,8-8,71.6375,17193,24000
P1,leo_low_elev_weak,0,1-1,74.91666666666667,17980,24000
P1,leo_low_elev_weak,2,14-7,62.416666666666664,14980,24000
P1,leo_low_elev_weak,5,2-1,83.62916666666666,20071,24000
P1,leo_low_elev_weak,7,20-1,61.99166666666667,14878,24000
P1,leo_low_elev_weak,9,7-14,71.1,17064,24000
P1,leo_low_elev_weak,10,7-7,78.15833333333333,18758,24000
P1,leo_low_elev_weak,11,8-8,70.47083333333333,16913,24000
P1,leo_rain_weak,0,1-1,74.87083333333334,17969,24000
P1,leo_rain_weak,2,14-7,62.88333333333333,15092,24000
P1,leo_rain_weak,5,2-1,83.61666666666666,20068,24000
P1,leo_rain_weak,7,20-1,62.483333333333334,14996,24000
P1,leo_rain_weak,9,7-14,71.35833333333333,17126,24000
P1,leo_rain_weak,10,7-7,77.5375,18609,24000
P1,leo_rain_weak,11,8-8,71.00833333333334,17042,24000
P2,clean,0,1-1,78.85416666666667,18925,24000
P2,clean,2,14-7,79.9125,19179,24000
P2,clean,5,2-1,92.36666666666666,22168,24000
P2,clean,7,20-1,71.71666666666667,17212,24000
P2,clean,9,7-14,80.90833333333333,19418,24000
P2,clean,10,7-7,89.77916666666667,21547,24000
P2,clean,11,8-8,78.47083333333333,18833,24000
P2,leo_clear_weak,0,1-1,77.025,18486,24000
P2,leo_clear_weak,2,14-7,63.354166666666664,15205,24000
P2,leo_clear_weak,5,2-1,85.25833333333334,20462,24000
P2,leo_clear_weak,7,20-1,62.50833333333333,15002,24000
P2,leo_clear_weak,9,7-14,71.54166666666667,17170,24000
P2,leo_clear_weak,10,7-7,81.13333333333334,19472,24000
P2,leo_clear_weak,11,8-8,71.35,17124,24000
P2,leo_low_elev_weak,0,1-1,74.29166666666667,17830,24000
P2,leo_low_elev_weak,2,14-7,62.0,14880,24000
P2,leo_low_elev_weak,5,2-1,83.77083333333333,20105,24000
P2,leo_low_elev_weak,7,20-1,61.920833333333334,14861,24000
P2,leo_low_elev_weak,9,7-14,71.275,17106,24000
P2,leo_low_elev_weak,10,7-7,78.51666666666667,18844,24000
P2,leo_low_elev_weak,11,8-8,70.42083333333333,16901,24000
P2,leo_rain_weak,0,1-1,74.36666666666666,17848,24000
P2,leo_rain_weak,2,14-7,62.666666666666664,15040,24000
P2,leo_rain_weak,5,2-1,83.75833333333334,20102,24000
P2,leo_rain_weak,7,20-1,62.270833333333336,14945,24000
P2,leo_rain_weak,9,7-14,71.55,17172,24000
P2,leo_rain_weak,10,7-7,77.65416666666667,18637,24000
P2,leo_rain_weak,11,8-8,71.06666666666666,17056,24000
P3,clean,0,1-1,81.98333333333333,19676,24000
P3,clean,2,14-7,81.95416666666667,19669,24000
P3,clean,5,2-1,92.925,22302,24000
P3,clean,7,20-1,72.675,17442,24000
P3,clean,9,7-14,83.84583333333333,20123,24000
P3,clean,10,7-7,90.17083333333333,21641,24000
P3,clean,11,8-8,78.6125,18867,24000
P3,leo_clear_weak,0,1-1,77.85833333333333,18686,24000
P3,leo_clear_weak,2,14-7,63.69583333333333,15287,24000
P3,leo_clear_weak,5,2-1,85.21666666666667,20452,24000
P3,leo_clear_weak,7,20-1,62.954166666666666,15109,24000
P3,leo_clear_weak,9,7-14,72.34166666666667,17362,24000
P3,leo_clear_weak,10,7-7,80.97083333333333,19433,24000
P3,leo_clear_weak,11,8-8,71.9125,17259,24000
P3,leo_low_elev_weak,0,1-1,74.84583333333333,17963,24000
P3,leo_low_elev_weak,2,14-7,62.30416666666667,14953,24000
P3,leo_low_elev_weak,5,2-1,83.8875,20133,24000
P3,leo_low_elev_weak,7,20-1,62.44166666666667,14986,24000
P3,leo_low_elev_weak,9,7-14,72.23333333333333,17336,24000
P3,leo_low_elev_weak,10,7-7,78.71666666666667,18892,24000
P3,leo_low_elev_weak,11,8-8,70.70833333333333,16970,24000
