variant,scene,category,group,correct,total,accuracy_percent
Ux,clean,named,test_unseen_day_rx_5,4937,6000,82.28333333333333
Ux,clean,named,test_unseen_day_rx_7,5354,6000,89.23333333333333
Ux,clean,named,test_unseen_day_rx_9,4298,6000,71.63333333333334
Ux,clean,named,test_unseen_day_rx_10,4639,6000,77.31666666666666
Ux,clean,named,test_unseen_day_rx_11,4532,6000,75.53333333333333
Ux,clean,receiver_all_days,0,18677,24000,77.82083333333334
Ux,clean,receiver_all_days,1,5081,6000,84.68333333333334
Ux,clean,receiver_all_days,2,14182,24000,59.09166666666667
Ux,clean,receiver_all_days,3,5705,6000,95.08333333333333
Ux,clean,receiver_all_days,4,5845,6000,97.41666666666667
Ux,clean,receiver_all_days,5,20650,24000,86.04166666666667
Ux,clean,receiver_all_days,6,5911,6000,98.51666666666667
Ux,clean,receiver_all_days,7,17156,24000,71.48333333333333
Ux,clean,receiver_all_days,8,5599,6000,93.31666666666666
Ux,clean,receiver_all_days,9,18877,24000,78.65416666666667
Ux,clean,receiver_all_days,10,19589,24000,81.62083333333334
Ux,clean,receiver_all_days,11,17904,24000,74.6
Ux,clean,class,0,31678,33000,95.9939393939394
Ux,clean,class,1,16698,33000,50.6
Ux,clean,class,2,20516,33000,62.16969696969697
Ux,clean,class,3,22235,33000,67.37878787878788
Ux,clean,class,4,32643,33000,98.91818181818182
Ux,clean,class,5,31406,33000,95.16969696969697
Ux,leo_clear_weak,aggregate,all,125463,198000,63.36515151515152
Ux,leo_clear_weak,named,test_unseen_day_seen_rx,23466,30000,78.22
Ux,leo_clear_weak,named,test_day_0,23466,30000,78.22
Ux,leo_clear_weak,named,test_seen_day_unseen_rx,76915,126000,61.04365079365079
Ux,leo_clear_weak,named,test_rx_0,13018,18000,72.32222222222222
Ux,leo_clear_weak,named,test_rx_2,7930,18000,44.05555555555556
Ux,leo_clear_weak,named,test_rx_5,13353,18000,74.18333333333334
Ux,leo_clear_weak,named,test_rx_7,7624,18000,42.355555555555554
Ux,leo_clear_weak,named,test_rx_9,12889,18000,71.60555555555555
Ux,leo_clear_weak,named,test_rx_10,10834,18000,60.18888888888889
Ux,leo_clear_weak,named,test_rx_11,11267,18000,62.59444444444444
Ux,leo_clear_weak,named,test_unseen_day_unseen_rx,25082,42000,59.71904761904762
Ux,leo_clear_weak,named,test_unseen_day_rx_0,3729,6000,62.15
Ux,leo_clear_weak,named,test_unseen_day_rx_2,2545,6000,42.416666666666664
Ux,leo_clear_weak,named,test_unseen_day_rx_5,3670,6000,61.166666666666664
Ux,leo_clear_weak,named,test_unseen_day_rx_7,3290,6000,54.833333333333336
Ux,leo_clear_weak,named,test_unseen_day_rx_9,3835,6000,63.916666666666664
Ux,leo_clear_weak,named,test_unseen_day_rx_10,4199,6000,69.98333333333333
Ux,leo_clear_weak,named,test_unseen_day_rx_11,3814,6000,63.56666666666667
Ux,leo_clear_weak,receiver_all_days,0,16747,24000,69.77916666666667
Ux,leo_clear_weak,receiver_all_days,1,4413,6000,73.55
