method,class_index,scene,source_correct,source_total,source_accuracy,target_accuracy
D2_PHYSICAL_ORBIT,5,leo_clear_weak,4455,4500,99.0,80.26071428571429
D2_PHYSICAL_ORBIT,5,leo_low_elev_weak,4440,4500,98.66666666666667,82.26071428571429
D2_PHYSICAL_ORBIT,5,leo_rain_weak,4452,4500,98.93333333333334,82.70357142857144
D3_TANGENT,0,clean,4434,4500,98.53333333333333,91.24642857142857
D3_TANGENT,0,leo_clear_weak,4206,4500,93.46666666666667,72.53571428571428
D3_TANGENT,0,leo_low_elev_weak,4065,4500,90.33333333333333,71.325
D3_TANGENT,0,leo_rain_weak,4025,4500,89.44444444444444,72.64642857142857
D3_TANGENT,1,clean,4418,4500,98.17777777777778,52.23214285714286
D3_TANGENT,1,leo_clear_weak,4121,4500,91.57777777777778,36.68571428571429
D3_TANGENT,1,leo_low_elev_weak,3969,4500,88.2,35.232142857142854
D3_TANGENT,1,leo_rain_weak,3988,4500,88.62222222222222,35.85357142857143
D3_TANGENT,2,clean,4461,4500,99.13333333333334,68.40357142857142
D3_TANGENT,2,leo_clear_weak,4433,4500,98.5111111111111,61.199999999999996
D3_TANGENT,2,leo_low_elev_weak,4403,4500,97.84444444444445,57.63928571428571
D3_TANGENT,2,leo_rain_weak,4409,4500,97.97777777777777,58.11785714285714
D3_TANGENT,3,clean,4363,4500,96.95555555555555,66.53571428571429
D3_TANGENT,3,leo_clear_weak,3902,4500,86.71111111111111,63.17857142857143
D3_TANGENT,3,leo_low_elev_weak,3754,4500,83.42222222222222,59.64285714285714
D3_TANGENT,3,leo_rain_weak,3710,4500,82.44444444444444,57.875
D3_TANGENT,4,clean,4450,4500,98.88888888888889,99.80714285714286
D3_TANGENT,4,leo_clear_weak,4435,4500,98.55555555555556,97.53571428571428
D3_TANGENT,4,leo_low_elev_weak,4415,4500,98.11111111111111,95.56428571428572
D3_TANGENT,4,leo_rain_weak,4406,4500,97.91111111111111,95.50357142857143
D3_TANGENT,5,clean,4460,4500,99.11111111111111,94.65
D3_TANGENT,5,leo_clear_weak,4458,4500,99.06666666666666,82.79285714285714
D3_TANGENT,5,leo_low_elev_weak,4440,4500,98.66666666666667,84.10714285714286
D3_TANGENT,5,leo_rain_weak,4447,4500,98.82222222222222,84.925
F3_R3_SWAP,0,clean,4436,4500,98.57777777777778,89.74642857142857
F3_R3_SWAP,0,leo_clear_weak,4174,4500,92.75555555555556,68.63928571428572
F3_R3_SWAP,0,leo_low_elev_weak,4001,4500,88.91111111111111,67.93928571428572
F3_R3_SWAP,0,leo_rain_weak,4010,4500,89.11111111111111,69.0
F3_R3_SWAP,1,clean,4419,4500,98.2,42.114285714285714
F3_R3_SWAP,1,leo_clear_weak,4086,4500,90.8,34.05714285714286
F3_R3_SWAP,1,leo_low_elev_weak,3871,4500,86.02222222222223,32.96071428571429
F3_R3_SWAP,1,leo_rain_weak,3915,4500,87.0,33.471428571428575
F3_R3_SWAP,2,clean,4464,4500,99.2,73.55357142857143
F3_R3_SWAP,2,leo_clear_weak,4426,4500,98.35555555555555,59.18571428571428
F3_R3_SWAP,2,leo_low_elev_weak,4392,4500,97.6,56.49642857142857
F3_R3_SWAP,2,leo_rain_weak,4409,4500,97.97777777777777,57.01071428571428
F3_R3_SWAP,3,clean,4390,4500,97.55555555555556,70.94642857142858
F3_R3_SWAP,3,leo_clear_weak,3996,4500,88.8,65.275
F3_R3_SWAP,3,leo_low_elev_weak,3847,4500,85.4888888888889,62.010714285714286
F3_R3_SWAP,3,leo_rain_weak,3822,4500,84.93333333333334,60.728571428571435
F3_R3_SWAP,4,clean,4457,4500,99.04444444444445,99.8
F3_R3_SWAP,4,leo_clear_weak,4446,4500,98.8,96.20714285714286
F3_R3_SWAP,4,leo_low_elev_weak,4414,4500,98.08888888888889,94.34642857142858
F3_R3_SWAP,4,leo_rain_weak,4418,4500,98.17777777777778,94.34285714285714
F3_R3_SWAP,5,clean,4457,4500,99.04444444444445,90.70714285714286
F3_R3_SWAP,5,leo_clear_weak,4456,4500,99.02222222222223,84.1
F3_R3_SWAP,5,leo_low_elev_weak,4431,4500,98.46666666666667,85.46785714285714
F3_R3_SWAP,5,leo_rain_weak,4446,4500,98.8,86.375
