row,epoch,family,metric,value
B0,4,LOSS-CORE-RAW,cls,8.8551
B0,4,LOSS-CORE-RAW,dom,2.1421
B0,4,LOSS-CORE-RAW,adv,2.7056
B0,4,LOSS-CORE-RAW,orth,0.0007
B0,4,LOSS-CORE-RAW,cons,0.3162
B0,4,LOSS-CORE-RAW,group_ce,10.5971
B0,4,LOSS-CORE-W,cls,8.8551
B0,4,LOSS-CORE-W,dom,2.1421
B0,4,LOSS-CORE-W,adv,0.947
B0,4,LOSS-CORE-W,orth,0.0
B0,4,LOSS-CORE-W,cons,0.0
B0,4,LOSS-CORE-W,group_ce,0.0
B0,4,LOSS-AUX-RAW,cls_pa,0.0
B0,4,LOSS-AUX-RAW,cls_dac,0.0
B0,4,LOSS-AUX-RAW,pa_joint_inv,0.0
B0,4,LOSS-AUX-RAW,pa_kl,0.0
B0,4,LOSS-AUX-RAW,dac_reg,0.0
B0,4,LOSS-AUX-RAW,pa_reg,0.0
B0,4,LOSS-AUX-RAW,gap_dac,0.0
B0,4,LOSS-AUX-RAW,gap_pa,0.0
B0,4,LOSS-AUX-RAW,cos_joint_pa,nan
B0,4,LOSS-AUX-RAW,cos_imp_pa,nan
B0,4,LOSS-AUX-W,cls_pa,0.0
B0,4,LOSS-AUX-W,cls_dac,0.0
B0,4,LOSS-AUX-W,pa_joint_inv,0.0
B0,4,LOSS-AUX-W,pa_kl,0.0
B0,4,LOSS-AUX-W,dac_reg,0.0
B0,4,LOSS-AUX-W,pa_reg,0.0
B0,4,LOSS-SAT-RAW,cls_sat,9.6302
B0,4,LOSS-SAT-RAW,sat_cons,0.0
B0,4,LOSS-SAT-RAW,sat_cos,nan
B0,4,LOSS-SAT-W,cls_sat,0.0
B0,4,LOSS-SAT-W,sat_cons,0.0
B0,4,LOSS-DG-RAW,proto,0.0
B0,4,LOSS-DG-RAW,proto_cos,nan
B0,4,LOSS-DG-RAW,supcon,0.0
B0,4,LOSS-DG-RAW,fishr,0.0
B0,4,LOSS-DG-RAW,feature_norm,17.7894
B0,4,LOSS-DG-RAW,z_id_norm,4.0337
B0,4,LOSS-DG-W,proto,0.0
B0,4,LOSS-DG-W,supcon,0.0
B0,4,LOSS-DG-W,fishr,0.0
B0,4,LOSS-DG-W,ow_feat,0.0
B0,4,LOSS-DG-W,feature_norm,0.0
B0,4,LOSS-OW-FEAT,loss,0.0
B0,4,LOSS-OW-FEAT,compact,0.0
B0,4,LOSS-OW-FEAT,inter,0.0
B0,4,LOSS-OW-FEAT,sample_margin,0.0
B0,4,LOSS-OW-FEAT,domain_align,0.0
B0,4,LOSS-OW-FEAT,active_cls,0.0
B0,4,LOSS-OW-FEAT,pos_deg,nan
B0,4,LOSS-OW-FEAT,min_inter_deg,nan
B0,4,LOSS-META-SSL,tx,0.0
B0,4,LOSS-META-SSL,proto,0.0
B0,4,LOSS-META-SSL,dom,0.0
B0,4,LOSS-META-SSL,adv,0.0
B0,4,LOSS-META-SSL,coverage,0.0
B0,4,LOSS-META-SSL,accepted,0.0
B0,4,LOSS-META-SSL,proto_agree,nan
B0,4,LOSS-META-SSL,teacher_conf,nan
B0,4,LOSS-META-SSL,active_proto,0.0
B0,4,LOSS-META-SSL-W,tx,0.0
B0,4,LOSS-META-SSL-W,proto,0.0
B0,4,LOSS-META-SSL-W,dom,0.0
B0,4,LOSS-META-SSL-W,adv,0.0
B0,4,LOSS-WEIGHT,dom,1.0
B0,4,LOSS-WEIGHT,adv,0.7
B0,4,LOSS-WEIGHT,orth,0.5
B0,4,LOSS-WEIGHT,cons,0.0
B0,4,LOSS-WEIGHT,group_ce,0.5
B0,4,LOSS-WEIGHT,aux_scale,0.067
B0,4,LOSS-TOP,cls,8.8551
B0,4,LOSS-TOP,dom,2.1421
B0,4,LOSS-TOP,adv,0.947
B0,4,LOSS-TOP,orth,0.0
B0,4,GRAD,total,1.327
B0,4,GRAD,backbone,1.0
B0,4,GRAD,aux,0.687
B0,4,GRAD,domain,0.5
B0,5,LOSS-CORE-RAW,total,10.9322
B0,5,LOSS-CORE-RAW,cls,7.9816
B0,5,LOSS-CORE-RAW,dom,2.0042
B0,5,LOSS-CORE-RAW,adv,2.7039
B0,5,LOSS-CORE-RAW,orth,0.0007
B0,5,LOSS-CORE-RAW,cons,0.3466
B0,5,LOSS-CORE-RAW,group_ce,9.9534
B0,5,LOSS-CORE-W,cls,7.9816
B0,5,LOSS-CORE-W,dom,2.0042
B0,5,LOSS-CORE-W,adv,0.9464
B0,5,LOSS-CORE-W,orth,0.0
B0,5,LOSS-CORE-W,cons,0.0
B0,5,LOSS-CORE-W,group_ce,0.0
B0,5,LOSS-AUX-RAW,cls_pa,0.0
B0,5,LOSS-AUX-RAW,cls_dac,0.0
B0,5,LOSS-AUX-RAW,pa_joint_inv,0.0
B0,5,LOSS-AUX-RAW,pa_kl,0.0
B0,5,LOSS-AUX-RAW,dac_reg,0.0
B0,5,LOSS-AUX-RAW,pa_reg,0.0
B0,5,LOSS-AUX-RAW,gap_dac,0.0
B0,5,LOSS-AUX-RAW,gap_pa,0.0
B0,5,LOSS-AUX-RAW,cos_joint_pa,nan
B0,5,LOSS-AUX-RAW,cos_imp_pa,nan
B0,5,LOSS-AUX-W,cls_pa,0.0
B0,5,LOSS-AUX-W,cls_dac,0.0
B0,5,LOSS-AUX-W,pa_joint_inv,0.0
B0,5,LOSS-AUX-W,pa_kl,0.0
B0,5,LOSS-AUX-W,dac_reg,0.0
B0,5,LOSS-AUX-W,pa_reg,0.0
B0,5,LOSS-SAT-RAW,cls_sat,8.9757
B0,5,LOSS-SAT-RAW,sat_cons,0.0
B0,5,LOSS-SAT-RAW,sat_cos,nan
B0,5,LOSS-SAT-W,cls_sat,0.0
B0,5,LOSS-SAT-W,sat_cons,0.0
B0,5,LOSS-DG-RAW,proto,0.0
B0,5,LOSS-DG-RAW,proto_cos,nan
B0,5,LOSS-DG-RAW,supcon,0.0
B0,5,LOSS-DG-RAW,fishr,0.0
B0,5,LOSS-DG-RAW,feature_norm,14.2918
B0,5,LOSS-DG-RAW,z_id_norm,3.5864
B0,5,LOSS-DG-W,proto,0.0
B0,5,LOSS-DG-W,supcon,0.0
B0,5,LOSS-DG-W,fishr,0.0
B0,5,LOSS-DG-W,ow_feat,0.0
B0,5,LOSS-DG-W,feature_norm,0.0
B0,5,LOSS-OW-FEAT,loss,0.0
B0,5,LOSS-OW-FEAT,compact,0.0
B0,5,LOSS-OW-FEAT,inter,0.0
B0,5,LOSS-OW-FEAT,sample_margin,0.0
B0,5,LOSS-OW-FEAT,domain_align,0.0
B0,5,LOSS-OW-FEAT,active_cls,0.0
B0,5,LOSS-OW-FEAT,pos_deg,nan
B0,5,LOSS-OW-FEAT,min_inter_deg,nan
B0,5,LOSS-META-SSL,tx,0.0
B0,5,LOSS-META-SSL,proto,0.0
B0,5,LOSS-META-SSL,dom,0.0
B0,5,LOSS-META-SSL,adv,0.0
B0,5,LOSS-META-SSL,coverage,0.0
B0,5,LOSS-META-SSL,accepted,0.0
B0,5,LOSS-META-SSL,proto_agree,nan
B0,5,LOSS-META-SSL,teacher_conf,nan
B0,5,LOSS-META-SSL,active_proto,0.0
B0,5,LOSS-META-SSL-W,tx,0.0
B0,5,LOSS-META-SSL-W,proto,0.0
B0,5,LOSS-META-SSL-W,dom,0.0
B0,5,LOSS-META-SSL-W,adv,0.0
B0,5,LOSS-WEIGHT,dom,1.0
B0,5,LOSS-WEIGHT,adv,0.7
B0,5,LOSS-WEIGHT,orth,0.5
B0,5,LOSS-WEIGHT,cons,0.0
B0,5,LOSS-WEIGHT,group_ce,0.5
B0,5,LOSS-WEIGHT,aux_scale,0.133
B0,5,LOSS-TOP,cls,7.9816
B0,5,LOSS-TOP,dom,2.0042
B0,5,LOSS-TOP,adv,0.9464
B0,5,LOSS-TOP,orth,0.0
B0,5,GRAD,total,1.368
B0,5,GRAD,backbone,1.0
B0,5,GRAD,aux,0.738
B0,5,GRAD,domain,0.5
B0,6,LOSS-CORE-RAW,total,9.9261
B0,6,LOSS-CORE-RAW,cls,7.0768
B0,6,LOSS-CORE-RAW,dom,1.9036
B0,6,LOSS-CORE-RAW,adv,2.7017
B0,6,LOSS-CORE-RAW,orth,0.0006
B0,6,LOSS-CORE-RAW,cons,0.3914
B0,6,LOSS-CORE-RAW,group_ce,9.3974
B0,6,LOSS-CORE-W,cls,7.0768
B0,6,LOSS-CORE-W,dom,1.9036
B0,6,LOSS-CORE-W,adv,0.9456
B0,6,LOSS-CORE-W,orth,0.0
B0,6,LOSS-CORE-W,cons,0.0
B0,6,LOSS-CORE-W,group_ce,0.0
B0,6,LOSS-AUX-RAW,cls_pa,0.0
B0,6,LOSS-AUX-RAW,cls_dac,0.0
B0,6,LOSS-AUX-RAW,pa_joint_inv,0.0
B0,6,LOSS-AUX-RAW,pa_kl,0.0
B0,6,LOSS-AUX-RAW,dac_reg,0.0
B0,6,LOSS-AUX-RAW,pa_reg,0.0
B0,6,LOSS-AUX-RAW,gap_dac,0.0
