candidate_id	receiver	seed	new_class_count	k_shot	old_before	old_after	direct_old	delta_before_direct	delta_after_direct	seen_new	H_old_new	min_old_after	avg_forgetting	mean_views	coverage	rollback	verdict
effective8-v14-rx8-8-s713105-n10-k10	8-8	713105	10	10	0.925000	0.666667	0.786111	0.138889	-0.119444	0.601667	0.632090	0.300000	0.258333	2.220833	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx8-8-s713105-n10-k20	8-8	713105	10	20	0.930556	0.683333	0.786111	0.144444	-0.102778	0.575000	0.624155	0.250000	0.247222	2.241667	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx8-8-s713105-n10-k5	8-8	713105	10	5	0.916667	0.716667	0.786111	0.130556	-0.069444	0.540000	0.614681	0.350000	0.200000	2.337500	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx8-8-s713105-n20-k1	8-8	713105	20	1	0.900000	0.655556	0.786111	0.113889	-0.130556	0.450000	0.532430	0.100000	0.244444	2.394872	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx8-8-s713105-n20-k10	8-8	713105	20	10	0.919444	0.669444	0.786111	0.133333	-0.116667	0.509167	0.578325	0.300000	0.250000	2.405128	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx8-8-s713105-n20-k20	8-8	713105	20	20	0.927778	0.680556	0.786111	0.141667	-0.105556	0.505000	0.579544	0.250000	0.247222	2.392308	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx8-8-s713105-n20-k5	8-8	713105	20	5	0.916667	0.722222	0.786111	0.130556	-0.063889	0.467500	0.567149	0.350000	0.194444	2.473077	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx8-8-s713105-n5-k1	8-8	713105	5	1	0.897222	0.752778	0.786111	0.111111	-0.033333	0.620000	0.679706	0.300000	0.144444	2.084848	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx8-8-s713105-n5-k10	8-8	713105	5	10	0.925000	0.752778	0.786111	0.138889	-0.033333	0.693333	0.720890	0.450000	0.172222	1.954545	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx8-8-s713105-n5-k20	8-8	713105	5	20	0.930556	0.722222	0.786111	0.144444	-0.063889	0.643333	0.680012	0.250000	0.208333	1.957576	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx8-8-s713105-n5-k5	8-8	713105	5	5	0.916667	0.772222	0.786111	0.130556	-0.013889	0.653333	0.707532	0.350000	0.144444	2.048485	3/3	REQUIRED	PERFORMANCE_FAIL
