before_accuracy,delta,k_shot,method,receiver,scenario,seed,target_old_accuracy
0.6416666507720947,-0.050000011920928955,2,protonet_cda,20-1,leo_rain_weak,713104,0.5916666388511658
0.699999988079071,0.15833336114883423,20,dadda_sda,20-1,leo_clear_weak,713104,0.8583333492279053
0.6583333611488342,0.14166665077209473,20,dadda_sda,20-1,leo_low_elev_weak,713104,0.800000011920929
0.6416666507720947,0.19166666269302368,20,dadda_sda,20-1,leo_rain_weak,713104,0.8333333134651184
0.699999988079071,0.23333334922790527,20,mrior_sda,20-1,leo_clear_weak,713104,0.9333333373069763
0.6583333611488342,0.2083333134651184,20,mrior_sda,20-1,leo_low_elev_weak,713104,0.8666666746139526
0.6416666507720947,0.27500003576278687,20,mrior_sda,20-1,leo_rain_weak,713104,0.9166666865348816
0.699999988079071,0.016666650772094727,20,protonet_cda,20-1,leo_clear_weak,713104,0.7166666388511658
0.6583333611488342,0.03333330154418945,20,protonet_cda,20-1,leo_low_elev_weak,713104,0.6916666626930237
0.6416666507720947,0.06666666269302368,20,protonet_cda,20-1,leo_rain_weak,713104,0.7083333134651184
0.699999988079071,-0.008333325386047363,5,dadda_sda,20-1,leo_clear_weak,713104,0.6916666626930237
0.6583333611488342,0.08333331346511841,5,dadda_sda,20-1,leo_low_elev_weak,713104,0.7416666746139526
0.6416666507720947,0.06666666269302368,5,dadda_sda,20-1,leo_rain_weak,713104,0.7083333134651184
0.699999988079071,0.125,5,mrior_sda,20-1,leo_clear_weak,713104,0.824999988079071
0.6583333611488342,0.125,5,mrior_sda,20-1,leo_low_elev_weak,713104,0.7833333611488342
0.6416666507720947,0.09166669845581055,5,mrior_sda,20-1,leo_rain_weak,713104,0.7333333492279053
0.699999988079071,-0.08333331346511841,5,protonet_cda,20-1,leo_clear_weak,713104,0.6166666746139526
0.6583333611488342,0.02499997615814209,5,protonet_cda,20-1,leo_low_elev_weak,713104,0.6833333373069763
0.6416666507720947,0.008333325386047363,5,protonet_cda,20-1,leo_rain_weak,713104,0.6499999761581421
0.7166666388511658,-0.05833327770233154,1,dadda_sda,20-1,leo_clear_weak,713105,0.6583333611488342
0.6333333253860474,-0.02499997615814209,1,dadda_sda,20-1,leo_low_elev_weak,713105,0.6083333492279053
0.6499999761581421,-0.041666626930236816,1,dadda_sda,20-1,leo_rain_weak,713105,0.6083333492279053
0.7166666388511658,-0.02499997615814209,1,mrior_sda,20-1,leo_clear_weak,713105,0.6916666626930237
0.6333333253860474,-0.04166668653488159,1,mrior_sda,20-1,leo_low_elev_weak,713105,0.5916666388511658
0.6499999761581421,0.08333337306976318,1,mrior_sda,20-1,leo_rain_weak,713105,0.7333333492279053
0.7166666388511658,-0.17499995231628418,1,protonet_cda,20-1,leo_clear_weak,713105,0.5416666865348816
0.6333333253860474,-0.07499998807907104,1,protonet_cda,20-1,leo_low_elev_weak,713105,0.5583333373069763
0.6499999761581421,-0.1083332896232605,1,protonet_cda,20-1,leo_rain_weak,713105,0.5416666865348816
0.7166666388511658,0.09166669845581055,10,dadda_sda,20-1,leo_clear_weak,713105,0.8083333373069763
0.6333333253860474,0.08333331346511841,10,dadda_sda,20-1,leo_low_elev_weak,713105,0.7166666388511658
0.6499999761581421,0.11666667461395264,10,dadda_sda,20-1,leo_rain_weak,713105,0.7666666507720947
0.7166666388511658,0.09166669845581055,10,mrior_sda,20-1,leo_clear_weak,713105,0.8083333373069763
0.6333333253860474,0.13333332538604736,10,mrior_sda,20-1,leo_low_elev_weak,713105,0.7666666507720947
0.6499999761581421,0.18333333730697632,10,mrior_sda,20-1,leo_rain_weak,713105,0.8333333134651184
0.7166666388511658,-0.06666666269302368,10,protonet_cda,20-1,leo_clear_weak,713105,0.6499999761581421
