method,scene,bin,count,mean_confidence,accuracy
H4,leo_low_elev_weak,9,15171,0.6287322044372559,0.33392655849456787
H4,leo_low_elev_weak,10,10386,0.6996076703071594,0.40419796109199524
H4,leo_low_elev_weak,11,9884,0.7666885256767273,0.44455686211586
H4,leo_low_elev_weak,12,11046,0.8347004055976868,0.48008328676223755
H4,leo_low_elev_weak,13,14908,0.9017634391784668,0.5484303832054138
H4,leo_low_elev_weak,14,41028,0.9833021759986877,0.8542946577072144
H4,leo_rain_weak,0,0,,
H4,leo_rain_weak,1,0,,
H4,leo_rain_weak,2,0,,
H4,leo_rain_weak,3,3,0.2530078887939453,0.0
H4,leo_rain_weak,4,270,0.314242959022522,0.24074074625968933
H4,leo_rain_weak,5,2495,0.3751041889190674,0.26813626289367676
H4,leo_rain_weak,6,8506,0.4386270344257355,0.3051963448524475
H4,leo_rain_weak,7,18786,0.5023699402809143,0.2771745026111603
H4,leo_rain_weak,8,35756,0.5699535012245178,0.2472032606601715
H4,leo_rain_weak,9,14955,0.6286506652832031,0.3334001898765564
H4,leo_rain_weak,10,10375,0.6994690299034119,0.4065542221069336
H4,leo_rain_weak,11,9722,0.7672626376152039,0.4542275369167328
H4,leo_rain_weak,12,11292,0.8346239328384399,0.4938894808292389
H4,leo_rain_weak,13,14651,0.901751697063446,0.5584601759910583
H4,leo_rain_weak,14,41189,0.9835915565490723,0.8535288572311401
cosine,clean,0,0,,
cosine,clean,1,0,,
cosine,clean,2,1175,0.18834315240383148,0.20425531268119812
cosine,clean,3,8678,0.24267546832561493,0.3811938166618347
cosine,clean,4,23128,0.3059777021408081,0.503848135471344
cosine,clean,5,135019,0.3495757579803467,0.8343936800956726
cosine,clean,6,0,,
cosine,clean,7,0,,
cosine,clean,8,0,,
cosine,clean,9,0,,
cosine,clean,10,0,,
cosine,clean,11,0,,
cosine,clean,12,0,,
cosine,clean,13,0,,
cosine,clean,14,0,,
cosine,leo_clear_weak,0,0,,
cosine,leo_clear_weak,1,0,,
cosine,leo_clear_weak,2,4540,0.18739737570285797,0.21607929468154907
cosine,leo_clear_weak,3,20670,0.23913823068141937,0.3354620337486267
cosine,leo_clear_weak,4,52455,0.3080141544342041,0.44914689660072327
cosine,leo_clear_weak,5,90335,0.3457793891429901,0.762406587600708
cosine,leo_clear_weak,6,0,,
cosine,leo_clear_weak,7,0,,
cosine,leo_clear_weak,8,0,,
cosine,leo_clear_weak,9,0,,
cosine,leo_clear_weak,10,0,,
cosine,leo_clear_weak,11,0,,
cosine,leo_clear_weak,12,0,,
cosine,leo_clear_weak,13,0,,
cosine,leo_clear_weak,14,0,,
cosine,leo_low_elev_weak,0,0,,
cosine,leo_low_elev_weak,1,0,,
cosine,leo_low_elev_weak,2,6645,0.18659645318984985,0.22889390587806702
cosine,leo_low_elev_weak,3,23705,0.23804910480976105,0.3422906696796417
cosine,leo_low_elev_weak,4,55700,0.3076239228248596,0.45272889733314514
cosine,leo_low_elev_weak,5,81950,0.3456812798976898,0.7671141028404236
cosine,leo_low_elev_weak,6,0,,
cosine,leo_low_elev_weak,7,0,,
cosine,leo_low_elev_weak,8,0,,
cosine,leo_low_elev_weak,9,0,,
cosine,leo_low_elev_weak,10,0,,
cosine,leo_low_elev_weak,11,0,,
cosine,leo_low_elev_weak,12,0,,
cosine,leo_low_elev_weak,13,0,,
cosine,leo_low_elev_weak,14,0,,
cosine,leo_rain_weak,0,0,,
cosine,leo_rain_weak,1,0,,
cosine,leo_rain_weak,2,6686,0.1867082417011261,0.24110080301761627
cosine,leo_rain_weak,3,23519,0.2379869967699051,0.33951273560523987
cosine,leo_rain_weak,4,55569,0.3076309561729431,0.45448002219200134
cosine,leo_rain_weak,5,82226,0.3457147479057312,0.7705591917037964
cosine,leo_rain_weak,6,0,,
cosine,leo_rain_weak,7,0,,
cosine,leo_rain_weak,8,0,,
cosine,leo_rain_weak,9,0,,
cosine,leo_rain_weak,10,0,,
cosine,leo_rain_weak,11,0,,
cosine,leo_rain_weak,12,0,,
cosine,leo_rain_weak,13,0,,
cosine,leo_rain_weak,14,0,,
diagonal_gaussian,clean,0,0,,
diagonal_gaussian,clean,1,0,,
diagonal_gaussian,clean,2,0,,
diagonal_gaussian,clean,3,0,,
diagonal_gaussian,clean,4,0,,
diagonal_gaussian,clean,5,0,,
diagonal_gaussian,clean,6,0,,
diagonal_gaussian,clean,7,43,0.5162713527679443,0.5348837375640869
diagonal_gaussian,clean,8,86,0.5664602518081665,0.41860464215278625
diagonal_gaussian,clean,9,83,0.6295145750045776,0.5060241222381592
diagonal_gaussian,clean,10,75,0.702183723449707,0.5333333611488342
diagonal_gaussian,clean,11,111,0.7682305574417114,0.44144144654273987
diagonal_gaussian,clean,12,138,0.837258517742157,0.4637681245803833
diagonal_gaussian,clean,13,199,0.903682291507721,0.43718594312667847
diagonal_gaussian,clean,14,167265,0.9998905062675476,0.6521268486976624
diagonal_gaussian,leo_clear_weak,0,0,,
diagonal_gaussian,leo_clear_weak,1,0,,
diagonal_gaussian,leo_clear_weak,2,0,,
diagonal_gaussian,leo_clear_weak,3,0,,
diagonal_gaussian,leo_clear_weak,4,0,,
diagonal_gaussian,leo_clear_weak,5,0,,
diagonal_gaussian,leo_clear_weak,6,0,,
diagonal_gaussian,leo_clear_weak,7,76,0.5175568461418152,0.30263158679008484
diagonal_gaussian,leo_clear_weak,8,126,0.5687012076377869,0.3730158805847168
diagonal_gaussian,leo_clear_weak,9,131,0.6329876184463501,0.3664122223854065
diagonal_gaussian,leo_clear_weak,10,123,0.6999453902244568,0.3414634168148041
diagonal_gaussian,leo_clear_weak,11,197,0.7688611149787903,0.3553299605846405
diagonal_gaussian,leo_clear_weak,12,239,0.836622416973114,0.31380751729011536
diagonal_gaussian,leo_clear_weak,13,323,0.9041326642036438,0.35913312435150146
diagonal_gaussian,leo_clear_weak,14,166785,0.9998089671134949,0.3802799880504608
diagonal_gaussian,leo_low_elev_weak,0,0,,
diagonal_gaussian,leo_low_elev_weak,1,0,,
diagonal_gaussian,leo_low_elev_weak,2,0,,
diagonal_gaussian,leo_low_elev_weak,3,0,,
diagonal_gaussian,leo_low_elev_weak,4,0,,
diagonal_gaussian,leo_low_elev_weak,5,0,,
diagonal_gaussian,leo_low_elev_weak,6,0,,
diagonal_gaussian,leo_low_elev_weak,7,50,0.5161641836166382,0.46000000834465027
diagonal_gaussian,leo_low_elev_weak,8,123,0.5661289095878601,0.3658536672592163
diagonal_gaussian,leo_low_elev_weak,9,130,0.632871150970459,0.3692307770252228
diagonal_gaussian,leo_low_elev_weak,10,148,0.7019559144973755,0.37837839126586914
diagonal_gaussian,leo_low_elev_weak,11,158,0.767177164554596,0.3607594966888428
diagonal_gaussian,leo_low_elev_weak,12,233,0.836968183517456,0.3476394712924957
diagonal_gaussian,leo_low_elev_weak,13,348,0.9029026031494141,0.35057470202445984
diagonal_gaussian,leo_low_elev_weak,14,166810,0.9998186826705933,0.3659672737121582
diagonal_gaussian,leo_rain_weak,0,0,,
diagonal_gaussian,leo_rain_weak,1,0,,
diagonal_gaussian,leo_rain_weak,2,0,,
diagonal_gaussian,leo_rain_weak,3,0,,
diagonal_gaussian,leo_rain_weak,4,0,,
diagonal_gaussian,leo_rain_weak,5,0,,
diagonal_gaussian,leo_rain_weak,6,0,,
diagonal_gaussian,leo_rain_weak,7,54,0.5153233408927917,0.20370370149612427
diagonal_gaussian,leo_rain_weak,8,116,0.5685121417045593,0.4137931168079376
diagonal_gaussian,leo_rain_weak,9,122,0.635596752166748,0.30327868461608887
diagonal_gaussian,leo_rain_weak,10,146,0.7022055387496948,0.33561643958091736
diagonal_gaussian,leo_rain_weak,11,175,0.7678307294845581,0.38285714387893677
diagonal_gaussian,leo_rain_weak,12,222,0.8361151814460754,0.38288289308547974
