method,scene,requested_coverage,attained_coverage,risk,threshold
H3,leo_clear_weak,0.7,0.7,0.4155697278911564,0.5541977286338806
H3,leo_clear_weak,0.8,0.8,0.45517113095238093,0.5083478093147278
H3,leo_clear_weak,0.9,0.9,0.48883597883597885,0.45622965693473816
H3,leo_clear_weak,0.95,0.95,0.5027568922305765,0.4154178500175476
H3,leo_clear_weak,1.0,1.0,0.5148273809523809,0.23028302192687988
H3,leo_low_elev_weak,0.1,0.1,0.01863095238095236,0.9972233772277832
H3,leo_low_elev_weak,0.2,0.2,0.11113095238095239,0.9541307687759399
H3,leo_low_elev_weak,0.3,0.3,0.20817460317460312,0.87408047914505
H3,leo_low_elev_weak,0.4,0.4,0.28433035714285715,0.7615728378295898
H3,leo_low_elev_weak,0.5,0.5,0.3418809523809524,0.644464373588562
H3,leo_low_elev_weak,0.6,0.6,0.3957440476190476,0.581648051738739
H3,leo_low_elev_weak,0.7,0.7,0.4414030612244898,0.5373916625976562
H3,leo_low_elev_weak,0.8,0.8,0.48071428571428576,0.4940817654132843
H3,leo_low_elev_weak,0.9,0.9,0.5125462962962963,0.4419986307621002
H3,leo_low_elev_weak,0.95,0.95,0.5249812030075187,0.40222182869911194
H3,leo_low_elev_weak,1.0,1.0,0.5364821428571429,0.22254320979118347
H3,leo_rain_weak,0.1,0.1,0.018750000000000044,0.9974802136421204
H3,leo_rain_weak,0.2,0.2,0.10750000000000004,0.9548994302749634
H3,leo_rain_weak,0.3,0.3,0.20498015873015873,0.8750157356262207
H3,leo_rain_weak,0.4,0.4,0.27919642857142857,0.7649534940719604
H3,leo_rain_weak,0.5,0.5,0.3361547619047619,0.648079514503479
H3,leo_rain_weak,0.6,0.6,0.3910515873015873,0.5837757587432861
H3,leo_rain_weak,0.7,0.7,0.4374659863945578,0.5404589772224426
H3,leo_rain_weak,0.8,0.8,0.47737351190476196,0.49773260951042175
H3,leo_rain_weak,0.9,0.9,0.5093981481481482,0.446935772895813
H3,leo_rain_weak,0.95,0.95,0.5223558897243108,0.4075931906700134
H3,leo_rain_weak,1.0,1.0,0.5333630952380952,0.22204704582691193
H4,clean,0.1,0.13569642857142858,0.00026319252533224535,1.0
H4,clean,0.2,0.20008333333333334,0.0006544892009281433,0.9999686479568481
H4,clean,0.3,0.3000059523809524,0.0028174044165790724,0.9990251064300537
H4,clean,0.4,0.4,0.044300595238095264,0.9956364035606384
H4,clean,0.5,0.5,0.07897619047619042,0.9810943603515625
H4,clean,0.6,0.6,0.11692460317460318,0.927653968334198
H4,clean,0.7,0.7,0.1556207482993197,0.8108410239219666
H4,clean,0.8,0.8,0.1863541666666667,0.629859209060669
H4,clean,0.9,0.9,0.23719576719576718,0.5297210216522217
H4,clean,0.95,0.95,0.2601065162907268,0.47820669412612915
H4,clean,1.0,1.0,0.2828333333333334,0.2571490705013275
H4,leo_clear_weak,0.1,0.1,0.008511904761904776,0.9987686276435852
H4,leo_clear_weak,0.2,0.2,0.08172619047619045,0.9697868824005127
H4,leo_clear_weak,0.3,0.3,0.17658730158730163,0.920769989490509
H4,leo_clear_weak,0.4,0.4,0.25200892857142854,0.840694010257721
H4,leo_clear_weak,0.5,0.5,0.3105714285714286,0.728188157081604
H4,leo_clear_weak,0.6,0.6,0.3592559523809524,0.6234457492828369
H4,leo_clear_weak,0.7,0.7,0.4100510204081632,0.5800212621688843
H4,leo_clear_weak,0.8,0.8,0.45273065476190477,0.5468183755874634
H4,leo_clear_weak,0.9,0.9,0.48238095238095235,0.4925015866756439
H4,leo_clear_weak,0.95,0.95,0.493765664160401,0.4548071026802063
H4,leo_clear_weak,1.0,1.0,0.504529761904762,0.2537422776222229
H4,leo_low_elev_weak,0.1,0.1,0.013571428571428568,0.9982694387435913
H4,leo_low_elev_weak,0.2,0.2,0.0971428571428572,0.9592633247375488
H4,leo_low_elev_weak,0.3,0.3,0.19946428571428576,0.8938586711883545
H4,leo_low_elev_weak,0.4,0.4,0.27644345238095236,0.7985265254974365
H4,leo_low_elev_weak,0.5,0.5,0.33544047619047623,0.6867979168891907
H4,leo_low_elev_weak,0.6,0.6,0.3878869047619048,0.6041344404220581
H4,leo_low_elev_weak,0.7,0.7,0.4390391156462585,0.5751901865005493
H4,leo_low_elev_weak,0.8,0.8,0.47898065476190477,0.541158139705658
H4,leo_low_elev_weak,0.9,0.9,0.5069708994708995,0.4870643615722656
H4,leo_low_elev_weak,0.95,0.95,0.518139097744361,0.4478745460510254
H4,leo_low_elev_weak,1.0,1.0,0.5279880952380953,0.22138307988643646
H4,leo_rain_weak,0.1,0.1,0.014880952380952328,0.9984180927276611
H4,leo_rain_weak,0.2,0.2,0.09467261904761903,0.9601607918739319
H4,leo_rain_weak,0.3,0.3,0.19712301587301584,0.894077718257904
H4,leo_rain_weak,0.4,0.4,0.2716517857142857,0.7996002435684204
H4,leo_rain_weak,0.5,0.5,0.32944047619047623,0.6866136193275452
H4,leo_rain_weak,0.6,0.6,0.38338293650793653,0.603621244430542
H4,leo_rain_weak,0.7,0.7,0.4357908163265306,0.5761122703552246
H4,leo_rain_weak,0.8,0.8,0.4755059523809524,0.5427610278129578
H4,leo_rain_weak,0.9,0.9,0.504563492063492,0.4895288944244385
H4,leo_rain_weak,0.95,0.95,0.5147744360902256,0.4510556161403656
H4,leo_rain_weak,1.0,1.0,0.5243392857142857,0.2366734892129898
cosine,clean,0.1,0.1,0.0942857142857143,0.3518775701522827
cosine,clean,0.2,0.20000595238095237,0.10919317877444124,0.35164618492126465
cosine,clean,0.3,0.3000059523809524,0.08478006388762127,0.3515227437019348
cosine,clean,0.4,0.40001190476190474,0.08094997172703189,0.35128480195999146
cosine,clean,0.5,0.5,0.09413095238095237,0.35072603821754456
cosine,clean,0.6,0.6,0.12346230158730154,0.3493492305278778
cosine,clean,0.7,0.7000059523809524,0.1425242982627699,0.34587475657463074
cosine,clean,0.8,0.8,0.16474702380952377,0.3341927230358124
cosine,clean,0.9,0.9,0.19843915343915342,0.2941267490386963
cosine,clean,0.95,0.95,0.2170864661654135,0.2602440416812897
cosine,clean,1.0,1.0,0.23892857142857138,0.16782647371292114
cosine,leo_clear_weak,0.1,0.1,0.06166666666666665,0.3510560095310211
cosine,leo_clear_weak,0.2,0.2,0.09532738095238091,0.34926527738571167
cosine,leo_clear_weak,0.3,0.3000059523809524,0.1329735521120613,0.34603151679039
cosine,leo_clear_weak,0.4,0.4,0.17677083333333332,0.34206622838974
cosine,leo_clear_weak,0.5,0.5,0.2213452380952381,0.33631014823913574
cosine,leo_clear_weak,0.6,0.6,0.26456349206349206,0.3268667459487915
cosine,leo_clear_weak,0.7,0.7000059523809524,0.3036028605198935,0.3109380602836609
cosine,leo_clear_weak,0.8,0.8,0.33737351190476195,0.2842552959918976
cosine,leo_clear_weak,0.9,0.9,0.36764550264550266,0.2471560835838318
cosine,leo_clear_weak,0.95,0.95,0.38368421052631574,0.2192031741142273
cosine,leo_clear_weak,1.0,1.0,0.4026964285714286,0.1666666716337204
cosine,leo_low_elev_weak,0.1,0.10000595238095238,0.05719897625141357,0.35094496607780457
cosine,leo_low_elev_weak,0.2,0.2,0.09979166666666661,0.34859371185302734
cosine,leo_low_elev_weak,0.3,0.3,0.14301587301587304,0.3447238504886627
cosine,leo_low_elev_weak,0.4,0.4,0.19229166666666664,0.33982744812965393
cosine,leo_low_elev_weak,0.5,0.5,0.23841666666666672,0.33220168948173523
cosine,leo_low_elev_weak,0.6,0.6,0.28258928571428577,0.32064351439476013
cosine,leo_low_elev_weak,0.7,0.7,0.3209013605442177,0.30183684825897217
cosine,leo_low_elev_weak,0.8,0.8,0.35405505952380956,0.27324122190475464
cosine,leo_low_elev_weak,0.9,0.9,0.3839285714285714,0.23622961342334747
cosine,leo_low_elev_weak,0.95,0.95,0.4002192982456141,0.20720510184764862
cosine,leo_low_elev_weak,1.0,1.0,0.4183511904761905,0.1666666716337204
cosine,leo_rain_weak,0.1,0.1,0.05958333333333332,0.3509673774242401
cosine,leo_rain_weak,0.2,0.2,0.09717261904761909,0.34868699312210083
cosine,leo_rain_weak,0.3,0.3,0.13956349206349206,0.34484001994132996
cosine,leo_rain_weak,0.4,0.4,0.18938988095238096,0.3399278521537781
cosine,leo_rain_weak,0.5,0.5,0.23442857142857143,0.33239760994911194
cosine,leo_rain_weak,0.6,0.6,0.28004960317460315,0.32083556056022644
cosine,leo_rain_weak,0.7,0.7,0.3176615646258504,0.3020089268684387
cosine,leo_rain_weak,0.8,0.8,0.35078869047619043,0.2736242413520813
cosine,leo_rain_weak,0.9,0.9,0.380978835978836,0.23642295598983765
cosine,leo_rain_weak,0.95,0.95,0.39770676691729323,0.2071658968925476
cosine,leo_rain_weak,1.0,1.0,0.41540476190476194,0.1666666716337204
diagonal_gaussian,clean,0.1,0.9714047619047619,0.34267996764626585,1.0
diagonal_gaussian,clean,0.2,0.9714047619047619,0.34267996764626585,1.0
diagonal_gaussian,clean,0.3,0.9714047619047619,0.34267996764626585,1.0
diagonal_gaussian,clean,0.4,0.9714047619047619,0.34267996764626585,1.0
diagonal_gaussian,clean,0.5,0.9714047619047619,0.34267996764626585,1.0
diagonal_gaussian,clean,0.6,0.9714047619047619,0.34267996764626585,1.0
diagonal_gaussian,clean,0.7,0.9714047619047619,0.34267996764626585,1.0
diagonal_gaussian,clean,0.8,0.9714047619047619,0.34267996764626585,1.0
diagonal_gaussian,clean,0.9,0.9714047619047619,0.34267996764626585,1.0
diagonal_gaussian,clean,0.95,0.9714047619047619,0.34267996764626585,1.0
diagonal_gaussian,clean,1.0,1.0,0.3486964285714286,0.500030517578125
diagonal_gaussian,leo_clear_weak,0.1,0.9553809523809523,0.6189876887803419,1.0
diagonal_gaussian,leo_clear_weak,0.2,0.9553809523809523,0.6189876887803419,1.0
diagonal_gaussian,leo_clear_weak,0.3,0.9553809523809523,0.6189876887803419,1.0
diagonal_gaussian,leo_clear_weak,0.4,0.9553809523809523,0.6189876887803419,1.0
diagonal_gaussian,leo_clear_weak,0.5,0.9553809523809523,0.6189876887803419,1.0
diagonal_gaussian,leo_clear_weak,0.6,0.9553809523809523,0.6189876887803419,1.0
diagonal_gaussian,leo_clear_weak,0.7,0.9553809523809523,0.6189876887803419,1.0
diagonal_gaussian,leo_clear_weak,0.8,0.9553809523809523,0.6189876887803419,1.0
diagonal_gaussian,leo_clear_weak,0.9,0.9553809523809523,0.6189876887803419,1.0
diagonal_gaussian,leo_clear_weak,0.95,0.9553809523809523,0.6189876887803419,1.0
diagonal_gaussian,leo_clear_weak,1.0,1.0,0.6199642857142857,0.5001029968261719
diagonal_gaussian,leo_low_elev_weak,0.1,0.9560833333333333,0.6337488015340365,1.0
diagonal_gaussian,leo_low_elev_weak,0.2,0.9560833333333333,0.6337488015340365,1.0
diagonal_gaussian,leo_low_elev_weak,0.3,0.9560833333333333,0.6337488015340365,1.0
diagonal_gaussian,leo_low_elev_weak,0.4,0.9560833333333333,0.6337488015340365,1.0
diagonal_gaussian,leo_low_elev_weak,0.5,0.9560833333333333,0.6337488015340365,1.0
diagonal_gaussian,leo_low_elev_weak,0.6,0.9560833333333333,0.6337488015340365,1.0
diagonal_gaussian,leo_low_elev_weak,0.7,0.9560833333333333,0.6337488015340365,1.0
diagonal_gaussian,leo_low_elev_weak,0.8,0.9560833333333333,0.6337488015340365,1.0
