method,scene,true_class,predicted_class,count,true_class_count,row_rate
H1,leo_clear_weak,3,3,22456,28000,0.8019999861717224
H1,leo_clear_weak,3,4,14,28000,0.0005000000237487257
H1,leo_clear_weak,3,5,88,28000,0.003142857225611806
H1,leo_clear_weak,4,0,5,28000,0.00017857142665889114
H1,leo_clear_weak,4,1,2276,28000,0.08128571510314941
H1,leo_clear_weak,4,2,26,28000,0.0009285714477300644
H1,leo_clear_weak,4,3,8058,28000,0.28778570890426636
H1,leo_clear_weak,4,4,17633,28000,0.6297500133514404
H1,leo_clear_weak,4,5,2,28000,7.142857066355646e-05
H1,leo_clear_weak,5,0,77,28000,0.002749999985098839
H1,leo_clear_weak,5,1,100,28000,0.0035714285913854837
H1,leo_clear_weak,5,2,209,28000,0.0074642859399318695
H1,leo_clear_weak,5,3,5689,28000,0.20317856967449188
H1,leo_clear_weak,5,4,983,28000,0.035107143223285675
H1,leo_clear_weak,5,5,20942,28000,0.7479285597801208
H1,leo_low_elev_weak,0,0,9045,28000,0.32303571701049805
H1,leo_low_elev_weak,0,1,2414,28000,0.08621428906917572
H1,leo_low_elev_weak,0,2,139,28000,0.004964285530149937
H1,leo_low_elev_weak,0,3,16369,28000,0.5846071243286133
H1,leo_low_elev_weak,0,4,25,28000,0.0008928571478463709
H1,leo_low_elev_weak,0,5,8,28000,0.0002857142826542258
H1,leo_low_elev_weak,1,0,210,28000,0.007499999832361937
H1,leo_low_elev_weak,1,1,7236,28000,0.25842857360839844
H1,leo_low_elev_weak,1,2,13,28000,0.0004642857238650322
H1,leo_low_elev_weak,1,3,20475,28000,0.731249988079071
H1,leo_low_elev_weak,1,4,55,28000,0.0019642857369035482
H1,leo_low_elev_weak,1,5,11,28000,0.00039285715320147574
H1,leo_low_elev_weak,2,0,304,28000,0.010857142508029938
H1,leo_low_elev_weak,2,1,1194,28000,0.04264285787940025
H1,leo_low_elev_weak,2,2,8464,28000,0.30228570103645325
H1,leo_low_elev_weak,2,3,16228,28000,0.5795714259147644
H1,leo_low_elev_weak,2,4,300,28000,0.010714286006987095
H1,leo_low_elev_weak,2,5,1510,28000,0.053928572684526443
H1,leo_low_elev_weak,3,0,966,28000,0.03449999913573265
H1,leo_low_elev_weak,3,1,4140,28000,0.14785714447498322
H1,leo_low_elev_weak,3,2,318,28000,0.011357142589986324
H1,leo_low_elev_weak,3,3,22439,28000,0.8013928532600403
H1,leo_low_elev_weak,3,4,36,28000,0.0012857143301516771
H1,leo_low_elev_weak,3,5,101,28000,0.003607142949476838
H1,leo_low_elev_weak,4,0,13,28000,0.0004642857238650322
H1,leo_low_elev_weak,4,1,2360,28000,0.08428571373224258
H1,leo_low_elev_weak,4,2,26,28000,0.0009285714477300644
H1,leo_low_elev_weak,4,3,9832,28000,0.35114285349845886
H1,leo_low_elev_weak,4,4,15757,28000,0.562749981880188
H1,leo_low_elev_weak,4,5,12,28000,0.00042857142398133874
H1,leo_low_elev_weak,5,0,159,28000,0.005678571294993162
H1,leo_low_elev_weak,5,1,96,28000,0.00342857139185071
H1,leo_low_elev_weak,5,2,246,28000,0.008785714395344257
H1,leo_low_elev_weak,5,3,5901,28000,0.21074999868869781
H1,leo_low_elev_weak,5,4,844,28000,0.030142856761813164
H1,leo_low_elev_weak,5,5,20754,28000,0.7412142753601074
H1,leo_rain_weak,0,0,9310,28000,0.33250001072883606
H1,leo_rain_weak,0,1,2428,28000,0.08671428263187408
H1,leo_rain_weak,0,2,141,28000,0.005035714246332645
H1,leo_rain_weak,0,3,16092,28000,0.5747143030166626
H1,leo_rain_weak,0,4,21,28000,0.000750000006519258
H1,leo_rain_weak,0,5,8,28000,0.0002857142826542258
H1,leo_rain_weak,1,0,253,28000,0.009035713970661163
H1,leo_rain_weak,1,1,7207,28000,0.25739285349845886
H1,leo_rain_weak,1,2,16,28000,0.0005714285653084517
H1,leo_rain_weak,1,3,20448,28000,0.7302857041358948
H1,leo_rain_weak,1,4,66,28000,0.0023571427445858717
H1,leo_rain_weak,1,5,10,28000,0.0003571428533177823
H1,leo_rain_weak,2,0,330,28000,0.011785713955760002
H1,leo_rain_weak,2,1,1172,28000,0.04185714200139046
H1,leo_rain_weak,2,2,8422,28000,0.30078572034835815
H1,leo_rain_weak,2,3,16195,28000,0.5783928632736206
H1,leo_rain_weak,2,4,244,28000,0.008714285679161549
H1,leo_rain_weak,2,5,1637,28000,0.05846428498625755
H1,leo_rain_weak,3,0,1052,28000,0.03757143020629883
H1,leo_rain_weak,3,1,4121,28000,0.14717857539653778
H1,leo_rain_weak,3,2,287,28000,0.010250000283122063
H1,leo_rain_weak,3,3,22394,28000,0.7997857332229614
H1,leo_rain_weak,3,4,37,28000,0.0013214285718277097
H1,leo_rain_weak,3,5,109,28000,0.003892857115715742
H1,leo_rain_weak,4,0,5,28000,0.00017857142665889114
H1,leo_rain_weak,4,1,2283,28000,0.0815357118844986
H1,leo_rain_weak,4,2,27,28000,0.0009642856894060969
H1,leo_rain_weak,4,3,9912,28000,0.3540000021457672
H1,leo_rain_weak,4,4,15765,28000,0.5630357265472412
H1,leo_rain_weak,4,5,8,28000,0.0002857142826542258
H1,leo_rain_weak,5,0,171,28000,0.00610714266076684
H1,leo_rain_weak,5,1,92,28000,0.003285714192315936
H1,leo_rain_weak,5,2,236,28000,0.008428571745753288
H1,leo_rain_weak,5,3,5395,28000,0.1926785707473755
H1,leo_rain_weak,5,4,818,28000,0.0292142853140831
H1,leo_rain_weak,5,5,21288,28000,0.7602857351303101
H2,clean,0,0,24226,28000,0.8652142882347107
H2,clean,0,1,255,28000,0.009107142686843872
H2,clean,0,2,174,28000,0.006214285735040903
H2,clean,0,3,2827,28000,0.10096428543329239
H2,clean,0,4,514,28000,0.01835714280605316
H2,clean,0,5,4,28000,0.0001428571413271129
H2,clean,1,0,268,28000,0.009571428410708904
H2,clean,1,1,12482,28000,0.4457857012748718
H2,clean,1,2,13,28000,0.0004642857238650322
H2,clean,1,3,14645,28000,0.5230357050895691
H2,clean,1,4,585,28000,0.020892856642603874
H2,clean,1,5,7,28000,0.0002500000118743628
H2,clean,2,0,377,28000,0.013464285992085934
H2,clean,2,1,434,28000,0.01549999974668026
H2,clean,2,2,14908,28000,0.5324285626411438
H2,clean,2,3,1912,28000,0.06828571110963821
H2,clean,2,4,8491,28000,0.3032500147819519
H2,clean,2,5,1878,28000,0.06707143038511276
H2,clean,3,0,1551,28000,0.055392857640981674
H2,clean,3,1,6165,28000,0.22017857432365417
H2,clean,3,2,34,28000,0.0012142857303842902
H2,clean,3,3,19038,28000,0.6799286007881165
H2,clean,3,4,1199,28000,0.042821429669857025
H2,clean,3,5,13,28000,0.0004642857238650322
H2,clean,4,0,1,28000,3.571428533177823e-05
H2,clean,4,1,8,28000,0.0002857142826542258
H2,clean,4,2,17,28000,0.0006071428651921451
H2,clean,4,3,3,28000,0.00010714285599533468
H2,clean,4,4,27970,28000,0.9989285469055176
H2,clean,4,5,1,28000,3.571428533177823e-05
H2,clean,5,0,0,28000,0.0
H2,clean,5,1,4,28000,0.0001428571413271129
H2,clean,5,2,57,28000,0.0020357142202556133
H2,clean,5,3,11,28000,0.00039285715320147574
H2,clean,5,4,3429,28000,0.12246428430080414
H2,clean,5,5,24499,28000,0.8749642968177795
