method,scene,accuracy,closed_set_accuracy,accepted_risk,coverage,nll,brier,ece,count,accepted_count,rx_floor,class_floor,rx_class_floor,prediction_seconds,mean_seconds_per_row,artifact_bytes,timing_scope,rescue_count,harm_count,prediction_change_count,raw_score_delta_mean,raw_true_class_margin_delta_mean,raw_scale_warning
H4,clean,0.686970238095238,0.7171666622161865,0.24920308589935303,0.9149880952380952,0.8786047101020813,0.4094918668270111,0.14152276255117613,168000,153718,0.5928750038146973,0.39760714769363403,0.12325000017881393,397.05410879291594,0.0023634173142435475,15794350,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",3969,11169,24830,255.41629028320312,11.054969787597656,logit scales differ; rescue/harm are decision comparisons
H4,leo_clear_weak,0.43768452380952383,0.49547022581100464,0.4852248430252075,0.8502440476190476,1.5380827188491821,0.6944798827171326,0.24494667217345523,168000,142841,0.35975000262260437,0.16396428644657135,0.013749999925494194,592.7247835341841,0.0035281237115130006,15794897,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",9348,25940,58104,268.5856628417969,-0.9060829877853394,logit scales differ; rescue/harm are decision comparisons
H4,leo_low_elev_weak,0.4173095238095238,0.47201189398765564,0.5073987245559692,0.8471547619047619,1.5806454420089722,0.714547336101532,0.25242446085167103,168000,142322,0.3552083373069763,0.13578571379184723,0.008999999612569809,589.525965235196,0.0035090831263999765,15794930,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",10082,27877,62601,269.1913146972656,-1.1808898448944092,logit scales differ; rescue/harm are decision comparisons
H4,leo_rain_weak,0.4201785714285714,0.4756607115268707,0.5056203305721283,0.8499107142857143,1.5695340633392334,0.7100142240524292,0.2495554132469806,168000,142785,0.3606249988079071,0.1359642893075943,0.010999999940395355,585.4344972507097,0.0034847291503018432,15794886,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",10457,28213,63320,269.1672058105469,-1.23973548412323,logit scales differ; rescue/harm are decision comparisons
cosine,clean,0.7610714285714286,0.7610714435577393,0.23892855644226074,1.0,1.2772060632705688,0.6104010343551636,0.4241472465582774,168000,168000,0.6277083158493042,0.5502142906188965,0.01875000074505806,67.09642449673265,0.00039938347914721817,10249728,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",360,184,1085,2.008701801300049,-9.395540237426758,logit scales differ; rescue/harm are decision comparisons
cosine,leo_clear_weak,0.5973035714285714,0.597303569316864,0.402696430683136,1.0,1.4421392679214478,0.6843418478965759,0.28071646171156317,168000,168000,0.4009166657924652,0.4043571352958679,0.039250001311302185,270.96113447705284,0.001612863895696743,10250056,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",928,412,2462,1.9798673391342163,-3.922736167907715,logit scales differ; rescue/harm are decision comparisons
cosine,leo_low_elev_weak,0.5816488095238095,0.5816488265991211,0.4183511734008789,1.0,1.4601190090179443,0.6922340393066406,0.27006476325914264,168000,168000,0.40591666102409363,0.3873571455478668,0.03824999928474426,275.2509988350794,0.0016383988025897582,10250080,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",1214,590,3337,1.966719388961792,-3.4796142578125,logit scales differ; rescue/harm are decision comparisons
cosine,leo_rain_weak,0.5845952380952381,0.584595263004303,0.415404736995697,1.0,1.45730721950531,0.6910224556922913,0.27288671117275953,168000,168000,0.41479167342185974,0.38514286279678345,0.03700000047683716,272.3999923369847,0.0016214285258153852,10250048,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",1109,564,3149,1.9652032852172852,-3.5828020572662354,logit scales differ; rescue/harm are decision comparisons
diagonal_gaussian,clean,0.6513035714285714,0.6513035893440247,0.34869641065597534,1.0,83.28917694091797,0.6958515644073486,0.34753431700482906,168000,168000,0.5372499823570251,0.24653571844100952,0.016750000417232513,67.48414020519704,0.00040169131074522044,10249728,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",3212,21477,37364,-404.81201171875,197.86935424804688,logit scales differ; rescue/harm are decision comparisons
diagonal_gaussian,leo_clear_weak,0.3800357142857143,0.38003572821617126,0.6199642717838287,1.0,158.43980407714844,1.2370717525482178,0.6180392930182279,168000,168000,0.23920834064483643,0.142464280128479,0.0005000000237487257,268.46838543377817,0.001598026103772489,10250056,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",7468,43453,73398,-450.11016845703125,-59.70503616333008,logit scales differ; rescue/harm are decision comparisons
diagonal_gaussian,leo_low_elev_weak,0.36594642857142856,0.3659464418888092,0.6340535581111908,1.0,164.3966064453125,1.2655725479125977,0.6322190251576103,168000,168000,0.2475833296775818,0.12514285743236542,0.0002500000118743628,273.30921343294904,0.0016268405561485062,10250080,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",8512,44126,76945,-452.7072448730469,-71.73159790039062,logit scales differ; rescue/harm are decision comparisons
diagonal_gaussian,leo_rain_weak,0.3695535714285714,0.3695535659790039,0.6304464340209961,1.0,162.00953674316406,1.258195161819458,0.6286120855656918,168000,168000,0.2524583339691162,0.13249999284744263,0.000750000006519258,266.1678278911859,0.0015843323088761065,10250048,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",8846,44428,77511,-452.30609130859375,-68.6783676147461,logit scales differ; rescue/harm are decision comparisons
linear_ridge,clean,0.7447857142857143,0.744785726070404,0.25521427392959595,1.0,1.3599603176116943,0.6526162624359131,0.43853831231126605,168000,168000,0.6115833520889282,0.5011785626411438,0.03824999928474426,67.32429284695536,0.00040073983837473427,10249728,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",1621,4181,7906,2.008181571960449,-9.529265403747559,logit scales differ; rescue/harm are decision comparisons
linear_ridge,leo_clear_weak,0.5292023809523809,0.529202401638031,0.470797598361969,1.0,1.5592724084854126,0.7398163080215454,0.2569542948731396,168000,168000,0.343666672706604,0.34896427392959595,0.04874999821186066,268.36469623073936,0.0015974089061353532,10250056,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",4199,15124,27697,1.9889299869537354,-4.08495569229126,logit scales differ; rescue/harm are decision comparisons
linear_ridge,leo_low_elev_weak,0.5187678571428571,0.5187678337097168,0.4812321662902832,1.0,1.569845199584961,0.744322657585144,0.2509023419033838,168000,168000,0.3540000021457672,0.35217857360839844,0.03700000047683716,274.21217868477106,0.0016322153493141135,10250080,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",5133,15073,29603,1.9798483848571777,-3.630276679992676,logit scales differ; rescue/harm are decision comparisons
linear_ridge,leo_rain_weak,0.523125,0.5231249928474426,0.4768750071525574,1.0,1.56496262550354,0.7421537041664124,0.25471031843517267,168000,168000,0.36262500286102295,0.35357141494750977,0.039250001311302185,267.8995347088203,0.0015946400875525017,10250048,"IQ access, per-row channel transform, batched forward and tensor save; not isolated kernel latency",5349,15131,29619,1.9783326387405396,-3.7309372425079346,logit scales differ; rescue/harm are decision comparisons
