run,row,epoch,kind,scenario,class,accuracy_pct
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,clean,3,69.6892857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,clean,4,99.725
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,clean,5,95.525
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_clear_weak,0,63.582142857142856
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_clear_weak,1,30.592857142857145
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_clear_weak,2,55.089285714285715
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_clear_weak,3,64.94642857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_clear_weak,4,93.54285714285714
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_clear_weak,5,84.66428571428571
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_low_elev_weak,0,64.27857142857142
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_low_elev_weak,1,30.214285714285715
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_low_elev_weak,2,52.40714285714285
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_low_elev_weak,3,60.775
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_low_elev_weak,4,91.41071428571429
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_low_elev_weak,5,85.15
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_rain_weak,0,65.70357142857142
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_rain_weak,1,31.185714285714283
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_rain_weak,2,52.107142857142854
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_rain_weak,3,58.58214285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_rain_weak,4,91.02857142857142
a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,200,final,leo_rain_weak,5,86.0142857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,clean,0,90.425
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,clean,1,40.83571428571429
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,clean,2,71.85357142857143
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,clean,3,67.72857142857143
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,clean,4,99.775
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,clean,5,85.36785714285713
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_clear_weak,0,62.63928571428572
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_clear_weak,1,29.099999999999998
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_clear_weak,2,55.39642857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_clear_weak,3,63.81071428571429
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_clear_weak,4,93.31071428571428
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_clear_weak,5,86.09285714285714
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_low_elev_weak,0,63.03214285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_low_elev_weak,1,28.167857142857144
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_low_elev_weak,2,52.72857142857143
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_low_elev_weak,3,59.61428571428572
