run,row,epoch,epoch_time_s,train_time_periodic_target_seconds,train_loss,val_tx_acc,stage_source_val_sat_mean_tx,train_optimizer_step_applied,train_skipped_nonfinite_grad,train_skipped_nonfinite_loss,lr
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,14,141.88539958000183,,5.226902041349325,97.01481481481481,47.406172839506176,1.0,0.0,0.0,0.000198804122605216
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,15,142.1243016719818,,5.421994739824587,97.47037037037038,50.38395061728395,0.990990990990991,0.009009009009009009,0.0,0.00019848736017195526
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,16,144.22778630256653,,5.42008232425999,97.15185185185184,50.42222222222222,1.0,0.0,0.0,0.00019813377428816792
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,17,156.66534948349,,5.2519950007533165,97.21851851851852,50.81111111111111,1.0,0.0,0.0,0.00019774351209636413
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,18,157.9246802330017,,5.18566797552882,97.18888888888888,49.94567901234567,1.0,0.0,0.0,0.00019731673600166582
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,19,139.0950858592987,,5.352425334689854,97.36666666666666,50.97283950617284,1.0,0.0,0.0,0.0001968536236042226
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,20,174.52523803710938,,5.174555964835055,97.91851851851852,52.26790123456791,1.0,0.0,0.0,0.0001963543676253048
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,21,205.51307344436646,,5.778367997289778,97.92962962962963,52.18024691358025,1.0,0.0,0.0,0.0001958191758271035
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,22,202.3792896270752,,5.458807632729814,97.76666666666667,53.01111111111111,1.0,0.0,0.0,0.00019524827092627192
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,23,201.0690200328827,,5.4911351901990875,97.33703703703704,53.906172839506176,1.0,0.0,0.0,0.00019464189050124307
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,24,204.1177282333374,,5.365922910673124,97.96296296296296,54.2358024691358,1.0,0.0,0.0,0.00019400028689336302
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,25,215.89884853363037,,5.2055123330236555,97.80740740740741,56.29753086419753,1.0,0.0,0.0,0.0001933237271018808
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,26,209.29890275001526,,5.279691056088284,98.07407407407408,56.27654320987654,1.0,0.0,0.0,0.00019261249267283836
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,27,207.49514389038086,,5.696657232336096,97.26296296296296,58.412345679012354,0.9954954954954955,0.0045045045045045045,0.0,0.00019186687958190667
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,28,205.5626139640808,,5.160142635439967,96.74444444444444,57.27037037037038,1.0,0.0,0.0,0.00019108719811121772
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,29,204.51770520210266,,5.283378511935741,96.91851851851852,58.45432098765432,1.0,0.0,0.0,0.00019027377272024247
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,30,206.18575358390808,,5.280097205359657,98.25555555555556,58.198765432098774,1.0,0.0,0.0,0.00018942694191076892
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,31,233.8310730457306,,5.130672923079482,98.01481481481481,60.18888888888889,1.0,0.0,0.0,0.00018854705808603705
