arm,experiment_id,receiver,seed,k_shot,old_acc_candidate,old_acc_baseline,delta_old_acc,seen_new_acc_candidate,seen_new_acc_baseline,delta_seen_new_acc,H_old_new_candidate,H_old_new_baseline,delta_H_old_new
singleview_fft96,cvs_qknnv42_stage2c_rx20-1_k5_seed713104,20-1,713104,5,0.7388888888888889,0.5972222222222222,0.14166666666666672,0.7083333333333334,0.6416666666666666,0.06666666666666676,0.7230808987760207,0.6154772934072298,0.10760360536879088
singleview_fft96,cvs_qknnv42_stage2c_rx20-1_k1_seed713105,20-1,713105,1,0.5638888888888889,0.47500000000000003,0.08888888888888885,0.525,0.5083333333333333,0.01666666666666672,0.5416373220477698,0.4910715374020307,0.05056578464573913
singleview_fft96,cvs_qknnv42_stage2c_rx20-1_k10_seed713105,20-1,713105,10,0.8722222222222221,0.6944444444444443,0.1777777777777778,0.7583333333333333,0.6750000000000002,0.08333333333333315,0.8111962110348926,0.6815355861379843,0.12966062489690833
singleview_fft96,cvs_qknnv42_stage2c_rx20-1_k2_seed713105,20-1,713105,2,0.7416666666666666,0.6472222222222223,0.09444444444444433,0.5416666666666666,0.5416666666666666,0.0,0.625564762971258,0.586889331224112,0.03867543174714594
singleview_fft96,cvs_qknnv42_stage2c_rx20-1_k20_seed713105,20-1,713105,20,0.8972222222222223,0.7194444444444444,0.1777777777777778,0.7916666666666666,0.6666666666666666,0.125,0.8376593560933449,0.6912709539747933,0.14638840211855153
singleview_fft96,cvs_qknnv42_stage2c_rx20-1_k5_seed713105,20-1,713105,5,0.8249999999999998,0.6833333333333332,0.1416666666666666,0.7166666666666668,0.6833333333333332,0.03333333333333355,0.7651612320906017,0.6771007476259324,0.0880604844646693
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k1_seed713101,3-19,713101,1,0.4222222222222222,0.32222222222222224,0.09999999999999998,0.3333333333333333,0.30833333333333335,0.024999999999999967,0.3596730206325409,0.3057214683146449,0.053951552317896
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k10_seed713101,3-19,713101,10,0.6222222222222222,0.55,0.07222222222222219,0.47500000000000003,0.39999999999999997,0.07500000000000007,0.5354279350380581,0.44876912970337957,0.08665880533467851
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k2_seed713101,3-19,713101,2,0.5333333333333333,0.4444444444444445,0.08888888888888885,0.325,0.3,0.025000000000000022,0.3840378197997776,0.3276030204962244,0.05643479930355316
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k20_seed713101,3-19,713101,20,0.6333333333333334,0.55,0.08333333333333337,0.45,0.47500000000000003,-0.025000000000000022,0.5161056636675294,0.5057281350873005,0.01037752858022889
