id,version,variant,description,clean,test_unseen_day_seen_rx__clean,test_seen_day_unseen_rx__clean,test_unseen_day_unseen_rx__clean,macro_f1__clean,worst_strict_rx__clean,worst_strict_rx_id__clean,worst_class__clean,worst_class_id__clean,leo_clear_weak,test_unseen_day_seen_rx__leo_clear_weak,test_seen_day_unseen_rx__leo_clear_weak,test_unseen_day_unseen_rx__leo_clear_weak,macro_f1__leo_clear_weak,worst_strict_rx__leo_clear_weak,worst_strict_rx_id__leo_clear_weak,worst_class__leo_clear_weak,worst_class_id__leo_clear_weak,leo_low_elev_weak,test_unseen_day_seen_rx__leo_low_elev_weak,test_seen_day_unseen_rx__leo_low_elev_weak,test_unseen_day_unseen_rx__leo_low_elev_weak,macro_f1__leo_low_elev_weak,worst_strict_rx__leo_low_elev_weak,worst_strict_rx_id__leo_low_elev_weak,worst_class__leo_low_elev_weak,worst_class_id__leo_low_elev_weak,leo_rain_weak,test_unseen_day_seen_rx__leo_rain_weak,test_seen_day_unseen_rx__leo_rain_weak,test_unseen_day_unseen_rx__leo_rain_weak,macro_f1__leo_rain_weak,worst_strict_rx__leo_rain_weak,worst_strict_rx_id__leo_rain_weak,worst_class__leo_rain_weak,worst_class_id__leo_rain_weak,leo_mean,test_unseen_day_seen_rx__leo_mean,test_seen_day_unseen_rx__leo_mean,test_unseen_day_unseen_rx__leo_mean,macro_f1__leo_mean,worst_strict_rx__leo_mean,worst_class__leo_mean,wall_hours,allocated_gib
V2/U3,V2,U3,U1加决策保护/校准,77.50353535353536,92.41666666666667,75.77619047619048,72.03333333333333,76.91435199518604,49.36666666666667,2,42.554545454545455,1,63.743434343434345,79.23333333333333,61.602380952380955,59.102380952380955,63.72568408406923,36.45,2,28.71818181818182,1,61.24393939393939,75.66666666666667,59.23968253968254,56.9547619047619,61.158508054562674,38.96666666666667,2,26.90909090909091,1,61.59191919191919,76.07666666666667,59.7015873015873,56.916666666666664,61.4430888123993,39.0,2,27.387878787878787,1,62.193097643097644,76.99222222222222,60.18121693121693,57.657936507936505,62.10909365034374,38.13888888888889,27.671717171717173,4.2803120115730495,9.724115371704102
V1/U2,V1,U2,U1加响应预测,77.89696969696969,92.36,76.68333333333334,71.20714285714286,77.3394702394795,54.083333333333336,2,49.224242424242426,1,63.69747474747475,78.34333333333333,61.57142857142857,59.614285714285714,63.88249322734862,38.6,2,33.83030303030303,1,61.077777777777776,74.58666666666667,59.182539682539684,57.114285714285714,61.24638436931434,39.5,2,31.145454545454545,1,61.217171717171716,74.91,59.36904761904762,56.98095238095238,61.29083015754147,39.583333333333336,2,31.763636363636362,1,61.99747474747475,75.94666666666667,60.04100529100529,57.9031746031746,62.13990258473481,39.22777777777778,32.246464646464645,7.3660794436269335,9.722604751586914
V1/Ux,V1,Ux,原始身份特征交互压零,78.37171717171717,93.80333333333333,75.85,74.91428571428571,77.71181274227736,61.61666666666667,2,50.6,1,63.36515151515152,78.22,61.04365079365079,59.71904761904762,63.09370433466072,42.416666666666664,2,32.84848484848485,1,61.23686868686869,74.72333333333333,59.26587301587302,57.516666666666666,60.839980168794625,42.95,2,31.26969696969697,1,61.35606060606061,75.09666666666666,59.43809523809524,57.2952380952381,60.901521898676684,42.4,2,31.533333333333335,1,61.98602693602694,76.01333333333334,59.91587301587302,58.17698412698413,61.61173546737734,42.588888888888896,31.883838383838384,7.1849959228436155,9.510751247406006
V1/U4_additive,V1,U4_additive,加性响应预测与决策保护联合,78.96969696969697,92.95,77.36984126984127,73.78333333333333,78.51122619714988,51.45,2,41.78181818181818,1,62.88636363636363,78.13333333333334,60.79047619047619,58.28333333333333,63.15746825941597,34.3,2,32.403030303030306,1,61.0510101010101,74.84333333333333,59.195238095238096,56.766666666666666,61.26069933186591,37.55,2,30.193939393939395,1,61.63232323232323,75.67666666666666,59.88809523809524,56.833333333333336,61.77819975168426,37.18333333333333,2,30.78181818181818,1,61.85656565656566,76.21777777777778,59.957936507936516,57.294444444444444,62.065455780988714,36.34444444444444,31.126262626262626,11.12599540260103,9.725178718566895
V1/permanent_detach,V1,permanent_detach,永久切断响应到身份路径，保留决策损失的机制对照,78.97626262626262,93.40333333333334,77.2063492063492,73.98095238095237,78.5958706611605,51.18333333333333,2,48.233333333333334,1,62.96969696969697,78.55333333333333,60.55793650793651,59.07380952380952,63.3158799531541,34.56666666666667,2,33.02121212121212,1,60.96515151515152,75.44666666666667,58.703968253968256,57.404761904761905,61.250354439206376,37.46666666666667,2,30.48787878787879,1,61.33080808080808,76.1,59.2,57.173809523809524,61.51423619973383,37.65,2,30.848484848484848,1,61.75521885521886,76.7,59.48730158730158,57.884126984126986,62.0268235306981,36.56111111111111,31.452525252525252,11.318336536619398,9.723356246948242
V1/U0,V1,U0,历史ADV3B02_CORE90基线，本轮从零训练，关闭新增交叉机制,77.30050505050505,91.68333333333334,74.96904761904761,74.02142857142857,77.07008253682125,59.78333333333333,9,51.08181818181818,1,62.843434343434346,77.93666666666667,60.42063492063492,59.33095238095238,62.76464056980291,34.4,2,28.36060606060606,1,60.792929292929294,74.46333333333334,58.60634920634921,57.588095238095235,60.538473609215174,35.86666666666667,2,25.94848484848485,1,61.27424242424242,75.53666666666666,59.08968253968254,57.64047619047619,61.065420875072554,36.4,2,26.55151515151515,1,61.63686868686869,75.97888888888889,59.37222222222223,58.18650793650793,61.45617835136355,35.55555555555555,26.953535353535354,7.252324801617198,9.511024951934814
V1/U4_bilinear,V1,U4_bilinear,双线性响应预测与决策保护联合,77.26565656565657,92.30666666666667,74.86111111111111,73.73571428571428,76.8635410236311,51.55,2,41.91818181818182,1,62.67626262626263,78.71,60.18015873015873,58.71190476190476,63.01996630329253,33.333333333333336,2,32.36666666666667,1,60.67575757575757,75.05666666666667,58.541269841269845,56.80714285714286,60.95310259698879,36.93333333333333,2,29.806060606060605,1,61.188383838383835,76.14,59.0468253968254,56.93333333333333,61.41252892899326,35.766666666666666,2,30.406060606060606,1,61.513468013468014,76.63555555555554,59.25608465608466,57.48412698412699,61.79519927642486,35.34444444444444,30.85959595959596,10.876453072958522,9.721281051635742
V2/Ux,V2,Ux,原始身份特征交互压零,78.4479797979798,92.65333333333334,76.65714285714286,73.67380952380952,77.98514489985273,58.7,2,51.551515151515154,1,62.82727272727273,78.64,60.50952380952381,58.48571428571429,62.939076707058,38.43333333333333,2,30.5,1,60.20050505050505,74.99666666666667,58.12619047619047,55.85476190476191,60.32722141279353,39.11666666666667,2,28.766666666666666,1,60.31111111111111,75.39,58.24444444444445,55.74047619047619,60.377376814026235,39.35,2,29.06969696969697,1,61.11296296296296,76.34222222222222,58.960052910052916,56.6936507936508,61.21455831129259,38.96666666666667,29.44545454545455,3.623050004641215,9.509773254394531
