row,mode,interval,interval_name,epoch_start,epoch_end,record_count,actual_nmfdu_stages,mean_epoch_time_s,mean_train_loss,mean_train_loss_labeled,mean_train_loss_unlabeled,mean_train_tx_acc,mean_val_tx_acc,mean_stage_source_val_sat_mean_tx,mean_stage_source_val_sat_floor_tx,mean_train_nmfdu_loss_total,mean_train_nmfdu_loss_branch_aux,mean_train_nmfdu_loss_route,mean_train_nmfdu_loss_phys,mean_train_nmfdu_loss_fused_pair,mean_train_nmfdu_loss_branch_pair,mean_train_nmfdu_loss_null_cal,mean_train_nmfdu_loss_balance,mean_train_nmfdu_entropy_mean,mean_train_nmfdu_null_mean,mean_train_nmfdu_q_labeled_mean,mean_train_nmfdu_q_unlabeled_mean,mean_train_reliable_ratio,mean_train_optimizer_step_applied,mean_train_skipped_nonfinite_grad,mean_train_skipped_nonfinite_loss,sum_train_pseudo_selected,sum_train_pseudo_total,aggregate_pseudo_selection_rate,start_val_tx_acc,end_val_tx_acc,start_stage_source_val_sat_mean_tx,end_stage_source_val_sat_mean_tx,start_stage_source_val_sat_floor_tx,end_stage_source_val_sat_floor_tx,start_train_loss,end_train_loss,start_train_nmfdu_null_mean,end_train_nmfdu_null_mean,start_train_nmfdu_q_labeled_mean,end_train_nmfdu_q_labeled_mean
E3,i_d,S3-L,联合微调（仅L_s）,121,130,10,3,696.7549676179885,18.50089509730436,18.50089509730436,0.0,40.14827806122449,93.90962962962962,36.455555555555556,35.727037037037036,2.245655227194027,10.18972224216072,1.8072059738392732,0.008577392596219268,0.0,0.0,0.5170704976028325,0.027889404867832757,0.6698454788144754,0.8020272882617249,0.19797271258976995,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,92.55555555555556,94.84074074074074,34.94938271604938,37.640740740740746,34.407407407407405,36.803703703703704,21.219349569203903,18.24365656716483,0.8049605707732999,0.7995651169699065,0.19503943135543744,0.20043488303009344
E3,i_d,S3-U,联合微调（L_s+U_s伪标签）,131,200,70,3,740.5393934658596,16.0240488974068,16.023655775615147,0.0,54.32830721574344,96.44280423280424,43.536525573192236,42.644814814814815,2.1850469444305487,9.956460638018461,1.6484689706094757,0.02629638448596522,0.0,0.0,0.5204328894180738,0.025660950111621672,0.7920120948778991,0.7550273585250009,0.24497264183992548,0.0,0.0,1.0,0.0,0.0,0.0,439040.0,0.0,94.71111111111111,97.54444444444445,37.32716049382716,57.16296296296296,36.681481481481484,55.888888888888886,17.46013022442253,13.951758258196772,0.7976756460812627,0.6874960514963889,0.202324349053052,0.31250395276108567
E4,i_d_s,S1,分支预训练,1,80,80,1,766.2389773488045,9.189158837406001,9.189158837406001,0.0,59.519690688775505,93.89935185185185,49.1104938271605,47.91699074074074,2.154265231137373,10.77132593466311,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.9959183673469388,0.004081632653061224,0.0,0.0,0.0,,39.51111111111111,96.67777777777778,27.62962962962963,53.58395061728395,26.585185185185185,52.65925925925926,18.746594487404337,13.641301991988202,0.0,0.0,1.0,1.0
E4,i_d_s,S2,冻结分支训练门控,81,120,40,2,889.2797892987728,23.9856497399661,23.9856497399661,0.0,4.639668367346939,70.55388888888889,23.16348765432099,22.70435185185185,0.23637261550341332,0.0,2.177139505379054,0.0005305612096763725,0.0,0.0,0.36497385109565694,0.03569125793684198,0.2618685324581302,0.9421041961835355,0.05789580419279483,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,68.66666666666667,72.28148148148148,22.41358024691358,23.87777777777778,21.896296296296295,23.403703703703705,23.67329184863032,23.282337266571666,0.949163983062822,0.9345699804169791,0.050836024843916604,0.06543002384049552
E4,i_d_s,S3-L,联合微调（仅L_s）,121,130,10,3,700.1777418613434,19.672897695035353,19.672897695035353,0.0,27.17474489795918,93.0111111111111,34.8941975308642,34.132592592592594,2.2614929977728395,10.202140490862789,2.027879156871718,0.0024078074764289263,0.0,0.0,0.3537475072607702,0.034879465963767495,0.3051019306085548,0.9303731285795873,0.06962687173592193,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,90.39259259259259,93.8962962962963,33.114814814814814,35.7358024691358,32.666666666666664,34.69259259259259,22.093859244366083,19.210187581120707,0.933968801887668,0.9267010992887069,0.06603120016504307,0.07329889660587116
E4,i_d_s,S3-U,联合微调（L_s+U_s伪标签）,131,200,70,3,752.2237613541739,16.627118481560974,16.626570769440676,0.0,49.48273505830904,96.07121693121694,39.4094708994709,38.50830687830688,2.1832516064101686,9.934237187944417,1.7762288457798194,0.013036551445304436,0.0,0.0,0.3430282870465048,0.03261844448625781,0.42244972017520366,0.8959736782503545,0.10402632212869106,0.0,0.0,1.0,0.0,0.0,0.0,439040.0,0.0,93.85555555555555,97.0,35.41975308641975,43.82098765432099,34.592592592592595,42.58888888888889,18.50566714150565,15.357164198038529,0.9252725949092787,0.8643855063282714,0.07472740927216959,0.1356144986894666
E5,physical_fixed,S1,分支预训练,1,80,80,1,681.0007645219564,9.193039878655453,9.193039878655453,0.0,59.5051419005102,93.88402777777779,49.08651234567901,47.90717592592593,2.154185957476801,10.770929557449964,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.0,1.0,0.0,0.0,0.9959183673469388,0.004081632653061224,0.0,0.0,0.0,,39.522222222222226,96.72962962962963,27.638271604938268,53.6925925925926,26.57777777777778,52.766666666666666,18.74603123567542,13.626043261313924,0.0,0.0,1.0,1.0
E5,physical_fixed,S2,冻结分支训练门控,81,120,40,2,745.158813881874,24.339310365793658,24.339310365793658,0.0,0.03866390306122449,56.03148148148148,19.297746913580248,19.030833333333334,0.2169226541050843,0.0,2.0900251744961253,0.0008018857932346158,0.0,0.0,0.1491697104001532,0.0381459127921535,0.13060060198019657,0.9762132020629183,0.023786796970597032,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,49.37777777777778,61.885185185185186,18.685185185185187,20.119753086419752,18.477777777777778,19.72222222222222,24.462652634601202,23.648658518888514,0.9818865450061097,0.9695804970605033,0.018113454613758594,0.030419505410352533
E5,physical_fixed,S3-L,联合微调（仅L_s）,121,130,10,3,752.565994310379,20.98544152318215,20.98544152318215,0.0,16.16230867346939,92.19555555555556,34.556172839506175,33.85592592592592,2.243088420556516,10.209367973950444,1.931899564606803,0.0034449327870139054,0.0,0.0,0.14612892352196635,0.037390412367424186,0.17565625297779938,0.9662069498276225,0.033793049442524814,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,89.01481481481481,93.52222222222223,32.3074074074074,35.543209876543216,31.79259259259259,34.574074074074076,23.10904751991739,20.445969639992228,0.969098584992545,0.9633432055006221,0.03090141861870581,0.036656794271298816
E5,physical_fixed,S3-U,联合微调（L_s+U_s伪标签）,131,200,70,3,609.3784837450299,17.14137624637726,17.140547429854948,0.0,42.8068057580175,95.67068783068783,39.19405643738977,38.21333333333333,2.165034668508146,9.929707954506831,1.6956263321134162,0.01435193745419383,0.0,0.0,0.15483254747731345,0.03535967041078531,0.2881553398667897,0.9381623289154153,0.06183767154074271,0.0,0.0,1.0,0.0,0.0,0.0,439040.0,0.0,93.53333333333333,96.98148148148148,35.58518518518519,43.89506172839506,34.65555555555556,42.65555555555556,19.880299354086116,15.364574198820153,0.9624778020138643,0.9140386228658715,0.037522196541635355,0.08596137713412849
